ID-model,GO:0003674,GO:0016409,GO:0016747,GO:0016746,GO:0016740,GO:0016787,GO:0036094,GO:0003677,GO:0043168,GO:0003676,GO:0003824,GO:0043565,GO:1901363,GO:0097159,GO:0000975,GO:0001067,GO:0044212,GO:0043167,GO:0008092,GO:0060589,GO:0005488,GO:0005515,GO:0042802,GO:0030234,GO:0019899,GO:0046983
105-3,NaN,1.00,1.00,1.00,0.98,0.91,0.73,0.95,0.74,0.94,0.87,0.90,0.82,0.82,0.76,0.76,0.76,0.59,0.79,0.86,0.46,0.63,0.58,0.78,0.45,0.50
106-1,NaN,0.55,0.54,0.57,0.65,0.78,0.83,0.76,0.77,0.75,0.66,0.70,0.77,0.77,0.55,0.55,0.55,0.72,0.62,0.64,0.54,0.59,0.50,0.62,0.50,0.49
106-2,NaN,0.50,0.50,0.50,0.49,0.57,0.83,0.50,0.71,0.50,0.52,0.50,0.61,0.61,0.50,0.50,0.50,0.71,0.50,0.50,0.41,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.55,0.54,0.57,0.58,0.73,0.58,0.61,0.58,0.61,0.61,0.50,0.59,0.59,0.50,0.50,0.50,0.57,0.59,0.50,0.54,0.52,0.50,0.52,0.50,0.49
107-1,NaN,1.00,0.98,0.99,0.98,0.92,0.65,0.87,0.66,0.84,0.87,0.82,0.72,0.72,0.83,0.83,0.83,0.52,0.71,0.80,0.43,0.63,0.55,0.73,0.54,0.49
107-2,NaN,1.00,1.00,1.00,0.98,0.92,0.70,0.90,0.74,0.87,0.89,0.88,0.81,0.81,0.79,0.79,0.79,0.61,0.72,0.90,0.44,0.60,0.54,0.79,0.59,0.50
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.53,0.49,0.50,0.52,0.52,0.50,0.50,0.50,0.50,0.53,0.49,0.51,0.50,0.49,0.49,0.49,0.50
110-2,NaN,1.00,1.00,1.00,0.99,0.96,0.78,0.79,0.88,0.76,0.89,0.69,0.79,0.80,0.69,0.70,0.55,0.78,0.85,0.73,0.78,0.71,0.57,0.71,0.60,0.55
110-3,NaN,0.48,0.52,0.51,0.57,0.61,0.61,0.69,0.54,0.68,0.53,0.61,0.61,0.60,0.63,0.63,0.63,0.64,0.72,0.69,0.67,0.70,0.58,0.63,0.57,0.56
111-1,NaN,0.50,0.50,0.50,0.54,0.50,0.49,0.58,0.52,0.58,0.50,0.49,0.58,0.58,0.55,0.55,0.55,0.52,0.59,0.49,0.49,0.45,0.49,0.49,0.49,0.49
111-2,NaN,0.48,0.53,0.52,0.59,0.62,0.62,0.69,0.60,0.67,0.54,0.61,0.63,0.62,0.67,0.67,0.67,0.70,0.70,0.69,0.65,0.67,0.58,0.64,0.56,0.55
111-3,NaN,0.50,0.50,0.50,0.54,0.50,0.49,0.53,0.53,0.53,0.52,0.49,0.59,0.59,0.55,0.55,0.55,0.52,0.56,0.50,0.55,0.51,0.50,0.50,0.50,0.49
112-1,NaN,1.00,1.00,1.00,0.97,0.95,0.78,0.81,0.88,0.81,0.86,0.72,0.82,0.81,0.76,0.76,0.56,0.80,0.83,0.78,0.79,0.74,0.58,0.72,0.57,0.61
112-2,NaN,1.00,1.00,1.00,0.98,0.95,0.78,0.82,0.89,0.81,0.86,0.73,0.82,0.81,0.76,0.76,0.60,0.79,0.83,0.78,0.79,0.75,0.55,0.72,0.57,0.53
112-3,NaN,1.00,1.00,1.00,0.97,0.95,0.79,0.81,0.84,0.80,0.86,0.72,0.84,0.83,0.76,0.76,0.56,0.76,0.83,0.78,0.75,0.69,0.58,0.72,0.57,0.61
113-1,NaN,1.00,1.00,1.00,0.98,0.95,0.80,0.82,0.85,0.80,0.87,0.73,0.84,0.83,0.76,0.76,0.60,0.76,0.83,0.78,0.76,0.70,0.55,0.72,0.57,0.53
113-2,NaN,0.48,0.52,0.51,0.55,0.60,0.54,0.69,0.50,0.67,0.51,0.61,0.61,0.61,0.63,0.63,0.63,0.61,0.71,0.69,0.62,0.64,0.58,0.63,0.57,0.56
113-3,NaN,0.50,0.50,0.50,0.54,0.50,0.49,0.56,0.52,0.56,0.50,0.49,0.58,0.58,0.55,0.55,0.55,0.52,0.59,0.49,0.55,0.52,0.49,0.49,0.49,0.49
114-1,NaN,0.82,0.85,1.00,1.00,0.95,0.74,0.93,0.85,0.90,0.89,0.85,0.85,0.85,0.79,0.79,0.79,0.63,0.75,0.78,0.50,0.67,0.66,0.74,0.50,0.58
115-1,NaN,1.00,1.00,1.00,1.00,0.95,0.72,0.95,0.76,0.94,0.90,0.92,0.83,0.83,0.80,0.80,0.80,0.63,0.75,0.92,0.66,0.74,0.63,0.81,0.73,0.50
116-1,NaN,0.68,0.75,0.89,0.92,0.88,0.76,0.86,0.74,0.85,0.84,0.60,0.81,0.81,0.55,0.55,0.55,0.60,0.56,0.70,0.52,0.57,0.50,0.66,0.50,0.49
116-2,NaN,0.50,0.61,0.61,0.73,0.88,0.76,0.87,0.73,0.86,0.75,0.55,0.82,0.82,0.55,0.55,0.55,0.61,0.53,0.70,0.56,0.56,0.50,0.66,0.50,0.50
117-1,NaN,1.00,0.97,0.97,0.92,0.94,0.88,0.89,0.84,0.85,0.87,0.91,0.82,0.83,0.86,0.86,0.86,0.70,0.81,0.67,0.52,0.65,0.59,0.64,0.43,0.62
117-2,NaN,0.82,0.82,0.82,0.75,0.66,0.64,0.53,0.68,0.53,0.66,0.50,0.58,0.58,0.50,0.50,0.50,0.61,0.53,0.60,0.48,0.51,0.50,0.56,0.50,0.49
119-1,NaN,1.00,1.00,1.00,0.99,0.93,0.86,0.88,0.86,0.89,0.89,0.78,0.87,0.86,0.62,0.62,0.62,0.75,0.81,0.70,0.68,0.69,0.63,0.60,0.48,0.57
120-1,NaN,1.00,1.00,1.00,1.00,0.93,0.82,0.93,0.83,0.90,0.91,0.94,0.83,0.83,0.88,0.88,0.88,0.65,0.85,0.84,0.48,0.66,0.70,0.78,0.53,0.59
120-2,NaN,0.50,0.50,1.00,0.88,0.94,0.81,0.86,0.80,0.90,0.82,0.78,0.85,0.85,0.64,0.64,0.64,0.70,0.78,0.73,0.52,0.71,0.50,0.70,0.63,0.45
120-3,NaN,0.50,0.50,0.50,0.56,0.74,0.76,0.75,0.48,0.81,0.63,0.69,0.79,0.75,0.64,0.64,0.64,0.57,0.50,0.50,0.59,0.50,0.50,0.53,0.50,0.50
121-1,NaN,0.86,0.82,0.82,0.90,0.92,0.77,0.84,0.75,0.84,0.85,0.70,0.82,0.81,0.55,0.55,0.55,0.64,0.65,0.70,0.48,0.53,0.50,0.66,0.49,0.49
121-2,NaN,0.50,0.50,0.50,0.52,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
121-3,NaN,0.86,0.82,0.82,0.86,0.92,0.78,0.84,0.77,0.84,0.83,0.70,0.83,0.83,0.55,0.55,0.55,0.69,0.68,0.70,0.51,0.65,0.54,0.66,0.49,0.49
122-1,NaN,0.68,0.75,0.75,0.85,0.91,0.81,0.81,0.77,0.86,0.80,0.75,0.85,0.85,0.60,0.60,0.60,0.67,0.68,0.69,0.49,0.62,0.54,0.66,0.48,0.49
124-1,NaN,0.73,0.65,0.64,0.53,0.77,0.74,0.72,0.36,0.57,0.49,0.65,0.38,0.38,0.76,0.76,0.76,0.45,0.77,0.57,0.52,0.34,0.42,0.56,0.47,0.46
124-2,NaN,0.73,0.64,0.64,0.37,0.30,0.28,0.50,0.29,0.42,0.23,0.64,0.37,0.37,0.40,0.40,0.40,0.43,0.62,0.60,0.52,0.39,0.50,0.54,0.51,0.51
124-3,NaN,0.50,0.05,0.03,0.25,0.73,0.74,0.72,0.36,0.53,0.42,0.55,0.25,0.25,0.76,0.76,0.76,0.45,0.77,0.30,0.52,0.34,0.42,0.38,0.47,0.46
125-1,NaN,0.82,0.86,1.00,1.00,0.95,0.74,0.86,0.76,0.84,0.90,0.75,0.79,0.79,0.60,0.60,0.60,0.63,0.75,0.74,0.49,0.67,0.66,0.68,0.50,0.58
125-2,NaN,1.00,1.00,1.00,0.98,0.95,0.73,0.86,0.77,0.84,0.88,0.74,0.77,0.77,0.75,0.75,0.75,0.57,0.76,0.77,0.49,0.58,0.59,0.68,0.46,0.51
125-3,NaN,1.00,0.99,0.99,0.93,0.93,0.81,0.84,0.84,0.84,0.82,0.84,0.79,0.78,0.74,0.74,0.74,0.73,0.86,0.80,0.64,0.62,0.55,0.72,0.43,0.48
126-1,NaN,0.68,0.68,0.79,0.98,0.88,0.77,0.84,0.72,0.84,0.86,0.50,0.82,0.82,0.50,0.50,0.50,0.68,0.62,0.74,0.67,0.66,0.53,0.69,0.51,0.50
127-1,NaN,1.00,1.00,1.00,1.00,0.91,0.81,0.87,0.86,0.85,0.90,0.88,0.85,0.86,0.78,0.78,0.78,0.79,0.80,0.76,0.65,0.64,0.60,0.70,0.49,0.53
127-2,NaN,1.00,1.00,1.00,1.00,0.93,0.80,0.85,0.87,0.83,0.90,0.80,0.86,0.85,0.74,0.73,0.74,0.78,0.78,0.79,0.69,0.68,0.51,0.74,0.54,0.43
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,1.00,0.99,0.99,0.84,0.73,0.71,0.60,0.65,0.57,0.74,0.73,0.57,0.57,0.61,0.61,0.61,0.60,0.63,0.61,0.46,0.58,0.60,0.57,0.51,0.59
129-1,NaN,1.00,1.00,1.00,0.98,0.88,0.80,0.87,0.85,0.88,0.88,0.89,0.87,0.87,0.83,0.83,0.84,0.83,0.83,0.88,0.71,0.63,0.52,0.78,0.55,0.56
129-2,NaN,0.68,0.62,0.62,0.57,0.44,0.76,0.54,0.71,0.54,0.53,0.47,0.63,0.64,0.49,0.49,0.49,0.72,0.78,0.74,0.67,0.64,0.53,0.66,0.54,0.60
129-3,NaN,1.00,1.00,1.00,0.97,0.89,0.81,0.88,0.86,0.88,0.88,0.89,0.87,0.87,0.84,0.84,0.84,0.83,0.84,0.87,0.71,0.63,0.52,0.77,0.55,0.56
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.82,0.86,1.00,0.97,0.91,0.77,0.87,0.81,0.86,0.88,0.75,0.83,0.83,0.60,0.60,0.60,0.68,0.62,0.69,0.50,0.54,0.54,0.66,0.49,0.50
131-2,NaN,0.73,0.79,1.00,1.00,0.91,0.76,0.86,0.81,0.85,0.88,0.75,0.83,0.82,0.60,0.60,0.60,0.65,0.64,0.70,0.44,0.54,0.50,0.66,0.50,0.50
131-3,NaN,1.00,1.00,1.00,0.97,0.96,0.70,0.88,0.76,0.88,0.89,0.82,0.82,0.82,0.58,0.58,0.58,0.68,0.72,0.76,0.52,0.59,0.56,0.67,0.50,0.54
132-1,NaN,1.00,1.00,1.00,0.97,0.93,0.79,0.81,0.86,0.82,0.85,0.72,0.81,0.80,0.78,0.78,0.76,0.78,0.83,0.78,0.79,0.76,0.60,0.72,0.58,0.63
132-2,NaN,1.00,1.00,1.00,0.97,0.93,0.80,0.81,0.82,0.83,0.85,0.72,0.83,0.82,0.78,0.78,0.76,0.75,0.83,0.78,0.75,0.70,0.60,0.72,0.58,0.63
65-1,NaN,1.00,0.99,0.99,0.69,0.83,0.84,0.64,0.86,0.64,0.73,0.86,0.70,0.70,0.76,0.75,0.75,0.79,0.75,0.69,0.57,0.56,0.37,0.69,0.58,0.39
65-2,NaN,1.00,0.99,0.99,0.72,0.84,0.86,0.69,0.87,0.64,0.74,0.79,0.70,0.70,0.69,0.69,0.68,0.80,0.75,0.77,0.59,0.58,0.47,0.74,0.59,0.44
65-3,NaN,1.00,1.00,0.99,0.69,0.83,0.82,0.67,0.86,0.61,0.73,0.86,0.68,0.68,0.71,0.71,0.71,0.79,0.77,0.72,0.58,0.56,0.46,0.70,0.58,0.45
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-2,NaN,1.00,1.00,1.00,0.89,0.92,0.73,0.95,0.77,0.93,0.80,0.87,0.85,0.84,0.79,0.80,0.80,0.67,0.79,0.85,0.67,0.71,0.59,0.79,0.65,0.46
70-1,NaN,0.50,1.00,1.00,0.95,0.92,0.75,0.82,0.77,0.86,0.86,0.83,0.82,0.82,0.79,0.79,0.79,0.72,0.86,0.65,0.85,0.78,0.53,0.72,0.67,0.49
70-2,NaN,1.00,0.99,0.96,0.57,0.91,0.78,0.53,0.80,0.80,0.63,0.82,0.71,0.71,0.74,0.74,0.76,0.70,0.71,0.83,0.58,0.54,0.61,0.72,0.52,0.50
70-3,NaN,0.50,0.82,0.79,0.88,0.91,0.77,0.58,0.84,0.58,0.78,0.49,0.85,0.61,0.55,0.55,0.55,0.77,0.75,0.69,0.63,0.61,0.46,0.63,0.49,0.60
72-1,NaN,0.73,0.78,0.99,0.99,0.95,0.75,0.72,0.79,0.74,0.89,0.65,0.73,0.73,0.60,0.60,0.60,0.73,0.55,0.69,0.59,0.54,0.54,0.65,0.47,0.49
72-2,NaN,0.50,0.50,0.50,0.57,0.77,0.79,0.72,0.70,0.72,0.62,0.60,0.76,0.76,0.50,0.50,0.50,0.71,0.55,0.54,0.54,0.51,0.54,0.53,0.48,0.49
73-1,NaN,1.00,0.93,0.93,0.75,0.93,0.66,0.75,0.79,0.72,0.73,0.73,0.68,0.68,0.72,0.72,0.72,0.61,0.74,0.84,0.51,0.66,0.62,0.76,0.48,0.52
73-2,NaN,1.00,0.93,0.93,0.75,0.93,0.66,0.81,0.79,0.77,0.73,0.81,0.72,0.71,0.79,0.79,0.79,0.62,0.74,0.84,0.51,0.64,0.59,0.76,0.49,0.53
73-3,NaN,1.00,0.94,0.94,0.70,0.59,0.51,0.73,0.69,0.71,0.57,0.80,0.58,0.57,0.80,0.80,0.79,0.54,0.75,0.74,0.52,0.59,0.45,0.66,0.48,0.44
74-1,NaN,0.82,0.86,0.89,0.76,0.58,0.77,0.75,0.71,0.77,0.65,0.70,0.78,0.78,0.65,0.65,0.65,0.68,0.54,0.53,0.49,0.54,0.59,0.54,0.48,0.56
74-2,NaN,0.86,0.88,0.88,0.96,0.93,0.75,0.89,0.76,0.94,0.86,0.79,0.86,0.86,0.50,0.50,0.50,0.65,0.68,0.92,0.51,0.66,0.48,0.78,0.59,0.53
75-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
75-2,NaN,1.00,1.00,1.00,0.98,0.93,0.73,0.96,0.81,0.94,0.87,0.87,0.85,0.85,0.80,0.80,0.80,0.69,0.79,0.85,0.67,0.71,0.59,0.79,0.65,0.46
79-1,NaN,0.95,0.95,0.95,0.97,0.90,0.79,0.72,0.83,0.82,0.80,0.66,0.82,0.80,0.66,0.66,0.61,0.72,0.71,0.71,0.72,0.68,0.51,0.71,0.58,0.42
79-2,NaN,0.50,0.60,0.60,0.63,0.77,0.82,0.70,0.84,0.78,0.64,0.69,0.81,0.80,0.64,0.64,0.64,0.74,0.69,0.51,0.65,0.59,0.47,0.54,0.49,0.47
79-3,NaN,0.95,0.95,1.00,1.00,0.96,0.76,0.83,0.82,0.89,0.86,0.67,0.86,0.84,0.66,0.66,0.62,0.73,0.75,0.71,0.69,0.70,0.49,0.70,0.55,0.39
80-1,NaN,0.82,0.86,0.89,0.76,0.60,0.77,0.75,0.79,0.77,0.66,0.70,0.77,0.77,0.65,0.65,0.65,0.74,0.54,0.53,0.48,0.54,0.59,0.54,0.48,0.56
80-2,NaN,0.91,0.92,1.00,0.99,0.93,0.75,0.92,0.79,0.94,0.88,0.78,0.85,0.85,0.60,0.60,0.60,0.67,0.68,0.92,0.49,0.66,0.48,0.78,0.59,0.53
81-1,NaN,0.50,0.61,0.61,0.77,0.92,0.49,0.79,0.53,0.79,0.80,0.75,0.69,0.69,0.50,0.50,0.50,0.48,0.67,0.69,0.52,0.57,0.58,0.65,0.50,0.55
81-2,NaN,0.50,0.61,0.61,0.77,0.92,0.49,0.79,0.53,0.79,0.80,0.75,0.69,0.69,0.50,0.50,0.50,0.48,0.67,0.69,0.52,0.57,0.58,0.65,0.50,0.55
82-1,NaN,1.00,1.00,1.00,0.89,0.89,0.84,0.79,0.85,0.75,0.83,0.79,0.77,0.77,0.75,0.75,0.75,0.80,0.82,0.72,0.60,0.62,0.54,0.68,0.51,0.47
83-1,NaN,0.95,0.96,0.96,0.96,0.94,0.84,0.88,0.82,0.88,0.86,0.94,0.83,0.84,0.92,0.92,0.92,0.71,0.84,0.74,0.47,0.48,0.55,0.64,0.49,0.63
83-2,NaN,0.95,0.96,0.96,0.97,0.94,0.84,0.88,0.82,0.88,0.87,0.94,0.83,0.84,0.92,0.92,0.92,0.71,0.85,0.74,0.47,0.49,0.55,0.64,0.49,0.63
84-1,NaN,0.94,0.86,0.86,0.53,0.55,0.81,0.72,0.68,0.67,0.57,0.89,0.64,0.64,0.89,0.89,0.89,0.67,0.49,0.46,0.38,0.44,0.50,0.50,0.53,0.50
85-1,NaN,1.00,1.00,1.00,0.99,0.94,0.85,0.91,0.85,0.89,0.89,0.93,0.85,0.84,0.88,0.88,0.88,0.75,0.86,0.76,0.68,0.64,0.71,0.73,0.48,0.66
85-2,NaN,1.00,1.00,1.00,0.95,0.93,0.79,0.89,0.82,0.86,0.89,0.92,0.82,0.82,0.87,0.87,0.88,0.62,0.79,0.75,0.51,0.51,0.56,0.72,0.44,0.60
86-1,NaN,0.91,0.86,0.86,0.81,0.71,0.65,0.74,0.68,0.78,0.71,0.55,0.72,0.72,0.50,0.50,0.50,0.63,0.60,0.50,0.58,0.59,0.57,0.49,0.51,0.50
86-2,NaN,0.91,0.86,0.86,0.81,0.71,0.65,0.74,0.68,0.78,0.71,0.55,0.72,0.72,0.50,0.50,0.50,0.63,0.60,0.50,0.58,0.59,0.57,0.49,0.51,0.50
86-3,NaN,0.91,0.86,0.86,0.80,0.67,0.60,0.69,0.61,0.69,0.69,0.55,0.67,0.67,0.50,0.50,0.50,0.58,0.58,0.50,0.61,0.62,0.57,0.49,0.49,0.50
87-1,NaN,0.91,0.93,1.00,0.99,0.95,0.81,0.80,0.78,0.81,0.90,0.70,0.81,0.80,0.60,0.60,0.60,0.72,0.73,0.69,0.57,0.62,0.61,0.67,0.43,0.53
87-2,NaN,0.91,0.93,1.00,0.99,0.95,0.82,0.74,0.74,0.79,0.90,0.70,0.80,0.79,0.60,0.60,0.60,0.69,0.70,0.64,0.51,0.63,0.61,0.64,0.43,0.54
87-3,NaN,0.50,0.61,0.61,0.76,0.73,0.77,0.78,0.79,0.80,0.70,0.70,0.79,0.79,0.60,0.60,0.60,0.76,0.70,0.69,0.68,0.65,0.57,0.68,0.48,0.53
88-1,NaN,1.00,0.96,0.96,0.97,0.88,0.68,0.78,0.73,0.77,0.85,0.63,0.72,0.72,0.54,0.54,0.54,0.68,0.70,0.74,0.70,0.66,0.52,0.64,0.50,0.47
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.49,0.49,0.61,0.49,0.59,0.50,0.50,0.59,0.59,0.54,0.54,0.54,0.51,0.50,0.52,0.55,0.49,0.49,0.47,0.49,0.49
91-2,NaN,0.50,0.50,0.50,0.50,0.49,0.49,0.57,0.49,0.57,0.50,0.50,0.55,0.55,0.54,0.54,0.54,0.51,0.50,0.49,0.53,0.49,0.49,0.48,0.49,0.49
91-3,NaN,0.49,0.49,0.49,0.49,0.51,0.55,0.60,0.53,0.60,0.47,0.52,0.60,0.60,0.50,0.50,0.50,0.50,0.50,0.55,0.55,0.51,0.50,0.49,0.49,0.50
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
94-1,NaN,0.64,0.71,1.00,0.98,0.93,0.79,0.87,0.76,0.93,0.84,0.74,0.84,0.84,0.60,0.60,0.60,0.61,0.74,0.74,0.58,0.74,0.59,0.68,0.48,0.51
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.53,0.50,0.50,0.47,0.50,0.47,0.49,0.49,0.45,0.45,0.49,0.49,0.49,0.50,0.50,0.50,0.51,0.50,0.52,0.50,0.50,0.52
