ID-model,GO:0003674,GO:0000982,GO:0001077,GO:0022836,GO:0022839,GO:0005216,GO:0015267,GO:0022803,GO:0022838,GO:0004888,GO:0016740,GO:0001071,GO:0003700,GO:0038023,GO:0015075,GO:0000976,GO:0043565,GO:0004872,GO:0000981,GO:0016787,GO:0000977,GO:0003677,GO:0001012,GO:0004871,GO:0060089,GO:0001228,GO:0000987,GO:0001159,GO:0003676,GO:0022891,GO:0022857,GO:1901363,GO:0003823,GO:0003824,GO:0001067,GO:0022892,GO:0097159,GO:0043167,GO:0000975,GO:0044212,GO:0000978,GO:0005215,GO:0005488,GO:0008092,GO:0042803,GO:0031267,GO:0017016,GO:0051020,GO:0042802,GO:0046983,GO:0032403,GO:0005515,GO:0005102,GO:0003682,GO:0019899,GO:0043566,GO:0019901,GO:0019900,GO:0031490
107-2,NaN,0.76,0.64,0.91,0.91,0.95,0.95,0.95,0.95,0.98,0.96,0.92,0.92,0.98,0.94,0.79,0.87,0.97,0.75,0.89,0.74,0.87,0.74,0.97,0.97,0.66,0.63,0.63,0.88,0.91,0.91,0.77,0.87,0.88,0.79,0.94,0.76,0.63,0.79,0.79,0.60,0.90,0.63,0.68,0.59,0.65,0.65,0.65,0.53,0.54,0.59,0.62,0.57,0.69,0.54,0.58,0.48,0.48,0.49
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-2,NaN,0.61,0.55,0.51,0.51,0.88,0.88,0.88,0.88,0.81,0.98,0.95,0.84,0.76,0.93,0.69,0.73,0.96,0.82,0.96,0.66,0.88,0.71,0.74,0.96,0.59,0.48,0.48,0.87,0.88,0.88,0.85,0.86,0.90,0.84,0.87,0.82,0.70,0.76,0.73,0.49,0.84,0.87,0.80,0.52,0.55,0.57,0.62,0.54,0.54,0.44,0.80,0.55,0.72,0.48,0.74,0.48,0.52,0.48
110-3,NaN,0.74,0.63,0.71,0.71,0.74,0.72,0.72,0.73,0.51,0.67,0.83,0.83,0.49,0.66,0.78,0.70,0.54,0.84,0.68,0.71,0.73,0.71,0.48,0.48,0.70,0.74,0.77,0.70,0.64,0.64,0.64,0.68,0.63,0.77,0.62,0.64,0.49,0.77,0.77,0.64,0.61,0.77,0.70,0.52,0.73,0.71,0.73,0.52,0.49,0.54,0.72,0.60,0.81,0.58,0.72,0.59,0.59,0.76
111-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.59,0.62,0.50,0.50,0.50,0.50,0.52,0.50,0.50,0.62,0.50,0.58,0.50,0.50,0.50,0.50,0.50,0.50,0.62,0.50,0.50,0.67,0.50,0.59,0.51,0.50,0.66,0.48,0.51,0.50,0.50,0.50,0.57,0.61,0.50,0.50,0.50,0.50,0.49,0.49,0.49,0.55,0.49,0.54,0.50,0.49,0.50,0.50,0.50
111-2,NaN,0.74,0.63,0.72,0.72,0.74,0.73,0.73,0.74,0.51,0.70,0.87,0.82,0.50,0.67,0.79,0.71,0.55,0.83,0.69,0.72,0.77,0.72,0.48,0.48,0.70,0.75,0.79,0.74,0.64,0.65,0.74,0.68,0.64,0.80,0.63,0.74,0.50,0.80,0.78,0.65,0.62,0.78,0.74,0.52,0.73,0.72,0.73,0.52,0.48,0.52,0.74,0.60,0.80,0.57,0.69,0.59,0.59,0.75
111-3,NaN,0.50,0.50,0.49,0.49,0.49,0.49,0.49,0.49,0.50,0.98,0.89,0.48,0.49,0.48,0.50,0.56,0.49,0.48,0.91,0.50,0.52,0.50,0.49,0.49,0.49,0.50,0.50,0.58,0.48,0.48,0.79,0.50,0.81,0.52,0.48,0.78,0.44,0.52,0.49,0.50,0.48,0.71,0.73,0.49,0.50,0.50,0.49,0.47,0.47,0.45,0.56,0.48,0.51,0.49,0.47,0.50,0.50,0.49
112-1,NaN,0.61,0.55,0.67,0.67,0.87,0.87,0.87,0.87,0.78,0.98,0.94,0.87,0.74,0.91,0.77,0.75,0.95,0.85,0.95,0.74,0.89,0.77,0.72,0.95,0.68,0.52,0.52,0.85,0.85,0.86,0.84,0.85,0.90,0.85,0.84,0.83,0.68,0.79,0.78,0.52,0.82,0.88,0.84,0.52,0.72,0.72,0.79,0.57,0.51,0.50,0.83,0.58,0.69,0.58,0.77,0.60,0.59,0.56
112-2,NaN,0.61,0.50,0.68,0.68,0.87,0.87,0.87,0.87,0.78,0.98,0.94,0.87,0.74,0.91,0.75,0.75,0.95,0.86,0.95,0.72,0.89,0.74,0.72,0.96,0.68,0.51,0.51,0.85,0.85,0.86,0.84,0.85,0.91,0.86,0.84,0.82,0.68,0.80,0.78,0.52,0.82,0.87,0.84,0.52,0.72,0.69,0.79,0.57,0.51,0.50,0.83,0.58,0.69,0.58,0.77,0.57,0.56,0.56
112-3,NaN,0.61,0.55,0.67,0.67,0.87,0.87,0.87,0.87,0.77,0.98,0.95,0.86,0.73,0.91,0.77,0.75,0.97,0.85,0.92,0.74,0.89,0.77,0.71,0.96,0.68,0.52,0.52,0.85,0.85,0.86,0.86,0.85,0.88,0.86,0.84,0.85,0.69,0.79,0.78,0.52,0.82,0.81,0.87,0.52,0.75,0.74,0.83,0.57,0.51,0.48,0.69,0.57,0.69,0.57,0.77,0.60,0.59,0.56
113-1,NaN,0.61,0.50,0.67,0.67,0.87,0.87,0.87,0.87,0.78,0.98,0.95,0.86,0.74,0.91,0.75,0.75,0.97,0.86,0.92,0.72,0.90,0.74,0.72,0.97,0.68,0.51,0.51,0.85,0.86,0.86,0.86,0.85,0.89,0.86,0.84,0.84,0.69,0.80,0.78,0.52,0.82,0.81,0.87,0.52,0.74,0.71,0.82,0.57,0.51,0.48,0.69,0.57,0.69,0.57,0.77,0.57,0.56,0.56
113-2,NaN,0.77,0.65,0.69,0.69,0.74,0.72,0.72,0.74,0.67,0.69,0.87,0.87,0.65,0.65,0.85,0.78,0.70,0.88,0.63,0.75,0.81,0.75,0.64,0.64,0.73,0.77,0.81,0.78,0.66,0.67,0.72,0.78,0.61,0.86,0.64,0.72,0.55,0.86,0.86,0.67,0.63,0.68,0.77,0.53,0.73,0.72,0.73,0.53,0.48,0.50,0.58,0.68,0.89,0.56,0.76,0.60,0.60,0.79
113-3,NaN,0.50,0.50,0.49,0.49,0.49,0.49,0.49,0.49,0.50,0.98,0.89,0.48,0.49,0.48,0.50,0.56,0.49,0.48,0.89,0.50,0.51,0.50,0.49,0.49,0.49,0.50,0.50,0.57,0.48,0.48,0.79,0.50,0.80,0.52,0.48,0.77,0.43,0.52,0.49,0.50,0.48,0.71,0.75,0.49,0.50,0.50,0.49,0.46,0.47,0.44,0.58,0.47,0.50,0.48,0.47,0.49,0.49,0.49
114-1,NaN,0.79,0.78,0.80,0.80,0.85,0.85,0.85,0.85,0.92,0.99,0.94,0.94,0.92,0.93,0.71,0.92,0.96,0.89,0.93,0.70,0.93,0.70,0.91,0.91,0.67,0.64,0.64,0.92,0.93,0.97,0.84,0.77,0.92,0.83,0.92,0.84,0.78,0.83,0.83,0.64,0.92,0.72,0.69,0.47,0.53,0.53,0.53,0.64,0.47,0.50,0.76,0.54,0.76,0.51,0.68,0.49,0.49,0.50
115-1,NaN,0.72,0.70,0.95,0.95,0.95,0.95,0.95,0.95,0.98,0.96,0.94,0.94,0.98,0.94,0.85,0.92,0.97,0.86,0.96,0.83,0.94,0.82,0.97,0.97,0.77,0.74,0.85,0.93,0.94,0.94,0.83,0.82,0.89,0.87,0.94,0.82,0.73,0.87,0.87,0.74,0.90,0.79,0.77,0.56,0.74,0.71,0.74,0.54,0.51,0.61,0.76,0.78,0.84,0.68,0.67,0.61,0.58,0.48
116-1,NaN,0.50,0.50,0.62,0.62,0.92,0.92,0.92,0.92,0.95,0.94,0.83,0.83,0.95,0.92,0.53,0.60,0.95,0.50,0.83,0.50,0.88,0.50,0.94,0.94,0.50,0.50,0.50,0.89,0.92,0.99,0.80,0.49,0.84,0.52,0.92,0.79,0.74,0.52,0.52,0.50,0.93,0.74,0.60,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.59,0.54,0.55,0.50,0.50,0.50,0.50,0.50
116-2,NaN,0.50,0.50,0.60,0.60,0.86,0.86,0.86,0.86,0.95,0.92,0.83,0.83,0.95,0.87,0.53,0.54,0.95,0.50,0.78,0.50,0.86,0.50,0.94,0.94,0.50,0.50,0.50,0.87,0.87,0.87,0.77,0.49,0.80,0.52,0.87,0.77,0.75,0.52,0.52,0.50,0.83,0.77,0.58,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.58,0.54,0.50,0.50,0.50,0.50,0.50,0.50
117-1,NaN,0.98,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.99,0.94,0.90,0.90,0.99,0.94,0.94,0.91,0.99,0.92,0.89,0.93,0.91,0.95,1.00,1.00,0.91,0.85,0.85,0.90,0.91,0.91,0.84,0.87,0.86,0.86,0.90,0.82,0.75,0.86,0.86,0.75,0.88,0.73,0.91,0.63,0.80,0.81,0.79,0.54,0.54,0.54,0.59,0.60,0.75,0.46,0.75,0.50,0.53,0.66
117-2,NaN,0.50,0.50,1.00,1.00,1.00,1.00,1.00,1.00,NaN,0.98,0.50,0.50,NaN,1.00,0.67,0.62,NaN,0.50,0.96,0.67,0.80,0.67,NaN,NaN,0.50,0.50,0.50,0.90,1.00,1.00,0.84,0.49,0.93,0.75,1.00,0.78,0.88,0.75,0.75,0.50,1.00,0.62,0.97,0.50,0.50,0.50,0.50,0.50,0.46,0.47,0.66,0.46,0.50,0.50,0.50,0.50,0.50,0.50
119-1,NaN,0.79,0.78,0.95,0.95,0.96,0.96,0.96,0.96,0.98,0.98,0.92,0.92,0.97,0.95,0.85,0.86,0.97,0.79,0.92,0.82,0.91,0.82,0.97,0.97,0.78,0.68,0.68,0.91,0.91,0.92,0.87,0.87,0.88,0.83,0.90,0.85,0.80,0.84,0.84,0.65,0.87,0.74,0.71,0.44,0.68,0.68,0.67,0.36,0.40,0.69,0.60,0.64,0.70,0.50,0.58,0.45,0.50,0.52
120-1,NaN,0.98,0.98,0.93,0.93,0.93,0.93,0.93,0.93,0.98,0.98,0.94,0.94,0.98,0.93,0.97,0.95,0.97,0.95,0.95,0.94,0.91,0.94,0.97,0.97,0.90,0.93,0.93,0.90,0.91,0.91,0.83,0.89,0.92,0.94,0.90,0.83,0.73,0.94,0.94,0.89,0.88,0.74,0.88,0.62,0.78,0.79,0.77,0.64,0.56,0.70,0.79,0.74,0.92,0.57,0.75,0.59,0.59,0.82
120-2,NaN,0.50,0.50,0.90,0.90,0.92,0.95,0.95,0.92,1.00,0.89,0.90,0.90,1.00,0.95,0.68,0.80,0.99,0.83,0.90,0.50,0.92,0.50,1.00,1.00,0.50,0.50,0.50,0.92,0.91,0.91,0.85,0.67,0.86,0.65,0.91,0.84,0.67,0.65,0.66,0.50,0.90,0.71,0.78,0.62,0.68,0.50,0.68,0.80,0.63,0.59,0.73,0.73,0.54,0.64,0.53,0.57,0.54,0.50
120-3,NaN,0.50,0.50,0.50,0.50,0.50,0.86,0.86,0.50,0.95,0.50,0.92,0.92,0.95,0.94,0.50,0.72,0.90,0.50,0.69,0.50,0.83,0.50,0.99,0.99,0.50,0.50,0.50,0.83,0.94,0.94,0.77,0.50,0.69,0.72,0.94,0.77,0.47,0.72,0.68,0.50,0.99,0.70,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
121-1,NaN,0.50,0.50,0.80,0.80,0.80,0.80,0.80,0.80,0.94,0.98,0.85,0.85,0.93,0.74,0.50,0.76,0.97,0.50,0.83,0.50,0.98,0.50,0.93,0.93,0.50,0.50,0.50,0.96,0.74,0.83,0.85,0.49,0.84,0.50,0.74,0.83,0.72,0.50,0.50,0.50,0.77,0.70,0.71,0.50,0.50,0.50,0.50,0.50,0.48,0.50,0.57,0.56,0.49,0.50,0.50,0.50,0.50,0.50
121-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,1.00,NaN,NaN,1.00,NaN,NaN,NaN,1.00,NaN,NaN,NaN,NaN,NaN,1.00,1.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.83,0.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.67,NaN,NaN,0.50,NaN,NaN,NaN,NaN
121-3,NaN,0.55,0.50,0.83,0.83,0.86,0.86,0.86,0.86,0.94,0.98,0.95,0.95,0.94,0.81,0.50,0.75,0.99,0.53,0.91,0.50,0.96,0.50,0.94,0.94,0.50,0.50,0.50,0.95,0.81,0.87,0.86,0.49,0.89,0.53,0.80,0.84,0.73,0.53,0.53,0.50,0.82,0.75,0.67,0.49,0.50,0.50,0.50,0.48,0.47,0.50,0.74,0.54,0.55,0.51,0.50,0.50,0.50,0.50
122-1,NaN,0.55,0.50,0.67,0.67,0.81,0.81,0.81,0.81,0.85,0.95,0.85,0.85,0.85,0.83,0.52,0.70,0.85,0.53,0.93,0.50,0.81,0.50,0.85,0.85,0.50,0.50,0.50,0.86,0.83,0.88,0.80,0.54,0.88,0.52,0.83,0.79,0.69,0.52,0.52,0.50,0.84,0.79,0.61,0.49,0.55,0.55,0.54,0.48,0.47,0.49,0.75,0.64,0.59,0.51,0.50,0.50,0.50,0.50
124-1,NaN,0.96,0.96,0.61,0.61,0.85,0.85,0.85,0.85,0.89,0.82,0.84,0.84,0.88,0.86,0.90,0.84,0.85,0.92,0.63,0.91,0.76,0.91,0.88,0.88,0.91,0.92,0.92,0.71,0.81,0.85,0.65,0.92,0.51,0.89,0.67,0.64,0.29,0.89,0.89,0.92,0.77,0.39,0.85,0.53,0.65,0.68,0.62,0.56,0.51,0.66,0.30,0.61,0.88,0.50,0.79,0.60,0.60,0.91
