ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0016020,GO:0005886,GO:0071944
120-1,NaN,0.38,0.38,0.85,0.71,0.67
120-2,NaN,0.20,0.20,0.71,0.55,0.54
120-3,NaN,0.38,0.38,0.68,0.46,0.40
121-1,NaN,0.50,0.50,0.87,0.75,0.67
121-2,NaN,NaN,NaN,NaN,NaN,NaN
121-3,NaN,0.33,0.33,0.86,0.62,0.54
122-1,NaN,0.67,0.67,0.83,0.38,0.33
124-1,NaN,0.60,0.60,0.31,0.74,0.66
124-2,NaN,0.50,0.50,0.22,0.50,0.38
124-3,NaN,0.60,0.60,0.31,0.74,0.66
125-1,NaN,0.38,0.38,0.83,0.67,0.61
125-2,NaN,0.28,0.28,0.76,0.69,0.62
125-3,NaN,0.50,0.50,0.34,0.35,0.26
126-1,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,NaN,NaN,0.19,0.25,0.19
127-2,NaN,1.00,1.00,0.43,0.46,0.36
127-3,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,NaN,NaN,0.50,0.59,0.40
129-1,NaN,0.56,0.56,0.51,0.39,0.33
129-2,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.56,0.56,0.51,0.39,0.33
130-1,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.22,0.22,0.79,0.40,0.38
131-2,NaN,0.19,0.19,0.88,0.40,0.38
131-3,NaN,0.14,0.14,0.80,0.39,0.30
132-1,NaN,0.75,0.75,0.57,0.47,0.38
132-2,NaN,0.75,0.75,0.57,0.47,0.38
65-1,NaN,0.97,0.97,0.48,0.56,0.48
65-2,NaN,NaN,NaN,0.59,0.59,0.48
65-3,NaN,0.93,0.93,0.47,0.56,0.48
68-1,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,0.95,0.95,0.79,0.60,0.59
69-2,NaN,1.00,1.00,0.76,0.58,0.63
70-1,NaN,NaN,NaN,NaN,NaN,NaN
70-2,NaN,0.06,0.06,0.50,0.49,0.48
70-3,NaN,0.12,0.12,0.47,0.54,0.64
72-1,NaN,0.07,0.07,0.89,0.71,0.64
72-2,NaN,0.07,0.07,0.89,0.71,0.64
73-1,NaN,0.68,0.68,0.72,0.65,0.54
73-2,NaN,0.66,0.66,0.79,0.68,0.58
73-3,NaN,0.47,0.47,0.67,0.67,0.52
74-1,NaN,0.14,0.14,0.82,0.67,0.58
74-2,NaN,0.12,0.12,0.83,0.75,0.63
75-1,NaN,0.82,0.82,0.81,0.68,0.65
75-2,NaN,0.87,0.87,0.81,0.75,0.71
79-1,NaN,NaN,NaN,NaN,NaN,NaN
79-2,NaN,NaN,NaN,NaN,NaN,NaN
79-3,NaN,NaN,NaN,NaN,NaN,NaN
80-1,NaN,0.14,0.14,0.84,0.69,0.60
80-2,NaN,0.11,0.11,0.84,0.76,0.66
81-1,NaN,0.17,0.17,0.59,0.46,0.44
81-2,NaN,0.17,0.17,0.59,0.46,0.44
82-1,NaN,NaN,NaN,0.25,0.39,0.25
83-1,NaN,0.23,0.10,0.75,0.67,0.60
83-2,NaN,0.23,0.10,0.75,0.67,0.56
84-1,NaN,0.23,0.23,0.69,0.77,0.68
85-1,NaN,1.00,1.00,0.60,0.44,0.44
85-2,NaN,1.00,1.00,0.60,0.44,0.44
86-1,NaN,0.42,0.42,0.64,0.56,0.47
86-2,NaN,0.42,0.42,0.64,0.56,0.47
86-3,NaN,0.64,0.64,0.55,0.46,0.36
87-1,NaN,0.25,0.25,0.86,0.67,0.58
87-2,NaN,0.04,0.04,0.76,0.64,0.55
87-3,NaN,0.17,0.17,0.75,0.57,0.49
88-1,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,0.50,0.50,0.92,0.81,0.79
93-2,NaN,0.47,0.47,0.83,0.71,0.62
94-1,NaN,0.32,0.32,0.79,0.43,0.37
95-1,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,0.30,0.30,0.78,0.70,0.62
97-2,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.42,0.42,0.81,0.63,0.57
99-1,NaN,0.86,0.86,0.21,0.39,0.37
