ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0005886,GO:0016020,GO:0071944
116-2,NaN,0.65,0.65,0.54,0.64,0.56
117-1,NaN,0.05,0.05,0.40,0.35,0.32
117-2,NaN,0.53,0.53,0.50,0.54,0.50
119-1,NaN,0.32,0.32,0.58,0.50,0.45
120-1,NaN,0.38,0.38,0.71,0.85,0.67
120-2,NaN,0.20,0.20,0.55,0.71,0.54
120-3,NaN,0.38,0.38,0.46,0.68,0.40
121-1,NaN,0.38,0.38,0.71,0.78,0.62
121-2,NaN,0.50,0.50,0.50,0.50,0.50
121-3,NaN,0.25,0.25,0.64,0.78,0.55
122-1,NaN,0.55,0.55,0.45,0.55,0.44
124-1,NaN,0.60,0.60,0.74,0.31,0.66
124-2,NaN,0.50,0.50,0.50,0.22,0.38
124-3,NaN,0.60,0.60,0.74,0.31,0.66
125-1,NaN,0.38,0.38,0.67,0.83,0.61
125-2,NaN,0.23,0.23,0.64,0.69,0.55
125-3,NaN,0.50,0.50,0.35,0.34,0.26
126-1,NaN,0.50,0.50,0.50,0.50,0.50
127-1,NaN,0.82,0.82,0.35,0.21,0.30
127-2,NaN,0.85,0.85,0.49,0.38,0.39
127-3,NaN,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.65,0.65,0.55,0.45,0.48
129-1,NaN,0.47,0.47,0.45,0.50,0.34
129-2,NaN,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.47,0.47,0.45,0.50,0.34
130-1,NaN,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.10,0.10,0.45,0.63,0.44
131-2,NaN,0.07,0.07,0.45,0.63,0.44
131-3,NaN,0.10,0.10,0.38,0.62,0.33
132-1,NaN,0.75,0.75,0.47,0.57,0.38
132-2,NaN,0.75,0.75,0.47,0.57,0.38
65-1,NaN,0.72,0.72,0.48,0.29,0.38
65-2,NaN,0.85,0.85,0.48,0.31,0.38
65-3,NaN,0.70,0.70,0.47,0.29,0.37
68-1,NaN,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.95,0.95,0.60,0.79,0.59
69-2,NaN,0.95,0.95,0.53,0.71,0.59
70-1,NaN,0.50,0.50,0.50,0.50,0.50
70-2,NaN,0.05,0.05,0.53,0.49,0.46
70-3,NaN,0.10,0.10,0.57,0.47,0.58
72-1,NaN,0.05,0.05,0.64,0.75,0.56
72-2,NaN,0.05,0.05,0.64,0.75,0.56
73-1,NaN,0.68,0.68,0.65,0.72,0.54
73-2,NaN,0.62,0.62,0.71,0.82,0.63
73-3,NaN,0.42,0.42,0.65,0.65,0.52
74-1,NaN,0.10,0.10,0.69,0.75,0.61
74-2,NaN,0.10,0.10,0.69,0.78,0.64
75-1,NaN,0.82,0.82,0.68,0.81,0.65
75-2,NaN,0.82,0.82,0.69,0.76,0.66
79-1,NaN,0.50,0.50,0.50,0.50,0.50
79-2,NaN,0.50,0.50,0.50,0.50,0.50
79-3,NaN,0.50,0.50,0.50,0.50,0.50
80-1,NaN,0.10,0.10,0.70,0.76,0.62
80-2,NaN,0.10,0.10,0.73,0.82,0.67
81-1,NaN,0.17,0.17,0.46,0.59,0.44
81-2,NaN,0.17,0.17,0.46,0.59,0.44
82-1,NaN,0.72,0.72,0.32,0.21,0.26
83-1,NaN,0.23,0.10,0.67,0.75,0.60
83-2,NaN,0.23,0.10,0.67,0.75,0.56
84-1,NaN,0.23,0.23,0.77,0.69,0.68
85-1,NaN,0.72,0.72,0.45,0.47,0.40
85-2,NaN,0.72,0.72,0.45,0.47,0.40
86-1,NaN,0.42,0.42,0.56,0.64,0.47
86-2,NaN,0.42,0.42,0.56,0.64,0.47
86-3,NaN,0.57,0.57,0.46,0.57,0.39
87-1,NaN,0.15,0.15,0.67,0.72,0.60
87-2,NaN,0.03,0.03,0.66,0.68,0.59
87-3,NaN,0.10,0.10,0.61,0.67,0.55
88-1,NaN,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.38,0.38,0.76,0.82,0.71
93-2,NaN,0.40,0.40,0.76,0.82,0.65
94-1,NaN,0.28,0.28,0.46,0.74,0.38
95-1,NaN,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.30,0.30,0.70,0.78,0.62
97-2,NaN,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.42,0.42,0.63,0.81,0.57
99-1,NaN,0.60,0.60,0.45,0.21,0.40
