ID-model,GO:0005575,GO:0005622,GO:0044425,GO:0044424,GO:0016020,GO:0005829,GO:0005737,GO:0005886,GO:0044444,GO:0071944,GO:0005623,GO:0044464
127-1,NaN,0.82,0.83,0.82,0.70,0.63,0.62,0.56,0.51,0.53,0.64,0.64
127-2,NaN,0.85,0.84,0.85,0.61,0.70,0.69,0.50,0.63,0.48,0.74,0.74
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.63,0.68,0.63,0.61,0.52,0.53,0.55,0.58,0.50,0.76,0.76
129-1,NaN,0.62,0.73,0.63,0.65,0.76,0.55,0.58,0.53,0.55,0.59,0.59
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.62,0.73,0.63,0.65,0.76,0.55,0.58,0.53,0.55,0.59,0.59
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.96,0.86,0.92,0.83,0.50,0.87,0.47,0.50,0.52,0.47,0.47
131-2,NaN,0.95,0.87,0.95,0.83,0.50,0.91,0.47,0.50,0.53,0.49,0.49
131-3,NaN,0.88,0.85,0.84,0.84,0.50,0.79,0.43,0.47,0.43,0.39,0.39
132-1,NaN,0.82,0.82,0.81,0.76,0.68,0.62,0.51,0.56,0.56,0.78,0.78
132-2,NaN,0.82,0.78,0.81,0.74,0.68,0.62,0.48,0.56,0.53,0.78,0.78
65-1,NaN,0.83,0.35,0.84,0.34,0.68,0.76,0.40,0.69,0.52,0.74,0.74
65-2,NaN,0.82,0.37,0.81,0.36,0.69,0.74,0.41,0.70,0.51,0.70,0.70
65-3,NaN,0.83,0.35,0.82,0.35,0.69,0.76,0.42,0.69,0.48,0.71,0.71
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,0.90,0.84,0.93,0.86,0.65,0.92,0.63,0.56,0.59,0.87,0.87
69-2,NaN,0.87,0.83,0.86,0.83,0.59,0.79,0.55,0.57,0.58,0.91,0.91
70-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70-2,NaN,0.82,0.81,0.82,0.73,0.75,0.78,0.71,0.73,0.72,0.62,0.62
70-3,NaN,0.68,0.58,0.68,0.74,0.63,0.66,0.67,0.63,0.65,0.77,0.77
72-1,NaN,0.97,0.88,0.97,0.81,0.54,0.90,0.66,0.54,0.65,0.20,0.20
72-2,NaN,0.97,0.88,0.97,0.87,0.54,0.90,0.66,0.54,0.63,0.12,0.12
73-1,NaN,0.77,0.69,0.74,0.84,0.52,0.69,0.58,0.35,0.67,0.48,0.48
73-2,NaN,0.78,0.70,0.74,0.85,0.54,0.69,0.59,0.35,0.67,0.48,0.48
73-3,NaN,0.58,0.76,0.58,0.63,0.49,0.58,0.72,0.57,0.59,0.49,0.49
74-1,NaN,0.92,0.90,0.94,0.81,0.53,0.93,0.63,0.58,0.56,0.35,0.35
74-2,NaN,0.90,0.90,0.91,0.84,0.50,0.89,0.65,0.58,0.60,0.25,0.25
75-1,NaN,0.90,0.84,0.93,0.82,0.65,0.92,0.70,0.56,0.62,0.85,0.85
75-2,NaN,0.87,0.86,0.87,0.80,0.59,0.81,0.69,0.57,0.64,0.87,0.87
79-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80-1,NaN,0.89,0.90,0.92,0.75,0.53,0.94,0.65,0.58,0.54,0.34,0.34
80-2,NaN,0.91,0.89,0.93,0.81,0.50,0.90,0.65,0.58,0.57,0.25,0.25
81-1,NaN,0.92,0.79,0.73,0.67,0.50,0.68,0.50,0.53,0.54,0.58,0.58
81-2,NaN,0.92,0.79,0.73,0.67,0.50,0.68,0.50,0.53,0.54,0.58,0.58
82-1,NaN,0.83,0.79,0.83,0.66,0.51,0.64,0.63,0.57,0.53,0.21,0.21
83-1,NaN,0.96,0.86,0.96,0.74,0.61,0.91,0.65,0.59,0.70,0.35,0.21
83-2,NaN,0.96,0.86,0.96,0.74,0.61,0.91,0.65,0.68,0.74,0.35,0.19
84-1,NaN,0.65,0.79,0.65,0.79,0.50,0.57,0.40,0.48,0.65,0.19,0.19
85-1,NaN,0.59,0.80,0.57,0.87,0.54,0.52,0.60,0.43,0.55,0.52,0.52
85-2,NaN,0.59,0.80,0.57,0.87,0.54,0.52,0.60,0.43,0.55,0.52,0.52
86-1,NaN,0.54,0.55,0.50,0.52,0.48,0.48,0.47,0.50,0.45,0.52,0.52
86-2,NaN,0.54,0.55,0.50,0.52,0.48,0.48,0.47,0.50,0.45,0.52,0.52
86-3,NaN,0.00,0.75,0.00,0.00,0.33,0.17,0.50,0.33,0.25,NaN,NaN
87-1,NaN,0.94,0.93,0.88,0.78,0.50,0.84,0.61,0.50,0.61,0.33,0.33
87-2,NaN,0.94,0.94,0.88,0.79,0.50,0.84,0.62,0.50,0.62,0.33,0.33
87-3,NaN,0.94,0.91,0.88,0.77,0.50,0.84,0.59,0.50,0.60,0.58,0.58
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,0.53,0.80,0.53,0.76,0.50,0.64,0.69,0.29,0.68,0.50,0.50
93-2,NaN,0.50,0.70,0.50,0.74,0.48,0.55,0.71,0.24,0.70,0.50,0.50
94-1,NaN,0.99,0.84,0.98,0.78,0.50,0.90,0.57,0.59,0.57,0.49,0.49
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,0.88,0.85,0.88,0.78,0.50,0.87,0.70,0.50,0.64,0.45,0.45
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.85,0.81,0.85,0.82,0.53,0.79,0.63,0.58,0.59,0.38,0.38
99-1,NaN,0.68,0.80,0.65,0.65,0.67,0.61,0.69,0.59,0.63,0.74,0.74
