ID-model,GO:0005575,GO:0005622,GO:0005623,GO:0044424,GO:0044464,GO:0043226,GO:0043229,GO:0043227,GO:0043231
93-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
94-1,NaN,NaN,NaN,NaN,NaN,0.42,0.42,0.41,0.41
95-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
95-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
96-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
96-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
96-3,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
97-1,NaN,NaN,NaN,NaN,NaN,0.85,0.85,0.92,0.92
97-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
97-3,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
98-1,NaN,NaN,NaN,NaN,NaN,0.53,0.53,0.44,0.44
99-1,NaN,NaN,NaN,NaN,NaN,0.85,0.85,0.83,0.83
