ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0005622,GO:0044424,GO:0044444,GO:0005737,GO:0043226,GO:0043229,GO:0005886,GO:0071944,GO:0016020
86-1,NaN,0.48,0.48,0.55,0.55,0.63,0.70,0.50,0.50,0.52,0.52,0.51
86-2,NaN,0.48,0.48,0.55,0.55,0.63,0.70,0.50,0.50,0.52,0.52,0.51
86-3,NaN,0.74,0.74,0.60,0.60,0.75,0.72,0.46,0.46,0.60,0.60,0.55
87-1,NaN,0.24,0.24,0.57,0.57,0.65,0.65,0.39,0.39,0.89,0.86,0.85
87-2,NaN,0.06,0.06,0.78,0.78,0.87,0.89,0.55,0.55,0.93,0.86,0.82
87-3,NaN,0.85,0.85,0.65,0.65,0.75,0.75,0.63,0.63,0.89,0.87,0.75
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
94-1,NaN,0.48,0.48,0.84,0.84,0.84,0.86,0.70,0.70,0.85,0.85,0.71
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.72,0.72,0.84,0.84,0.68,0.91,0.68,0.68,0.91,0.91,0.86
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.61,0.61,0.49,0.49,0.75,0.74,0.47,0.47,0.80,0.78,0.81
99-1,NaN,0.61,0.57,0.89,0.90,0.96,0.96,0.75,0.75,1.00,1.00,0.98
