ID-model,GO:0008150,GO:0046483,GO:1901360,GO:0090304,GO:0006725,GO:0006139,GO:0016070,GO:0006807,GO:0034641,GO:1901576,GO:0009058,GO:0044249,GO:0043170,GO:0044260,GO:0044763,GO:0010467,GO:0044281,GO:0008152,GO:0044238,GO:0060255,GO:0044710,GO:0050794,GO:0044237,GO:0019222,GO:0080090,GO:0065007,GO:0071704,GO:0031323,GO:0044699,GO:0050789,GO:0009987
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,0.93,0.93,0.92,0.91,0.91,0.97,0.93,0.93,1.00,1.00,1.00,0.96,0.91,0.73,0.97,0.81,0.90,0.95,0.46,0.82,0.53,0.92,0.57,0.45,0.62,0.96,0.45,0.82,0.58,0.83
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.84,0.83,0.82,0.82,0.80,0.79,0.81,0.81,0.65,0.64,0.62,0.70,0.69,0.65,0.73,0.74,0.74,0.71,0.70,0.76,0.69,0.69,0.70,0.71,0.67,0.72,0.71,0.63,0.68,0.63
105-2,NaN,0.89,0.88,0.87,0.90,0.85,0.88,0.81,0.83,0.83,0.82,0.82,0.81,0.78,0.56,0.88,0.82,0.80,0.83,0.77,0.80,0.76,0.75,0.73,0.73,0.70,0.84,0.73,0.51,0.73,0.61
105-3,NaN,0.88,0.85,0.88,0.86,0.82,0.86,0.77,0.81,0.81,0.78,0.76,0.76,0.75,0.64,0.85,0.79,0.74,0.75,0.77,0.79,0.71,0.72,0.75,0.76,0.69,0.75,0.75,0.60,0.70,0.56
106-1,NaN,0.83,0.83,0.67,0.88,0.83,1.00,0.80,0.80,0.88,0.87,0.87,0.88,0.64,0.84,1.00,0.82,0.86,0.87,1.00,0.81,0.72,0.85,0.93,1.00,0.77,0.81,1.00,0.94,0.76,0.86
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.90,0.90,0.75,1.00,1.00,1.00,0.80,0.80,0.88,0.86,0.86,1.00,0.75,0.71,1.00,0.77,0.92,0.96,1.00,0.75,1.00,0.93,1.00,1.00,0.81,0.80,1.00,0.90,1.00,0.81
107-1,NaN,0.87,0.84,0.87,0.84,0.83,0.85,0.76,0.80,0.65,0.60,0.60,0.81,0.78,0.61,0.81,0.75,0.65,0.71,0.73,0.73,0.71,0.64,0.70,0.71,0.69,0.65,0.71,0.60,0.67,0.53
107-2,NaN,0.89,0.89,0.90,0.89,0.84,0.89,0.85,0.86,0.86,0.86,0.85,0.86,0.89,0.55,0.93,0.79,0.80,0.80,0.76,0.82,0.74,0.85,0.75,0.75,0.68,0.80,0.75,0.53,0.73,0.65
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.84,0.82,0.80,0.83,0.83,0.75,0.77,0.81,0.76,0.75,0.74,0.80,0.71,0.68,0.71,0.78,0.76,0.74,0.60,0.70,0.58,0.70,0.56,0.60,0.59,0.71,0.60,0.66,0.56,0.57
110-2,NaN,0.79,0.79,0.75,0.76,0.75,0.75,0.80,0.80,0.74,0.72,0.73,0.67,0.64,0.67,0.70,0.89,0.67,0.64,0.71,0.82,0.68,0.69,0.64,0.69,0.74,0.69,0.68,0.67,0.66,0.61
110-3,NaN,0.75,0.74,0.62,0.70,0.67,0.62,0.73,0.73,0.87,0.85,0.86,0.76,0.74,0.42,0.64,0.76,0.75,0.71,0.46,0.69,0.48,0.74,0.50,0.51,0.56,0.73,0.50,0.44,0.53,0.53
111-1,NaN,0.81,0.79,0.77,0.80,0.81,0.73,0.72,0.78,0.76,0.75,0.74,0.76,0.67,0.66,0.70,0.78,0.72,0.70,0.61,0.72,0.59,0.66,0.57,0.61,0.59,0.67,0.60,0.63,0.56,0.56
111-2,NaN,0.74,0.72,0.61,0.69,0.66,0.61,0.72,0.72,0.87,0.85,0.86,0.75,0.73,0.39,0.64,0.77,0.74,0.69,0.46,0.70,0.49,0.73,0.50,0.51,0.56,0.72,0.50,0.41,0.53,0.52
111-3,NaN,NaN,NaN,NaN,NaN,NaN,1.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,1.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN
112-1,NaN,0.86,0.85,0.85,0.82,0.83,0.76,0.86,0.85,0.95,0.93,0.93,0.85,0.83,0.62,0.81,0.90,0.75,0.77,0.59,0.82,0.57,0.76,0.53,0.58,0.66,0.77,0.57,0.65,0.56,0.67
112-2,NaN,0.87,0.85,0.85,0.83,0.83,0.77,0.86,0.86,0.95,0.93,0.93,0.86,0.84,0.63,0.82,0.90,0.75,0.77,0.60,0.82,0.58,0.76,0.53,0.59,0.66,0.77,0.58,0.65,0.57,0.67
112-3,NaN,0.85,0.83,0.84,0.81,0.81,0.76,0.84,0.84,0.95,0.91,0.92,0.83,0.81,0.50,0.81,0.94,0.80,0.81,0.58,0.88,0.57,0.80,0.52,0.57,0.63,0.81,0.56,0.54,0.56,0.54
113-1,NaN,0.85,0.83,0.84,0.81,0.81,0.76,0.85,0.84,0.95,0.92,0.92,0.84,0.81,0.50,0.81,0.94,0.80,0.81,0.59,0.89,0.58,0.80,0.52,0.58,0.63,0.81,0.57,0.54,0.57,0.53
113-2,NaN,0.74,0.72,0.64,0.69,0.66,0.64,0.72,0.71,0.86,0.84,0.84,0.78,0.76,0.44,0.66,0.75,0.74,0.72,0.42,0.68,0.49,0.74,0.45,0.47,0.57,0.72,0.46,0.45,0.54,0.53
113-3,NaN,0.79,0.76,0.76,0.77,0.79,0.72,0.68,0.75,0.73,0.72,0.71,0.73,0.64,0.65,0.68,0.80,0.70,0.67,0.61,0.74,0.58,0.64,0.56,0.60,0.58,0.65,0.60,0.63,0.55,0.52
114-1,NaN,0.92,0.91,0.91,0.90,0.90,0.87,0.89,0.90,0.77,0.77,0.76,0.85,0.82,0.74,0.84,0.91,0.81,0.80,0.58,0.91,0.61,0.78,0.60,0.58,0.66,0.79,0.60,0.71,0.62,0.71
115-1,NaN,0.87,0.88,0.93,0.88,0.86,0.93,0.86,0.87,0.89,0.88,0.86,0.84,0.86,0.72,0.91,0.86,0.76,0.76,0.74,0.88,0.73,0.77,0.74,0.74,0.81,0.78,0.68,0.73,0.77,0.71
116-1,NaN,0.87,0.87,0.91,0.89,0.88,0.94,0.87,0.87,0.83,0.83,0.78,0.82,0.83,0.67,0.93,0.80,0.76,0.78,0.66,0.85,0.70,0.77,0.71,0.66,0.68,0.76,0.66,0.67,0.73,0.60
116-2,NaN,0.76,0.76,0.74,0.76,0.74,0.75,0.76,0.76,0.61,0.61,0.61,0.57,0.63,0.68,0.79,1.00,0.51,0.51,0.73,1.00,0.60,0.64,0.64,0.73,0.57,0.51,0.73,0.67,0.57,0.55
117-1,NaN,0.86,0.86,0.87,0.83,0.84,0.83,0.81,0.83,0.75,0.75,0.75,0.79,0.76,0.61,0.82,0.86,0.71,0.71,0.73,0.83,0.67,0.71,0.69,0.71,0.65,0.72,0.71,0.64,0.64,0.52
117-2,NaN,0.85,0.85,0.84,0.84,0.84,0.88,0.85,0.85,0.89,0.89,0.82,0.85,0.79,0.76,0.88,1.00,0.90,0.86,0.44,0.97,0.60,0.82,0.41,0.41,0.71,0.90,0.41,0.82,0.68,0.61
119-1,NaN,0.88,0.88,0.83,0.86,0.86,0.79,0.86,0.87,0.85,0.84,0.82,0.81,0.80,0.49,0.81,0.81,0.80,0.76,0.55,0.81,0.50,0.80,0.57,0.55,0.52,0.77,0.56,0.49,0.52,0.70
120-1,NaN,0.94,0.94,0.94,0.93,0.93,0.90,0.92,0.93,0.74,0.72,0.71,0.86,0.84,0.74,0.87,0.90,0.83,0.82,0.63,0.89,0.60,0.80,0.65,0.62,0.65,0.80,0.63,0.71,0.62,0.70
120-2,NaN,0.75,0.72,0.68,0.75,0.75,0.69,0.70,0.71,0.51,0.51,0.53,0.67,0.63,0.65,0.75,0.75,0.64,0.64,0.52,0.79,0.55,0.64,0.53,0.52,0.58,0.71,0.52,0.68,0.56,0.46
120-3,NaN,0.74,0.62,0.52,0.63,0.61,0.52,0.65,0.65,0.60,0.60,0.57,0.68,0.67,0.56,0.51,0.72,0.82,0.78,0.65,0.75,0.57,0.75,0.60,0.66,0.52,0.82,0.65,0.58,0.60,0.69
121-1,NaN,0.89,0.89,0.87,0.89,0.89,0.83,0.89,0.89,0.74,0.74,0.68,0.85,0.76,0.65,0.83,0.75,0.82,0.84,0.36,0.73,0.52,0.80,0.34,0.36,0.56,0.91,0.36,0.65,0.52,0.70
121-2,NaN,0.88,0.88,0.85,0.86,0.85,0.88,0.89,0.86,0.80,0.80,0.75,0.88,0.91,0.66,0.81,0.72,0.93,0.88,0.33,0.78,0.44,0.89,0.33,0.36,0.49,0.88,0.36,0.76,0.44,0.93
121-3,NaN,0.96,0.96,0.87,0.96,0.96,0.88,0.95,0.95,0.86,0.86,0.86,0.90,0.87,0.65,0.88,0.81,0.80,0.88,0.50,0.77,0.64,0.85,0.47,0.47,0.67,0.87,0.47,0.82,0.64,0.57
122-1,NaN,0.90,0.90,0.85,0.90,0.90,0.84,0.91,0.91,0.78,0.78,0.74,0.85,0.83,0.64,0.79,0.82,0.77,0.82,0.62,0.83,0.67,0.78,0.65,0.61,0.68,0.80,0.62,0.65,0.67,0.54
124-1,NaN,0.55,0.52,0.73,0.66,0.70,0.66,0.45,0.50,0.42,0.43,0.43,0.52,0.57,0.47,0.55,0.44,0.40,0.39,0.74,0.46,0.57,0.42,0.77,0.75,0.55,0.38,0.75,0.51,0.60,0.42
124-2,NaN,0.33,0.31,0.44,0.42,0.44,0.48,0.30,0.30,0.41,0.42,0.43,0.39,0.43,0.45,0.41,0.45,0.35,0.37,0.54,0.30,0.46,0.36,0.54,0.55,0.45,0.35,0.55,0.46,0.46,0.44
124-3,NaN,0.52,0.52,0.72,0.58,0.61,0.66,0.45,0.50,0.44,0.44,0.45,0.52,0.57,0.43,0.55,0.36,0.38,0.37,0.74,0.44,0.57,0.40,0.78,0.76,0.57,0.36,0.76,0.48,0.61,0.39
125-1,NaN,0.92,0.91,0.91,0.90,0.90,0.86,0.89,0.90,0.75,0.75,0.75,0.85,0.82,0.74,0.84,0.91,0.81,0.79,0.59,0.91,0.62,0.78,0.61,0.60,0.67,0.79,0.61,0.71,0.63,0.70
125-2,NaN,0.92,0.92,0.90,0.92,0.92,0.88,0.92,0.92,0.75,0.74,0.72,0.87,0.81,0.70,0.84,0.84,0.80,0.85,0.67,0.83,0.72,0.73,0.65,0.65,0.68,0.82,0.66,0.62,0.67,0.57
125-3,NaN,0.87,0.86,0.85,0.83,0.84,0.79,0.83,0.81,0.80,0.79,0.78,0.85,0.83,0.72,0.79,0.77,0.85,0.84,0.61,0.76,0.65,0.79,0.65,0.63,0.66,0.81,0.63,0.66,0.66,0.69
126-1,NaN,1.00,1.00,1.00,1.00,1.00,0.90,1.00,1.00,0.43,0.43,0.43,0.93,0.92,0.71,0.90,0.50,NaN,0.88,NaN,0.50,NaN,0.81,NaN,NaN,NaN,0.88,NaN,0.86,NaN,0.75
127-1,NaN,0.88,0.90,0.87,0.90,0.88,0.84,0.88,0.89,0.83,0.81,0.81,0.84,0.82,0.88,0.80,0.85,0.79,0.80,0.76,0.82,0.63,0.76,0.77,0.79,0.66,0.77,0.78,0.84,0.63,0.73
127-2,NaN,0.91,0.91,0.90,0.90,0.90,0.86,0.90,0.91,0.86,0.83,0.83,0.85,0.85,0.86,0.83,0.86,0.81,0.81,0.72,0.84,0.69,0.80,0.72,0.72,0.71,0.81,0.71,0.84,0.69,0.73
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.89,0.89,0.91,0.89,0.86,0.94,0.89,0.89,0.92,0.91,0.91,0.81,0.85,0.70,0.77,0.96,0.63,0.75,0.94,0.94,0.67,0.66,0.79,0.92,0.68,0.67,0.91,0.68,0.61,0.61
129-1,NaN,0.90,0.89,0.87,0.89,0.87,0.85,0.86,0.87,0.87,0.86,0.86,0.82,0.83,0.53,0.89,0.88,0.78,0.81,0.76,0.80,0.65,0.78,0.73,0.79,0.55,0.81,0.81,0.51,0.60,0.62
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.90,0.89,0.87,0.89,0.87,0.85,0.86,0.87,0.87,0.86,0.86,0.82,0.83,0.53,0.89,0.88,0.78,0.81,0.76,0.80,0.65,0.78,0.73,0.79,0.55,0.81,0.81,0.51,0.60,0.62
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.94,0.94,0.91,0.93,0.93,0.95,0.94,0.94,0.85,0.83,0.78,0.90,0.86,0.60,0.90,0.85,0.82,0.87,0.58,0.85,0.53,0.79,0.67,0.58,0.55,0.88,0.60,0.60,0.58,0.54
131-2,NaN,0.89,0.89,0.90,0.89,0.88,0.93,0.90,0.90,0.85,0.83,0.79,0.84,0.83,0.67,0.89,0.77,0.77,0.77,0.55,0.77,0.56,0.76,0.61,0.53,0.60,0.77,0.55,0.65,0.60,0.57
131-3,NaN,0.78,0.81,0.82,0.80,0.78,0.88,0.80,0.80,0.77,0.77,0.75,0.75,0.71,0.68,0.87,0.82,0.69,0.72,0.51,0.80,0.74,0.65,0.55,0.56,0.73,0.68,0.57,0.69,0.73,0.59
132-1,NaN,0.87,0.85,0.81,0.85,0.85,0.74,0.86,0.87,0.91,0.89,0.85,0.82,0.76,0.67,0.72,0.89,0.76,0.73,0.60,0.85,0.58,0.73,0.55,0.59,0.64,0.76,0.59,0.65,0.58,0.65
132-2,NaN,0.86,0.85,0.80,0.84,0.84,0.74,0.84,0.86,0.87,0.85,0.85,0.81,0.76,0.57,0.72,0.93,0.79,0.78,0.59,0.92,0.58,0.78,0.54,0.58,0.62,0.78,0.58,0.57,0.58,0.56
65-1,NaN,0.48,0.49,0.41,0.42,0.44,0.44,0.48,0.48,0.68,0.70,0.67,0.39,0.40,0.48,0.43,0.78,0.42,0.35,0.63,0.73,0.63,0.44,0.64,0.64,0.62,0.48,0.63,0.54,0.64,0.42
65-2,NaN,0.52,0.49,0.41,0.44,0.44,0.45,0.48,0.50,0.68,0.69,0.67,0.39,0.40,0.48,0.45,0.78,0.43,0.36,0.63,0.72,0.63,0.45,0.63,0.62,0.61,0.48,0.60,0.53,0.65,0.35
65-3,NaN,0.51,0.50,0.40,0.45,0.45,0.45,0.48,0.49,0.69,0.69,0.65,0.38,0.38,0.48,0.43,0.75,0.42,0.37,0.65,0.74,0.62,0.44,0.64,0.62,0.62,0.46,0.61,0.49,0.66,0.35
68-1,NaN,0.69,0.69,0.65,0.67,0.63,0.67,0.64,0.65,0.70,0.72,0.72,0.67,0.67,0.67,0.66,0.75,0.58,0.62,0.71,0.77,0.59,0.59,0.65,0.71,0.59,0.53,0.68,0.64,0.58,0.54
68-2,NaN,0.72,0.72,0.66,0.67,0.64,0.68,0.70,0.71,0.64,0.65,0.66,0.67,0.68,0.56,0.67,0.77,0.62,0.56,0.62,0.83,0.58,0.59,0.61,0.61,0.53,0.58,0.61,0.52,0.58,0.53
69-1,NaN,0.80,0.81,0.89,0.83,0.84,0.89,0.79,0.80,0.84,0.82,0.80,0.77,0.79,0.67,0.90,0.74,0.71,0.70,0.78,0.79,0.79,0.72,0.77,0.78,0.81,0.74,0.75,0.68,0.79,0.62
69-2,NaN,0.71,0.71,0.83,0.73,0.73,0.86,0.70,0.71,0.88,0.87,0.85,0.73,0.75,0.69,0.90,0.79,0.66,0.62,0.79,0.84,0.78,0.67,0.78,0.79,0.80,0.67,0.75,0.66,0.78,0.60
70-1,NaN,0.76,0.73,0.77,0.78,0.77,0.82,0.77,0.77,0.72,0.79,0.79,0.74,0.78,0.75,0.80,0.75,0.73,0.78,0.73,0.77,0.66,0.73,0.64,0.66,0.68,0.66,0.68,0.72,0.61,0.64
70-2,NaN,0.75,0.71,0.69,0.78,0.68,0.57,0.72,0.70,0.68,0.68,0.67,0.51,0.59,0.63,0.53,0.82,0.63,0.55,0.64,0.64,0.71,0.67,0.70,0.64,0.57,0.62,0.66,0.59,0.63,0.53
70-3,NaN,0.65,0.64,0.61,0.65,0.66,0.65,0.68,0.68,0.62,0.68,0.58,0.61,0.55,0.60,0.63,0.67,0.64,0.60,0.84,0.69,0.77,0.63,0.83,0.84,0.65,0.58,0.84,0.64,0.77,0.59
72-1,NaN,0.84,0.84,0.81,0.83,0.82,0.85,0.81,0.81,0.82,0.82,0.82,0.79,0.81,0.66,0.77,0.81,0.80,0.76,0.62,0.80,0.69,0.78,0.66,0.62,0.69,0.79,0.62,0.72,0.71,0.63
72-2,NaN,0.67,0.67,0.61,0.67,0.68,0.65,0.78,0.78,0.67,0.67,0.67,0.69,0.67,0.60,0.63,0.50,0.85,0.76,0.55,0.50,0.61,0.85,0.53,0.55,0.57,0.76,0.55,0.57,0.59,0.70
73-1,NaN,0.72,0.72,0.74,0.71,0.70,0.72,0.71,0.72,0.69,0.68,0.69,0.57,0.63,0.59,0.67,0.83,0.60,0.59,0.66,0.82,0.64,0.62,0.68,0.57,0.64,0.61,0.60,0.62,0.67,0.46
73-2,NaN,0.73,0.73,0.74,0.71,0.70,0.76,0.72,0.73,0.68,0.68,0.69,0.58,0.63,0.58,0.71,0.83,0.62,0.60,0.67,0.82,0.64,0.64,0.69,0.58,0.63,0.62,0.60,0.60,0.68,0.46
73-3,NaN,0.61,0.60,0.72,0.64,0.65,0.72,0.58,0.60,0.59,0.59,0.59,0.63,0.62,0.60,0.64,0.71,0.53,0.58,0.71,0.65,0.66,0.52,0.70,0.66,0.64,0.52,0.65,0.58,0.67,0.50
74-1,NaN,0.75,0.79,0.78,0.77,0.73,0.68,0.70,0.74,0.72,0.72,0.72,0.72,0.78,0.77,0.69,0.70,0.63,0.60,0.36,0.79,0.56,0.67,0.46,0.37,0.68,0.63,0.37,0.76,0.60,0.48
74-2,NaN,0.74,0.73,0.73,0.75,0.72,0.77,0.76,0.76,0.75,0.75,0.71,0.72,0.71,0.74,0.76,0.77,0.68,0.68,0.70,0.80,0.69,0.68,0.70,0.69,0.75,0.68,0.69,0.79,0.69,0.57
75-1,NaN,0.80,0.81,0.89,0.83,0.84,0.89,0.79,0.80,0.84,0.82,0.80,0.77,0.79,0.74,0.90,0.74,0.71,0.70,0.78,0.79,0.79,0.71,0.77,0.78,0.84,0.74,0.75,0.73,0.79,0.62
75-2,NaN,0.73,0.73,0.86,0.75,0.75,0.89,0.72,0.73,0.87,0.86,0.84,0.75,0.76,0.71,0.91,0.79,0.67,0.63,0.79,0.84,0.78,0.67,0.78,0.79,0.83,0.68,0.75,0.70,0.78,0.60
79-1,NaN,0.84,0.84,0.82,0.84,0.84,0.79,0.82,0.83,0.83,0.82,0.82,0.83,0.81,0.63,0.83,0.80,0.80,0.83,0.62,0.85,0.64,0.78,0.60,0.60,0.62,0.81,0.61,0.62,0.63,0.62
79-2,NaN,0.90,0.90,0.87,0.90,0.89,0.78,0.87,0.89,0.87,0.83,0.83,0.83,0.81,0.65,0.78,0.82,0.76,0.81,0.68,0.84,0.54,0.72,0.68,0.67,0.52,0.77,0.67,0.70,0.53,0.57
79-3,NaN,0.90,0.90,0.88,0.89,0.89,0.87,0.89,0.90,0.86,0.85,0.85,0.91,0.90,0.66,0.83,0.87,0.85,0.89,0.71,0.84,0.74,0.89,0.68,0.70,0.75,0.90,0.71,0.67,0.73,0.76
80-1,NaN,0.76,0.79,0.76,0.77,0.74,0.70,0.72,0.74,0.81,0.80,0.80,0.74,0.78,0.79,0.74,0.65,0.65,0.65,0.46,0.71,0.61,0.67,0.52,0.46,0.69,0.68,0.47,0.77,0.63,0.61
80-2,NaN,0.79,0.78,0.80,0.80,0.77,0.85,0.81,0.81,0.78,0.77,0.73,0.76,0.75,0.72,0.84,0.77,0.71,0.71,0.69,0.80,0.70,0.70,0.70,0.68,0.75,0.71,0.69,0.76,0.70,0.64
81-1,NaN,0.83,0.83,0.85,0.81,0.80,0.96,0.83,0.83,1.00,1.00,1.00,0.82,0.81,0.90,0.96,0.85,0.77,0.76,0.74,0.92,0.82,0.73,0.62,0.73,0.84,0.71,0.72,0.89,0.74,0.73
81-2,NaN,0.83,0.83,0.85,0.81,0.80,0.96,0.83,0.83,1.00,1.00,1.00,0.82,0.81,0.90,0.96,0.85,0.77,0.76,0.74,0.92,0.82,0.73,0.62,0.73,0.84,0.71,0.72,0.89,0.74,0.73
82-1,NaN,0.84,0.85,0.82,0.84,0.84,0.80,0.72,0.72,0.90,0.82,0.75,0.79,0.78,0.64,0.80,0.74,0.74,0.69,0.69,0.75,0.66,0.69,0.66,0.69,0.67,0.67,0.69,0.63,0.67,0.68
83-1,NaN,0.80,0.80,0.80,0.80,0.79,0.79,0.82,0.79,0.65,0.64,0.59,0.70,0.70,0.59,0.77,0.78,0.49,0.63,0.77,0.78,0.73,0.49,0.75,0.75,0.74,0.49,0.76,0.60,0.71,0.46
83-2,NaN,0.75,0.73,0.78,0.78,0.77,0.78,0.78,0.74,0.69,0.68,0.64,0.72,0.71,0.64,0.77,0.75,0.49,0.63,0.84,0.76,0.79,0.51,0.80,0.81,0.71,0.49,0.81,0.66,0.78,0.53
84-1,NaN,0.69,0.69,0.75,0.77,0.81,0.79,0.73,0.64,0.83,0.85,0.80,0.83,0.82,0.77,0.80,0.78,0.78,0.75,0.53,0.80,0.70,0.78,0.47,0.53,0.74,0.72,0.47,0.82,0.70,0.53
