ID-model,GO:0005575,GO:0045202,GO:0044456,GO:0097458,GO:0031410,GO:0005739,GO:0031981,GO:0042995,GO:0005829,GO:0070013,GO:0043233,GO:0031974,GO:0044428,GO:0048471,GO:0044459,GO:0009986,GO:0044427,GO:0044430,GO:0005694,GO:0005912,GO:0000785,GO:0005856,GO:0005576,GO:0043228,GO:0043232,GO:0070161,GO:0044421,GO:0005783,GO:0005634,GO:0043234,GO:0005730,GO:0030055,GO:0030054,GO:0032991,GO:0044425,GO:0005886,GO:0005794,GO:0071944,GO:0005925,GO:0005789,GO:0005924,GO:0042175,GO:0005615,GO:0044444,GO:0044422,GO:0031988,GO:0031982,GO:0005768,GO:0044446,GO:0044424,GO:0043231,GO:0005622,GO:0043229,GO:0043226,GO:0043227,GO:0005737,GO:0065010,GO:0043230,GO:0070062,GO:0005623,GO:0044464,GO:0044432,GO:0016020,GO:0031090,GO:0012505,GO:0005654
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,0.94,0.82,0.78,0.67,0.96,0.58,0.79,0.49,0.57,0.57,0.57,0.60,0.50,0.48,0.50,0.79,0.78,0.79,0.56,0.77,0.71,0.60,0.73,0.73,0.56,0.54,0.70,0.80,0.60,0.72,0.56,0.57,0.58,0.67,0.55,0.61,0.54,0.56,0.73,0.56,0.73,0.56,0.74,0.71,0.50,0.50,0.74,0.72,0.72,0.76,0.72,0.73,0.59,0.58,0.68,0.50,0.50,0.50,0.63,0.63,0.70,0.64,0.80,0.78,0.49
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.96,0.96,0.83,0.88,0.78,0.78,0.71,0.64,0.74,0.74,0.74,0.74,0.69,0.77,0.73,0.74,0.74,0.73,0.72,0.75,0.70,0.62,0.69,0.69,0.73,0.60,0.74,0.63,0.60,0.76,0.72,0.59,0.61,0.61,0.64,0.73,0.64,0.74,0.76,0.73,0.76,0.63,0.58,0.60,0.54,0.55,0.77,0.60,0.56,0.58,0.55,0.58,0.47,0.47,0.54,0.52,0.52,0.52,0.53,0.53,0.68,0.61,0.67,0.66,0.61
105-2,NaN,0.96,0.95,0.86,0.87,0.85,0.81,0.65,0.69,0.78,0.78,0.77,0.77,0.73,0.74,0.70,0.81,0.75,0.80,0.65,0.81,0.71,0.64,0.73,0.73,0.63,0.61,0.78,0.70,0.67,0.76,0.66,0.54,0.67,0.63,0.72,0.77,0.72,0.68,0.79,0.68,0.79,0.62,0.66,0.65,0.55,0.55,0.77,0.64,0.62,0.64,0.62,0.63,0.53,0.53,0.58,0.53,0.53,0.52,0.56,0.56,0.73,0.61,0.74,0.73,0.49
105-3,NaN,0.95,0.95,0.84,0.85,0.82,0.77,0.72,0.70,0.73,0.73,0.73,0.73,0.69,0.72,0.64,0.72,0.76,0.70,0.65,0.70,0.70,0.63,0.68,0.68,0.62,0.63,0.75,0.65,0.64,0.70,0.66,0.61,0.65,0.60,0.69,0.73,0.69,0.67,0.71,0.67,0.71,0.62,0.64,0.59,0.56,0.57,0.72,0.58,0.58,0.61,0.58,0.60,0.51,0.49,0.56,0.57,0.57,0.57,0.54,0.54,0.65,0.59,0.70,0.68,0.79
106-1,NaN,0.61,0.62,0.49,0.69,0.89,0.50,0.48,0.47,0.49,0.49,0.49,0.49,0.50,0.58,0.49,0.84,0.69,0.84,0.49,0.85,0.69,0.54,0.65,0.65,0.49,0.52,0.60,0.68,0.69,0.49,0.50,0.48,0.68,0.57,0.49,0.55,0.49,0.50,0.49,0.50,0.49,0.53,0.63,0.61,0.53,0.53,0.50,0.62,0.63,0.63,0.62,0.66,0.60,0.61,0.62,0.52,0.52,0.52,0.56,0.56,0.49,0.65,0.53,0.48,0.52
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.74,0.74,0.48,0.81,1.00,0.47,0.47,0.46,0.47,0.47,0.47,0.46,0.49,0.60,0.49,0.93,0.79,0.93,0.49,0.94,0.77,0.53,0.69,0.69,0.49,0.53,0.49,0.68,0.72,0.49,0.50,0.47,0.75,0.65,0.54,0.59,0.53,0.50,0.49,0.50,0.48,0.54,0.58,0.65,0.53,0.53,0.49,0.65,0.54,0.60,0.54,0.60,0.60,0.62,0.60,0.52,0.52,0.52,0.51,0.51,0.49,0.58,0.55,0.47,0.48
107-1,NaN,0.95,0.96,0.90,0.88,0.78,0.74,0.77,0.64,0.71,0.70,0.70,0.69,0.69,0.68,0.64,0.68,0.76,0.68,0.55,0.68,0.70,0.62,0.68,0.68,0.54,0.61,0.75,0.63,0.63,0.78,0.58,0.55,0.63,0.64,0.66,0.75,0.65,0.58,0.77,0.58,0.77,0.55,0.60,0.57,0.56,0.56,0.72,0.56,0.52,0.56,0.52,0.55,0.51,0.50,0.55,0.53,0.53,0.52,0.50,0.50,0.73,0.61,0.72,0.68,0.71
107-2,NaN,0.74,0.81,0.76,0.68,0.84,0.78,0.67,0.67,0.75,0.74,0.74,0.75,0.67,0.76,0.66,0.74,0.73,0.75,0.67,0.69,0.67,0.61,0.67,0.67,0.65,0.61,0.83,0.75,0.60,0.72,0.68,0.56,0.61,0.62,0.72,0.73,0.72,0.69,0.76,0.69,0.76,0.56,0.68,0.65,0.55,0.55,0.74,0.65,0.65,0.70,0.65,0.69,0.61,0.59,0.61,0.53,0.53,0.53,0.57,0.57,0.70,0.59,0.70,0.73,0.77
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.50,0.50,0.50,0.50,0.50,0.54,0.50,0.50,0.53,0.53,0.53,0.53,0.50,0.50,0.50,0.53,0.50,0.53,0.50,0.54,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.51,0.50,0.51,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.49,0.52,0.50,0.50,0.50,0.52,0.51,0.51,0.51,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.51,0.50,0.50,0.50,0.50,0.57
110-2,NaN,0.99,0.99,0.82,0.83,0.70,0.73,0.71,0.54,0.72,0.73,0.74,0.73,0.43,0.74,0.71,0.63,0.73,0.68,0.64,0.65,0.71,0.60,0.65,0.65,0.62,0.57,0.49,0.62,0.66,0.64,0.69,0.57,0.66,0.54,0.65,0.70,0.67,0.50,0.40,0.63,0.40,0.53,0.61,0.60,0.53,0.53,0.73,0.61,0.58,0.57,0.58,0.59,0.55,0.53,0.55,0.51,0.51,0.51,0.54,0.54,0.53,0.58,0.43,0.43,0.87
110-3,NaN,0.64,0.65,0.58,0.62,0.79,0.76,0.64,0.49,0.73,0.73,0.72,0.73,0.49,0.80,0.58,0.79,0.63,0.79,0.62,0.74,0.54,0.55,0.65,0.65,0.59,0.54,0.54,0.62,0.57,0.80,0.66,0.63,0.56,0.59,0.63,0.56,0.62,0.61,0.62,0.64,0.61,0.53,0.59,0.58,0.52,0.53,0.78,0.59,0.57,0.60,0.57,0.60,0.53,0.52,0.54,0.52,0.52,0.51,0.54,0.54,0.58,0.53,0.55,0.53,0.79
111-1,NaN,0.86,0.63,0.60,0.55,0.56,0.60,0.52,0.49,0.59,0.59,0.59,0.59,0.50,0.49,0.50,0.64,0.49,0.64,0.54,0.65,0.49,0.50,0.53,0.53,0.54,0.50,0.50,0.54,0.50,0.50,0.54,0.52,0.53,0.49,0.51,0.50,0.51,0.50,0.50,0.54,0.50,0.50,0.52,0.56,0.50,0.50,0.50,0.57,0.53,0.51,0.53,0.55,0.56,0.55,0.51,0.50,0.50,0.50,0.52,0.52,0.50,0.50,0.50,0.50,0.72
111-2,NaN,0.96,0.78,0.58,0.73,0.79,0.74,0.64,0.47,0.71,0.70,0.70,0.71,0.49,0.81,0.58,0.78,0.64,0.77,0.62,0.74,0.54,0.55,0.64,0.64,0.60,0.54,0.54,0.62,0.58,0.80,0.66,0.63,0.56,0.60,0.63,0.56,0.62,0.60,0.62,0.64,0.60,0.53,0.59,0.58,0.53,0.53,0.78,0.59,0.56,0.60,0.56,0.60,0.56,0.55,0.54,0.52,0.52,0.51,0.52,0.52,0.58,0.52,0.55,0.53,0.77
111-3,NaN,0.92,0.63,0.60,0.72,1.00,0.67,0.73,0.49,0.65,0.65,0.66,0.65,0.48,0.47,0.49,0.63,0.48,0.63,0.73,0.60,0.46,0.51,0.50,0.50,0.73,0.51,0.48,0.62,0.50,0.49,0.73,0.60,0.57,0.47,0.61,0.50,0.55,0.50,0.50,0.73,0.50,0.50,0.61,0.63,0.51,0.53,0.49,0.63,0.56,0.58,0.56,0.63,0.68,0.61,0.52,0.50,0.50,0.50,0.45,0.45,0.49,0.50,0.49,0.49,0.86
112-1,NaN,0.99,0.99,0.79,0.81,0.78,0.79,0.70,0.50,0.77,0.77,0.78,0.75,0.45,0.76,0.69,0.75,0.70,0.77,0.64,0.70,0.66,0.60,0.69,0.69,0.62,0.58,0.54,0.65,0.69,0.81,0.67,0.56,0.68,0.58,0.66,0.70,0.67,0.48,0.56,0.64,0.54,0.55,0.61,0.61,0.53,0.54,0.81,0.63,0.59,0.60,0.59,0.61,0.55,0.53,0.55,0.52,0.52,0.52,0.54,0.54,0.61,0.58,0.48,0.49,0.88
112-2,NaN,0.99,0.99,0.79,0.81,0.78,0.79,0.70,0.50,0.77,0.77,0.78,0.75,0.46,0.76,0.69,0.75,0.71,0.77,0.64,0.70,0.66,0.60,0.69,0.69,0.62,0.58,0.53,0.65,0.69,0.80,0.68,0.56,0.68,0.59,0.66,0.70,0.67,0.48,0.56,0.64,0.54,0.55,0.61,0.61,0.53,0.54,0.81,0.62,0.59,0.60,0.58,0.61,0.55,0.53,0.55,0.52,0.52,0.52,0.54,0.54,0.61,0.58,0.48,0.49,0.88
112-3,NaN,0.99,0.99,0.79,0.81,0.76,0.78,0.69,0.52,0.77,0.77,0.79,0.74,0.45,0.75,0.69,0.74,0.70,0.76,0.64,0.69,0.63,0.60,0.66,0.66,0.61,0.58,0.54,0.65,0.72,0.81,0.67,0.55,0.71,0.60,0.66,0.72,0.67,0.47,0.58,0.64,0.56,0.55,0.62,0.59,0.53,0.54,0.81,0.61,0.58,0.60,0.58,0.59,0.54,0.54,0.56,0.52,0.52,0.52,0.53,0.53,0.63,0.57,0.51,0.52,0.87
113-1,NaN,0.99,0.99,0.79,0.81,0.76,0.78,0.70,0.52,0.76,0.76,0.78,0.73,0.45,0.75,0.69,0.74,0.70,0.76,0.64,0.69,0.63,0.60,0.65,0.65,0.61,0.58,0.54,0.65,0.71,0.81,0.67,0.55,0.71,0.60,0.65,0.72,0.67,0.47,0.58,0.64,0.56,0.55,0.62,0.58,0.53,0.53,0.81,0.60,0.58,0.60,0.58,0.59,0.54,0.53,0.56,0.52,0.52,0.52,0.52,0.52,0.63,0.57,0.51,0.52,0.87
113-2,NaN,0.91,0.93,0.75,0.67,0.76,0.77,0.62,0.48,0.75,0.74,0.74,0.74,0.48,0.76,0.59,0.79,0.63,0.79,0.60,0.74,0.52,0.56,0.65,0.65,0.57,0.55,0.54,0.63,0.61,0.84,0.64,0.61,0.60,0.62,0.63,0.59,0.62,0.59,0.66,0.62,0.64,0.54,0.60,0.57,0.53,0.53,0.79,0.57,0.57,0.60,0.57,0.60,0.53,0.53,0.54,0.52,0.52,0.51,0.53,0.53,0.62,0.50,0.57,0.58,0.78
113-3,NaN,0.92,0.63,0.59,0.72,1.00,0.69,0.72,0.47,0.68,0.68,0.68,0.67,0.48,0.44,0.49,0.65,0.46,0.65,0.73,0.62,0.44,0.51,0.50,0.50,0.73,0.51,0.48,0.63,0.50,0.47,0.73,0.58,0.57,0.44,0.66,0.49,0.58,0.50,0.50,0.73,0.50,0.49,0.60,0.63,0.51,0.53,0.49,0.63,0.57,0.59,0.57,0.63,0.67,0.61,0.51,0.50,0.50,0.50,0.46,0.46,0.49,0.48,0.49,0.49,0.85
114-1,NaN,0.99,0.99,0.90,0.93,0.83,0.76,0.72,0.78,0.73,0.73,0.72,0.77,0.50,0.55,0.66,0.68,0.74,0.68,0.59,0.64,0.74,0.64,0.73,0.73,0.57,0.62,0.81,0.77,0.72,0.74,0.60,0.64,0.69,0.65,0.68,0.72,0.67,0.60,0.80,0.60,0.80,0.59,0.73,0.69,0.58,0.59,0.82,0.69,0.65,0.70,0.65,0.68,0.57,0.55,0.66,0.50,0.50,0.50,0.58,0.58,0.79,0.63,0.79,0.76,0.65
115-1,NaN,0.99,0.98,0.92,0.88,0.91,0.79,0.67,0.67,0.77,0.77,0.77,0.76,0.48,0.71,0.64,0.78,0.73,0.79,0.68,0.79,0.72,0.61,0.74,0.74,0.65,0.60,0.76,0.78,0.73,0.73,0.65,0.59,0.72,0.63,0.66,0.76,0.65,0.66,0.69,0.65,0.69,0.62,0.73,0.71,0.53,0.53,0.71,0.71,0.65,0.72,0.64,0.70,0.61,0.59,0.61,0.52,0.52,0.51,0.56,0.56,0.68,0.62,0.76,0.75,0.91
116-1,NaN,0.74,0.59,0.60,0.49,0.85,0.56,0.63,0.48,0.57,0.57,0.57,0.58,0.50,0.55,0.50,0.78,0.79,0.78,0.50,0.76,0.74,0.57,0.67,0.67,0.50,0.52,0.67,0.70,0.62,0.60,0.50,0.53,0.63,0.65,0.52,0.59,0.51,0.50,0.66,0.50,0.66,0.52,0.63,0.70,0.51,0.51,0.64,0.70,0.64,0.68,0.64,0.66,0.61,0.60,0.58,0.50,0.50,0.50,0.58,0.59,0.71,0.61,0.74,0.69,0.52
116-2,NaN,0.61,0.50,0.50,0.49,0.79,0.52,0.56,0.49,0.52,0.52,0.52,0.53,0.50,0.58,0.50,0.91,0.73,0.91,0.50,0.89,0.66,0.58,0.62,0.62,0.50,0.53,0.61,0.63,0.61,0.50,0.50,0.50,0.61,0.60,0.49,0.60,0.49,0.50,0.62,0.50,0.62,0.51,0.64,0.71,0.50,0.50,0.75,0.71,0.65,0.64,0.66,0.68,0.61,0.56,0.59,0.50,0.50,0.50,0.61,0.61,0.59,0.57,0.85,0.77,0.53
117-1,NaN,0.95,0.97,0.85,0.80,0.78,0.77,0.76,0.62,0.74,0.73,0.73,0.71,0.70,0.79,0.71,0.83,0.73,0.81,0.61,0.81,0.69,0.64,0.71,0.71,0.59,0.63,0.66,0.66,0.65,0.66,0.55,0.68,0.66,0.64,0.68,0.68,0.66,0.59,0.67,0.58,0.66,0.55,0.65,0.63,0.57,0.57,0.65,0.63,0.61,0.62,0.61,0.63,0.53,0.52,0.59,0.58,0.58,0.57,0.57,0.57,0.70,0.58,0.54,0.44,0.88
117-2,NaN,0.98,0.86,0.47,0.98,0.73,0.57,0.94,NaN,0.56,0.56,0.56,0.57,0.49,0.96,0.50,0.77,0.40,0.77,0.49,0.79,0.56,0.51,0.74,0.74,0.49,0.52,0.73,0.54,0.55,NaN,0.49,0.47,0.61,0.55,0.66,0.48,0.60,0.50,0.49,0.49,0.49,0.48,0.65,0.69,0.50,0.51,0.73,0.68,0.58,0.53,0.59,0.62,0.66,0.48,0.63,0.50,0.50,0.50,0.49,0.49,0.49,0.53,0.45,0.47,0.59
119-1,NaN,0.99,0.99,0.80,0.84,0.86,0.80,0.89,0.64,0.79,0.78,0.78,0.79,0.69,0.67,0.62,0.74,0.81,0.73,0.58,0.73,0.72,0.63,0.72,0.72,0.57,0.61,0.78,0.71,0.67,0.71,0.59,0.55,0.65,0.70,0.63,0.76,0.63,0.60,0.63,0.60,0.63,0.56,0.68,0.71,0.58,0.58,0.79,0.70,0.63,0.65,0.63,0.64,0.57,0.57,0.62,0.52,0.52,0.52,0.58,0.58,0.75,0.60,0.79,0.73,0.85
120-1,NaN,0.99,0.99,0.90,0.87,0.90,0.90,0.79,0.73,0.86,0.86,0.86,0.87,0.69,0.75,0.74,0.83,0.77,0.84,0.72,0.79,0.76,0.67,0.80,0.80,0.66,0.66,0.81,0.77,0.75,0.89,0.76,0.59,0.72,0.70,0.70,0.70,0.68,0.78,0.78,0.77,0.78,0.62,0.70,0.71,0.60,0.60,0.72,0.71,0.64,0.70,0.64,0.68,0.57,0.56,0.64,0.54,0.54,0.53,0.57,0.57,0.81,0.63,0.75,0.75,0.91
120-2,NaN,0.82,0.62,0.50,0.82,0.89,0.82,0.66,0.71,0.79,0.79,0.79,0.79,0.50,0.56,0.62,0.50,0.66,0.62,0.54,0.50,0.71,0.60,0.68,0.68,0.53,0.56,0.77,0.74,0.65,0.73,0.50,0.58,0.63,0.66,0.67,0.59,0.67,0.50,0.74,0.50,0.82,0.60,0.69,0.63,0.53,0.54,0.71,0.66,0.64,0.68,0.64,0.66,0.54,0.54,0.60,0.50,0.50,0.50,0.55,0.55,0.79,0.61,0.78,0.75,0.83
