ID-model,GO:0003674,GO:0022857,GO:0005215,GO:0016772,GO:0016787,GO:0003676,GO:1901363,GO:0097159,GO:0003824,GO:0016740,GO:0005488,GO:0042802,GO:0005515
114-1,NaN,0.98,1.00,0.97,0.97,0.97,0.87,0.87,0.93,0.89,0.56,0.43,0.74
115-1,NaN,0.93,0.97,0.89,0.99,0.96,0.87,0.87,0.92,0.85,0.59,0.50,0.73
116-1,NaN,0.73,0.86,0.84,0.99,0.96,0.86,0.86,0.90,0.84,0.59,0.49,0.54
116-2,NaN,0.55,0.73,0.59,0.88,0.79,0.74,0.74,0.81,0.66,0.56,0.50,0.50
117-1,NaN,0.85,0.84,0.94,0.91,0.89,0.73,0.73,0.90,0.86,0.48,0.37,0.47
117-2,NaN,0.55,0.55,0.65,0.69,0.64,0.63,0.63,0.69,0.71,0.54,0.50,0.49
119-1,NaN,0.88,0.88,0.97,0.91,0.98,0.90,0.90,0.85,0.87,0.56,0.57,0.70
120-1,NaN,0.99,1.00,0.98,0.97,0.96,0.85,0.85,0.93,0.90,0.57,0.58,0.82
120-2,NaN,0.84,0.84,0.54,0.47,0.62,0.68,0.74,0.60,0.53,0.64,0.53,0.62
120-3,NaN,0.76,0.85,0.60,0.48,0.49,0.60,0.69,0.76,0.55,0.55,0.50,0.50
121-1,NaN,0.73,0.86,0.89,0.92,0.87,0.78,0.78,0.88,0.87,0.50,0.50,0.54
121-2,NaN,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.52,0.49,0.50,0.50,0.50
121-3,NaN,0.77,0.86,0.95,0.95,0.96,0.92,0.92,0.90,0.91,0.57,0.49,0.62
122-1,NaN,0.86,0.86,0.84,0.89,0.78,0.73,0.73,0.87,0.85,0.54,0.50,0.54
124-1,NaN,0.89,0.87,0.84,0.53,0.68,0.52,0.52,0.13,0.75,0.68,0.51,0.53
124-2,NaN,0.49,0.45,0.60,0.45,0.54,0.55,0.55,0.12,0.40,0.47,0.50,0.35
124-3,NaN,0.89,0.87,0.83,0.12,0.66,0.33,0.33,0.12,0.68,0.68,0.51,0.53
125-1,NaN,0.82,1.00,0.93,0.97,0.97,0.87,0.87,0.93,0.88,0.57,0.43,0.74
125-2,NaN,0.90,0.90,0.95,0.94,0.90,0.79,0.79,0.92,0.91,0.38,0.52,0.46
125-3,NaN,0.88,0.87,0.86,0.87,0.79,0.68,0.68,0.86,0.79,0.62,0.46,0.58
126-1,NaN,0.50,0.50,0.49,0.50,0.59,0.56,0.56,0.51,0.49,0.52,0.50,0.50
127-1,NaN,0.90,0.90,0.98,0.86,0.87,0.79,0.79,0.85,0.92,0.56,0.56,0.51
127-2,NaN,0.90,0.90,0.98,0.88,0.82,0.73,0.73,0.90,0.91,0.53,0.51,0.49
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.86,0.86,0.85,0.82,0.75,0.64,0.64,0.79,0.79,0.54,0.49,0.56
129-1,NaN,0.94,0.94,0.90,0.86,0.74,0.65,0.65,0.88,0.84,0.56,0.49,0.45
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.94,0.94,0.90,0.86,0.74,0.65,0.65,0.88,0.84,0.56,0.49,0.45
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.73,0.86,0.84,0.95,0.91,0.82,0.82,0.91,0.88,0.52,0.50,0.50
131-2,NaN,0.73,0.86,0.94,0.97,0.91,0.82,0.82,0.93,0.91,0.52,0.50,0.50
131-3,NaN,0.81,0.85,0.88,0.99,0.92,0.86,0.86,0.90,0.85,0.55,0.49,0.49
132-1,NaN,0.89,0.88,0.97,0.94,0.89,0.82,0.81,0.89,0.89,0.78,0.40,0.81
132-2,NaN,0.89,0.88,0.97,0.90,0.89,0.81,0.81,0.83,0.88,0.75,0.40,0.75
65-1,NaN,0.77,0.77,0.81,0.76,0.81,0.72,0.72,0.49,0.66,0.78,0.53,0.77
65-2,NaN,0.77,0.77,0.81,0.77,0.81,0.73,0.73,0.49,0.66,0.78,0.53,0.76
65-3,NaN,0.77,0.77,0.81,0.76,0.83,0.72,0.72,0.49,0.66,0.77,0.53,0.77
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.97,0.99,0.95,0.98,0.95,0.82,0.82,0.89,0.87,0.64,0.57,0.65
69-2,NaN,0.96,0.98,0.95,0.93,0.93,0.82,0.82,0.87,0.88,0.69,0.61,0.66
70-1,NaN,0.83,0.94,0.74,0.84,0.94,0.90,0.90,0.77,0.71,0.70,0.50,0.67
70-2,NaN,0.79,0.75,0.51,0.79,0.79,0.77,0.77,0.55,0.49,0.67,0.68,0.51
70-3,NaN,0.73,0.82,0.68,0.83,0.47,0.82,0.44,0.58,0.67,0.66,0.57,0.56
72-1,NaN,0.68,0.68,0.85,0.97,0.85,0.76,0.76,0.93,0.86,0.67,0.49,0.81
72-2,NaN,0.50,0.50,0.50,0.52,0.72,0.70,0.70,0.50,0.50,0.75,0.49,0.81
73-1,NaN,0.89,0.91,0.93,0.89,0.91,0.87,0.87,0.83,0.87,0.69,0.43,0.66
73-2,NaN,0.89,0.92,0.93,0.89,0.91,0.87,0.87,0.83,0.87,0.69,0.44,0.65
73-3,NaN,0.91,0.91,0.92,0.82,0.91,0.72,0.72,0.69,0.79,0.51,0.48,0.51
74-1,NaN,0.68,0.82,0.69,0.63,0.89,0.77,0.77,0.66,0.73,0.57,0.49,0.58
74-2,NaN,0.67,0.90,0.88,0.94,0.97,0.93,0.93,0.88,0.86,0.61,0.47,0.59
75-1,NaN,0.97,0.99,0.95,0.98,0.96,0.83,0.83,0.89,0.88,0.63,0.57,0.65
75-2,NaN,0.97,0.99,0.95,0.98,0.96,0.86,0.86,0.88,0.88,0.67,0.61,0.66
79-1,NaN,0.68,0.68,0.68,0.77,0.62,0.60,0.60,0.81,0.68,0.54,0.52,0.46
79-2,NaN,0.55,0.55,0.69,0.74,0.63,0.55,0.55,0.77,0.69,0.50,0.53,0.49
79-3,NaN,0.86,0.91,0.94,0.94,0.98,0.88,0.88,0.87,0.90,0.66,0.52,0.54
80-1,NaN,0.68,0.82,0.69,0.73,0.89,0.77,0.77,0.70,0.73,0.56,0.48,0.58
80-2,NaN,0.72,0.90,0.88,0.98,0.97,0.93,0.93,0.89,0.86,0.59,0.47,0.59
81-1,NaN,0.68,0.73,0.89,0.89,0.63,0.65,0.65,0.89,0.86,0.58,0.50,0.56
81-2,NaN,0.68,0.73,0.89,0.89,0.63,0.65,0.65,0.89,0.86,0.58,0.50,0.56
82-1,NaN,0.86,0.86,0.94,0.85,0.76,0.68,0.68,0.83,0.87,0.57,0.53,0.55
83-1,NaN,0.76,0.82,0.97,0.93,0.98,0.90,0.90,0.62,0.88,0.67,0.62,0.78
83-2,NaN,0.94,0.95,0.97,0.95,0.98,0.90,0.90,0.62,0.88,0.69,0.62,0.81
84-1,NaN,0.91,0.95,0.79,0.55,0.96,0.93,0.93,0.68,0.63,0.73,0.50,0.30
85-1,NaN,0.80,0.89,0.89,0.91,0.75,0.69,0.69,0.89,0.86,0.64,0.44,0.56
85-2,NaN,0.80,0.89,0.89,0.91,0.75,0.69,0.69,0.89,0.86,0.64,0.44,0.56
86-1,NaN,0.54,0.54,0.50,0.49,0.57,0.54,0.54,0.50,0.50,0.69,0.50,0.76
86-2,NaN,0.54,0.54,0.50,0.49,0.57,0.54,0.54,0.50,0.50,0.69,0.50,0.76
86-3,NaN,0.55,0.55,0.50,0.50,0.53,0.52,0.52,0.51,0.50,0.69,0.50,0.76
87-1,NaN,0.82,0.86,0.94,0.98,0.97,0.90,0.90,0.96,0.90,0.58,0.50,0.55
87-2,NaN,0.82,0.86,0.94,0.99,0.95,0.86,0.86,0.97,0.90,0.51,0.50,0.55
87-3,NaN,0.73,0.86,0.89,0.93,0.96,0.86,0.86,0.95,0.88,0.51,0.50,0.55
88-1,NaN,0.86,0.90,0.83,0.91,0.59,0.56,0.56,0.83,0.81,0.56,0.47,0.57
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.88,0.88,0.96,0.75,0.92,0.80,0.79,0.73,0.82,0.50,0.49,0.53
93-2,NaN,0.80,0.80,0.92,0.69,0.87,0.74,0.73,0.65,0.75,0.53,0.46,0.47
94-1,NaN,0.72,0.90,0.93,0.97,0.96,0.89,0.89,0.87,0.87,0.64,0.49,0.59
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.79,0.85,0.69,0.71,0.52,0.54,0.54,0.52,0.76,0.67,0.56,0.48
99-1,NaN,0.89,0.89,0.85,0.77,0.76,0.68,0.68,0.77,0.90,0.52,0.46,0.53
