ID-model,GO:0003674,GO:0042802,GO:0016787,GO:0003824,GO:0043167,GO:0005515,GO:0005488
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.50,0.74,0.65,0.73,0.50,0.67
131-2,NaN,0.50,0.81,0.67,0.72,0.50,0.65
131-3,NaN,0.50,0.80,0.73,0.76,0.50,0.69
132-1,NaN,0.64,0.91,0.75,0.72,0.67,0.64
132-2,NaN,0.64,0.91,0.71,0.72,0.60,0.61
65-1,NaN,0.44,0.73,0.59,0.70,0.57,0.62
65-2,NaN,0.44,0.75,0.59,0.71,0.57,0.62
65-3,NaN,0.40,0.70,0.58,0.69,0.55,0.61
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.49,0.91,0.63,0.84,0.67,0.76
69-2,NaN,0.48,0.92,0.65,0.79,0.67,0.73
70-1,NaN,0.41,0.81,0.69,0.63,0.56,0.53
70-2,NaN,0.55,0.63,0.43,0.64,0.48,0.54
70-3,NaN,0.58,0.76,0.53,0.48,0.45,0.60
72-1,NaN,0.52,0.82,0.72,0.54,0.61,0.57
72-2,NaN,0.52,0.60,0.50,0.49,0.61,0.58
73-1,NaN,0.50,0.87,0.71,0.62,0.55,0.59
73-2,NaN,0.52,0.87,0.71,0.62,0.60,0.63
73-3,NaN,0.54,0.72,0.50,0.65,0.62,0.53
74-1,NaN,0.48,0.78,0.62,0.72,0.60,0.68
74-2,NaN,0.48,0.84,0.71,0.77,0.61,0.70
75-1,NaN,0.49,0.91,0.65,0.86,0.67,0.75
75-2,NaN,0.48,0.93,0.67,0.85,0.67,0.76
79-1,NaN,0.52,0.83,0.66,0.65,0.55,0.48
79-2,NaN,0.48,0.69,0.63,0.68,0.49,0.47
79-3,NaN,0.44,0.83,0.75,0.83,0.46,0.61
80-1,NaN,0.48,0.81,0.61,0.75,0.60,0.68
80-2,NaN,0.48,0.84,0.72,0.84,0.61,0.73
81-1,NaN,0.50,0.77,0.75,0.62,0.55,0.65
81-2,NaN,0.50,0.77,0.75,0.62,0.55,0.65
82-1,NaN,0.59,0.72,0.69,0.69,0.52,0.55
83-1,NaN,0.57,0.72,0.55,0.79,0.75,0.59
83-2,NaN,0.57,0.74,0.61,0.80,0.75,0.57
84-1,NaN,0.50,0.42,0.58,0.65,0.45,0.62
85-1,NaN,0.39,0.80,0.71,0.71,0.41,0.48
85-2,NaN,0.39,0.80,0.71,0.71,0.41,0.48
86-1,NaN,0.46,0.78,0.65,0.57,0.65,0.56
86-2,NaN,0.46,0.78,0.65,0.57,0.65,0.56
86-3,NaN,0.46,0.79,0.66,0.54,0.65,0.52
87-1,NaN,0.49,0.81,0.74,0.72,0.56,0.64
87-2,NaN,0.49,0.82,0.76,0.73,0.56,0.66
87-3,NaN,0.50,0.82,0.80,0.70,0.57,0.66
88-1,NaN,0.50,0.81,0.62,0.56,0.53,0.54
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.57,0.49,0.54,0.71,0.56,0.68
93-2,NaN,0.57,0.47,0.49,0.60,0.56,0.59
94-1,NaN,0.50,0.92,0.73,0.77,0.50,0.70
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.56,0.61,0.51,0.67,0.55,0.62
99-1,NaN,0.51,0.73,0.70,0.70,0.47,0.56
