ID-model,GO:0005575,GO:0032991,GO:0005622,GO:0044424,GO:0044425,GO:0005737,GO:0016020,GO:0044444,GO:0005829,GO:0005886,GO:0071944,GO:0005623,GO:0044464
124-2,NaN,0.40,0.16,0.16,0.42,0.50,0.24,0.50,0.50,0.47,0.37,0.38,0.38
124-3,NaN,0.80,0.89,0.89,0.50,0.60,0.43,0.62,0.70,0.59,0.62,0.82,0.82
125-1,NaN,0.66,0.89,0.89,0.84,0.84,0.77,0.50,0.64,0.67,0.65,0.38,0.38
125-2,NaN,0.68,0.79,0.79,0.82,0.81,0.73,0.59,0.58,0.62,0.62,0.53,0.53
125-3,NaN,0.87,0.76,0.76,0.88,0.72,0.61,0.65,0.61,0.58,0.48,0.52,0.52
126-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
127-1,NaN,0.72,0.75,0.75,0.74,0.60,0.58,0.50,0.55,0.51,0.47,0.72,0.72
127-2,NaN,0.83,0.80,0.80,0.79,0.67,0.64,0.60,0.65,0.53,0.51,0.67,0.67
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.79,0.63,0.63,0.62,0.61,0.56,0.61,0.51,0.50,0.47,0.58,0.58
129-1,NaN,0.81,0.65,0.66,0.74,0.58,0.70,0.55,0.70,0.63,0.61,0.58,0.58
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.81,0.65,0.66,0.74,0.58,0.70,0.55,0.70,0.63,0.61,0.58,0.58
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.60,0.73,0.71,0.76,0.66,0.75,0.50,0.50,0.51,0.53,0.32,0.32
131-2,NaN,0.60,0.73,0.73,0.76,0.68,0.75,0.50,0.50,0.51,0.53,0.33,0.33
131-3,NaN,0.57,0.74,0.72,0.78,0.66,0.75,0.48,0.50,0.48,0.47,0.30,0.30
132-1,NaN,0.83,0.85,0.84,0.83,0.68,0.79,0.64,0.67,0.54,0.59,0.79,0.79
132-2,NaN,0.78,0.84,0.83,0.80,0.66,0.77,0.60,0.67,0.51,0.55,0.79,0.79
65-1,NaN,0.45,0.79,0.79,0.39,0.69,0.41,0.60,0.69,0.44,0.57,0.72,0.71
65-2,NaN,0.43,0.78,0.77,0.40,0.67,0.43,0.62,0.70,0.44,0.55,0.68,0.68
65-3,NaN,0.43,0.78,0.78,0.39,0.69,0.42,0.61,0.69,0.45,0.53,0.69,0.69
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.86,0.91,0.93,0.85,0.93,0.86,0.63,0.64,0.66,0.62,0.88,0.88
69-2,NaN,0.86,0.88,0.87,0.85,0.80,0.85,0.63,0.60,0.60,0.63,0.92,0.92
70-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
70-2,NaN,0.43,0.83,0.83,0.83,0.78,0.75,0.75,0.73,0.72,0.75,0.65,0.65
70-3,NaN,0.40,0.72,0.72,0.58,0.70,0.72,0.66,0.62,0.66,0.65,0.78,0.78
72-1,NaN,0.60,0.79,0.79,0.85,0.73,0.78,0.51,0.52,0.68,0.65,0.15,0.15
72-2,NaN,0.50,0.79,0.79,0.83,0.73,0.81,0.51,0.52,0.68,0.64,0.07,0.07
73-1,NaN,0.70,0.79,0.76,0.70,0.68,0.85,0.38,0.52,0.60,0.69,0.49,0.49
73-2,NaN,0.70,0.79,0.76,0.72,0.68,0.86,0.39,0.54,0.61,0.68,0.49,0.49
73-3,NaN,0.73,0.57,0.57,0.77,0.57,0.64,0.56,0.49,0.71,0.59,0.46,0.46
74-1,NaN,0.57,0.68,0.70,0.88,0.70,0.74,0.53,0.51,0.65,0.61,0.24,0.24
74-2,NaN,0.57,0.87,0.88,0.91,0.83,0.83,0.61,0.48,0.66,0.62,0.26,0.26
75-1,NaN,0.86,0.91,0.94,0.86,0.92,0.84,0.63,0.64,0.71,0.64,0.87,0.87
75-2,NaN,0.86,0.88,0.88,0.87,0.82,0.81,0.63,0.60,0.70,0.66,0.88,0.88
79-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
79-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
79-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
80-1,NaN,0.62,0.68,0.70,0.88,0.71,0.71,0.53,0.51,0.65,0.59,0.24,0.24
80-2,NaN,0.57,0.88,0.90,0.91,0.84,0.80,0.61,0.48,0.65,0.59,0.26,0.26
81-1,NaN,0.57,0.93,0.75,0.79,0.65,0.68,0.52,0.50,0.51,0.54,0.61,0.61
81-2,NaN,0.57,0.93,0.75,0.79,0.65,0.68,0.52,0.50,0.51,0.54,0.61,0.61
82-1,NaN,0.62,0.68,0.68,0.67,0.60,0.49,0.55,0.49,0.49,0.45,0.43,0.43
83-1,NaN,0.91,0.96,0.95,0.86,0.92,0.73,0.64,0.57,0.66,0.73,0.36,0.22
83-2,NaN,0.87,0.96,0.95,0.87,0.92,0.75,0.73,0.60,0.67,0.75,0.36,0.21
84-1,NaN,0.90,0.70,0.70,0.81,0.62,0.82,0.54,0.57,0.35,0.70,0.18,0.18
85-1,NaN,0.78,0.67,0.65,0.68,0.60,0.68,0.60,0.53,0.54,0.49,0.57,0.57
85-2,NaN,0.78,0.67,0.65,0.68,0.60,0.68,0.60,0.53,0.54,0.49,0.57,0.57
86-1,NaN,0.49,0.56,0.53,0.54,0.49,0.52,0.50,0.48,0.48,0.46,0.56,0.55
86-2,NaN,0.49,0.56,0.53,0.54,0.49,0.52,0.50,0.48,0.48,0.46,0.56,0.55
86-3,NaN,0.49,0.46,0.46,0.54,0.47,0.48,0.48,0.48,0.51,0.49,0.56,0.56
87-1,NaN,0.64,0.82,0.79,0.79,0.73,0.71,0.52,0.50,0.59,0.56,0.26,0.26
87-2,NaN,0.63,0.82,0.79,0.79,0.73,0.71,0.52,0.50,0.59,0.56,0.28,0.28
87-3,NaN,0.64,0.80,0.77,0.79,0.72,0.72,0.52,0.50,0.59,0.56,0.41,0.41
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.62,0.56,0.56,0.75,0.63,0.70,0.36,0.50,0.64,0.65,0.44,0.44
93-2,NaN,0.68,0.50,0.50,0.68,0.54,0.66,0.31,0.48,0.65,0.66,0.45,0.45
94-1,NaN,0.58,0.99,0.99,0.84,0.89,0.78,0.57,0.50,0.57,0.58,0.50,0.50
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.89,0.89,0.86,0.88,0.78,0.50,0.50,0.71,0.65,0.45,0.45
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.65,0.79,0.79,0.82,0.73,0.82,0.55,0.59,0.64,0.60,0.37,0.37
99-1,NaN,0.87,0.63,0.61,0.81,0.59,0.69,0.53,0.60,0.71,0.67,0.68,0.68
