ID-model,GO:0003674,GO:0016874,GO:0070011,GO:0016788,GO:0016491,GO:0008233,GO:0016787,GO:0000975,GO:0044212,GO:0001067,GO:0003677,GO:0003676,GO:0097159,GO:0003824,GO:1901363,GO:0016740,GO:0016772,GO:0022857,GO:0043565,GO:0005215,GO:0030234,GO:0016773,GO:0022891,GO:0022892,GO:0043168,GO:0046872,GO:0043167,GO:0005102,GO:0042802,GO:0043169,GO:0005515,GO:0005488,GO:0019899
106-2,NaN,0.56,0.50,0.56,0.60,0.50,0.59,0.50,0.50,0.50,0.50,0.50,0.60,0.57,0.60,0.49,0.50,0.75,0.50,0.75,0.50,0.50,0.75,0.75,0.79,0.69,0.75,0.50,0.50,0.67,0.52,0.57,0.50
106-3,NaN,1.00,0.99,0.61,1.00,1.00,0.98,0.50,0.50,0.50,0.72,0.71,0.67,0.92,0.68,0.98,0.99,0.97,0.49,0.98,NaN,1.00,0.98,1.00,0.72,0.82,0.71,0.50,0.50,0.74,0.53,0.63,0.50
107-1,NaN,0.99,0.99,0.91,0.97,0.92,0.89,0.77,0.77,0.77,0.89,0.85,0.76,0.83,0.76,0.90,0.93,0.95,0.70,0.97,0.83,0.88,0.95,0.95,0.70,0.76,0.63,0.52,0.45,0.71,0.58,0.48,0.59
107-2,NaN,0.98,0.99,0.94,0.97,0.92,0.90,0.85,0.85,0.85,0.89,0.88,0.83,0.86,0.83,0.91,0.93,0.97,0.79,0.97,0.80,0.92,0.97,0.97,0.79,0.83,0.75,0.43,0.43,0.78,0.61,0.51,0.57
107-3,NaN,0.93,0.98,0.76,0.93,0.99,0.82,0.46,0.46,0.46,0.93,0.92,0.77,0.61,0.77,0.80,0.83,0.94,0.90,0.94,NaN,0.86,0.95,0.95,0.92,0.82,0.74,NaN,0.50,0.82,0.59,0.58,0.48
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.68,0.58,0.74,0.73,0.66,0.65,0.79,0.79,0.79,0.80,0.78,0.75,0.62,0.74,0.63,0.73,0.67,0.67,0.64,0.60,0.70,0.64,0.62,0.66,0.63,0.62,0.62,0.54,0.60,0.49,0.53,0.39
110-2,NaN,0.99,0.94,0.89,0.84,0.92,0.89,0.63,0.59,0.63,0.72,0.70,0.73,0.83,0.72,0.88,0.84,0.86,0.57,0.92,0.85,0.76,0.85,0.86,0.84,0.62,0.70,0.61,0.54,0.64,0.66,0.65,0.63
110-3,NaN,0.67,0.69,0.50,0.73,0.75,0.62,0.47,0.47,0.47,0.50,0.49,0.49,0.61,0.48,0.65,0.58,0.76,0.49,0.75,0.71,0.60,0.77,0.77,0.46,0.74,0.64,0.62,0.63,0.73,0.71,0.66,0.70
111-1,NaN,0.68,0.58,0.74,0.73,0.65,0.65,0.79,0.79,0.79,0.79,0.77,0.73,0.62,0.72,0.65,0.73,0.67,0.65,0.63,0.61,0.70,0.64,0.62,0.65,0.63,0.61,0.64,0.54,0.60,0.48,0.52,0.39
111-2,NaN,0.67,0.69,0.50,0.73,0.75,0.62,0.49,0.49,0.49,0.51,0.51,0.50,0.60,0.49,0.63,0.56,0.75,0.52,0.75,0.71,0.57,0.77,0.77,0.46,0.75,0.64,0.62,0.62,0.73,0.70,0.65,0.70
111-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.70,0.70,0.64,0.51,0.47,0.42,0.74,0.42,0.83,NaN,NaN,0.51,NaN,0.50,NaN,NaN,NaN,0.47,NaN,0.47,NaN,0.43,NaN,0.52,0.30,0.41
112-1,NaN,0.98,0.97,0.93,0.88,0.99,0.94,0.82,0.80,0.81,0.84,0.81,0.79,0.87,0.78,0.92,0.91,0.94,0.70,0.96,0.86,0.87,0.94,0.94,0.83,0.75,0.73,0.79,0.60,0.72,0.69,0.67,0.58
112-2,NaN,0.99,0.98,0.93,0.88,0.99,0.94,0.82,0.80,0.81,0.84,0.81,0.79,0.87,0.78,0.92,0.91,0.95,0.70,0.96,0.86,0.88,0.95,0.95,0.83,0.75,0.72,0.79,0.59,0.72,0.68,0.67,0.58
112-3,NaN,0.98,0.97,0.93,0.93,0.99,0.94,0.82,0.80,0.81,0.83,0.79,0.77,0.88,0.76,0.92,0.91,0.94,0.70,0.96,0.91,0.87,0.94,0.94,0.83,0.75,0.72,0.79,0.60,0.72,0.66,0.64,0.59
113-1,NaN,0.99,0.98,0.93,0.93,0.99,0.94,0.82,0.80,0.81,0.83,0.79,0.78,0.88,0.77,0.92,0.91,0.95,0.70,0.96,0.91,0.87,0.95,0.94,0.83,0.75,0.72,0.79,0.59,0.72,0.66,0.64,0.59
113-2,NaN,0.79,0.75,0.48,0.83,0.79,0.63,0.48,0.48,0.48,0.53,0.53,0.52,0.64,0.51,0.67,0.58,0.70,0.50,0.66,0.77,0.61,0.71,0.68,0.44,0.72,0.62,0.67,0.61,0.70,0.73,0.65,0.73
113-3,NaN,0.87,0.99,0.85,0.87,1.00,0.81,0.86,0.86,0.86,0.85,0.81,0.76,0.72,0.74,0.75,0.80,0.75,0.76,0.73,0.84,0.74,0.72,0.71,0.79,0.67,0.67,0.72,0.51,0.65,0.50,0.50,0.32
114-1,NaN,0.94,0.99,0.98,0.99,0.99,0.93,0.82,0.82,0.82,0.95,0.92,0.86,0.91,0.86,0.96,1.00,0.99,0.73,0.99,0.82,1.00,1.00,0.99,0.82,0.80,0.70,0.64,0.53,0.78,0.67,0.58,0.51
115-1,NaN,0.99,0.98,0.96,0.91,0.98,0.95,0.70,0.70,0.70,0.95,0.94,0.88,0.89,0.88,0.93,0.96,0.99,0.82,0.99,0.92,0.91,0.99,0.99,0.78,0.86,0.78,0.61,0.50,0.84,0.77,0.72,0.72
116-1,NaN,0.80,0.74,0.86,0.94,0.76,0.91,0.50,0.50,0.50,0.91,0.90,0.84,0.89,0.84,0.93,0.92,1.00,0.60,0.99,0.74,0.85,0.94,0.95,0.83,0.68,0.69,0.50,0.50,0.65,0.56,0.68,0.49
116-2,NaN,0.70,0.64,0.86,0.94,0.68,0.85,0.50,0.50,0.50,0.90,0.89,0.82,0.83,0.83,0.82,0.83,0.93,0.60,1.00,0.72,0.85,1.00,1.00,0.74,0.68,0.68,0.50,0.50,0.65,0.54,0.65,0.50
117-1,NaN,0.94,0.99,0.86,0.98,0.99,0.90,0.89,0.89,0.89,0.91,0.88,0.81,0.91,0.81,0.89,0.91,0.92,0.81,0.89,0.85,0.94,0.93,0.91,0.76,0.56,0.62,0.65,0.36,0.58,0.55,0.50,0.58
117-2,NaN,1.00,0.98,0.73,0.94,0.92,0.87,0.50,0.50,0.50,0.85,0.85,0.84,0.91,0.84,0.98,1.00,0.99,0.65,0.98,0.83,0.50,1.00,0.99,0.73,0.45,0.62,0.50,0.50,0.44,0.55,0.66,0.49
119-1,NaN,0.94,0.99,0.98,0.98,0.96,0.94,0.77,0.77,0.77,0.94,0.91,0.88,0.91,0.88,0.96,0.99,0.94,0.71,0.98,0.71,1.00,0.94,0.94,0.78,0.77,0.70,0.69,0.44,0.72,0.58,0.58,0.52
120-1,NaN,1.00,0.99,0.96,0.98,0.96,0.94,0.92,0.92,0.92,0.93,0.91,0.84,0.94,0.84,0.98,1.00,0.99,0.87,0.99,0.90,1.00,0.99,0.99,0.77,0.80,0.69,0.69,0.58,0.75,0.67,0.55,0.65
120-2,NaN,0.63,0.95,0.75,0.69,0.92,0.84,0.65,0.65,0.65,0.78,0.81,0.70,0.82,0.73,0.80,0.85,0.84,0.68,0.93,0.71,0.79,0.83,0.85,0.64,0.62,0.64,0.67,0.53,0.61,0.67,0.54,0.63
120-3,NaN,0.58,0.50,0.51,0.54,0.62,0.65,0.69,0.66,0.69,0.80,0.83,0.65,0.70,0.68,0.57,0.63,0.79,0.59,0.81,0.49,0.64,0.78,0.80,0.46,0.64,0.53,0.50,0.50,0.63,0.50,0.59,0.50
121-1,NaN,0.93,0.99,0.97,0.89,0.96,0.94,0.50,0.50,0.50,0.95,0.94,0.87,0.85,0.88,0.93,0.96,0.93,0.61,0.98,0.83,0.85,0.94,0.89,0.80,0.73,0.67,0.50,0.50,0.73,0.50,0.65,0.49
121-2,NaN,0.50,0.50,NaN,1.00,1.00,1.00,0.50,0.50,0.50,1.00,1.00,1.00,0.94,1.00,1.00,1.00,1.00,1.00,1.00,NaN,NaN,1.00,1.00,0.45,NaN,0.45,NaN,NaN,NaN,0.91,0.95,NaN
121-3,NaN,0.94,0.98,0.97,0.89,0.99,0.97,0.50,0.50,0.50,0.89,0.87,0.84,0.89,0.84,0.95,1.00,0.99,0.54,0.98,0.74,1.00,1.00,0.94,0.80,0.80,0.72,0.50,0.50,0.80,0.61,0.63,0.49
122-1,NaN,0.75,0.64,0.98,0.86,0.70,0.93,0.50,0.50,0.50,0.85,0.86,0.81,0.86,0.81,0.87,1.00,0.99,0.59,0.98,0.72,1.00,1.00,1.00,0.73,0.51,0.53,0.56,0.50,0.50,0.66,0.61,0.49
124-1,NaN,0.99,1.00,0.72,0.63,0.91,0.69,0.95,0.95,0.95,0.82,0.76,0.51,0.45,0.51,0.54,0.51,0.83,0.91,0.83,0.79,0.51,0.84,0.80,0.44,0.47,0.36,0.68,0.48,0.50,0.48,0.59,0.75
124-2,NaN,0.57,0.31,0.37,0.40,0.33,0.30,0.32,0.33,0.32,0.69,0.55,0.46,0.22,0.46,0.32,0.18,0.35,0.79,0.35,0.74,0.15,0.37,0.35,0.33,0.36,0.35,0.63,0.44,0.40,0.61,0.55,0.77
124-3,NaN,0.94,1.00,0.64,0.49,0.91,0.61,0.95,0.95,0.95,0.79,0.72,0.27,0.41,0.27,0.37,0.51,0.76,0.75,0.74,0.64,0.51,0.76,0.72,0.44,0.47,0.36,0.68,0.48,0.50,0.48,0.58,0.75
125-1,NaN,0.95,0.99,0.94,0.92,0.93,0.93,0.52,0.52,0.52,0.90,0.88,0.84,0.91,0.84,0.97,1.00,0.95,0.59,0.99,0.72,1.00,0.95,0.95,0.76,0.81,0.71,0.64,0.53,0.80,0.68,0.59,0.51
125-2,NaN,0.94,1.00,0.96,0.88,0.99,0.95,0.53,0.53,0.53,0.87,0.82,0.76,0.89,0.76,0.95,0.98,0.94,0.57,0.93,0.80,0.99,0.94,0.93,0.77,0.76,0.64,0.53,0.50,0.72,0.54,0.57,0.48
125-3,NaN,0.91,0.99,0.86,0.91,0.91,0.89,0.85,0.85,0.84,0.83,0.79,0.74,0.82,0.75,0.90,0.95,0.91,0.76,0.94,0.88,0.96,0.91,0.91,0.84,0.64,0.67,0.64,0.39,0.59,0.61,0.54,0.56
126-1,NaN,0.79,0.95,0.89,1.00,0.96,0.91,0.50,0.50,0.50,0.82,0.81,0.78,0.93,0.78,0.98,0.88,0.74,0.50,0.77,0.70,0.73,0.72,0.75,0.72,0.56,0.67,0.55,0.50,0.54,0.58,0.64,0.52
127-1,NaN,0.94,0.94,0.99,0.92,0.92,0.97,0.80,0.72,0.80,0.88,0.87,0.85,0.88,0.86,0.96,0.99,0.99,0.78,0.99,0.83,0.99,0.98,0.99,0.83,0.68,0.76,0.75,0.60,0.65,0.63,0.64,0.53
127-2,NaN,0.94,0.99,0.98,0.91,0.99,0.97,0.84,0.84,0.85,0.84,0.82,0.83,0.88,0.83,0.95,0.99,0.99,0.76,0.99,0.91,0.99,0.99,0.99,0.85,0.62,0.72,0.65,0.58,0.57,0.66,0.61,0.66
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.99,1.00,0.91,0.91,0.94,0.89,0.66,0.66,0.65,0.66,0.62,0.65,0.84,0.64,0.88,0.86,0.82,0.71,0.83,0.94,0.77,0.79,0.81,0.80,0.69,0.67,0.67,0.51,0.66,0.61,0.54,0.63
129-1,NaN,0.93,0.93,0.88,0.91,0.95,0.88,0.86,0.86,0.86,0.84,0.83,0.79,0.86,0.79,0.85,0.83,0.86,0.80,0.87,0.92,0.75,0.85,0.86,0.83,0.68,0.77,0.59,0.32,0.66,0.61,0.64,0.62
129-2,NaN,1.00,1.00,NaN,1.00,0.63,0.76,0.32,0.32,0.32,0.47,0.49,0.61,0.84,0.62,0.80,NaN,NaN,0.80,1.00,0.79,NaN,NaN,1.00,0.48,0.48,0.47,0.61,0.11,0.44,0.59,0.65,0.64
129-3,NaN,0.93,0.93,0.88,0.91,0.95,0.88,0.86,0.86,0.86,0.84,0.83,0.79,0.86,0.79,0.85,0.83,0.86,0.80,0.87,0.92,0.75,0.85,0.86,0.84,0.69,0.77,0.59,0.32,0.68,0.61,0.64,0.62
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.94,0.98,0.98,0.89,0.96,0.94,0.50,0.50,0.50,0.90,0.88,0.84,0.87,0.85,0.93,0.91,0.89,0.60,0.97,0.77,0.86,0.94,0.94,0.81,0.71,0.69,0.50,0.50,0.67,0.53,0.63,0.50
131-2,NaN,0.94,0.98,0.94,0.89,0.96,0.93,0.50,0.50,0.50,0.91,0.90,0.83,0.86,0.83,0.96,0.95,0.88,0.60,0.98,0.74,0.95,0.94,0.93,0.80,0.70,0.67,0.50,0.50,0.67,0.52,0.60,0.50
131-3,NaN,0.95,0.99,0.94,0.86,0.95,0.93,0.65,0.65,0.65,0.89,0.87,0.85,0.87,0.85,0.93,0.97,0.94,0.70,0.98,0.72,0.98,1.00,0.98,0.78,0.65,0.67,0.55,0.49,0.62,0.53,0.62,0.53
132-1,NaN,0.98,0.96,0.97,0.87,0.98,0.93,0.83,0.83,0.83,0.85,0.82,0.80,0.85,0.79,0.91,0.92,0.96,0.72,0.96,0.86,0.89,0.96,0.96,0.82,0.74,0.73,0.82,0.58,0.70,0.67,0.69,0.58
132-2,NaN,0.98,0.96,0.97,0.92,0.98,0.93,0.83,0.83,0.83,0.84,0.82,0.80,0.86,0.79,0.91,0.92,0.96,0.72,0.96,0.91,0.89,0.96,0.95,0.82,0.74,0.73,0.81,0.58,0.70,0.64,0.65,0.59
65-1,NaN,0.92,0.98,0.84,0.79,0.95,0.82,0.72,0.72,0.71,0.66,0.63,0.65,0.74,0.66,0.76,0.91,0.88,0.79,0.89,0.90,0.92,0.87,0.87,0.90,0.74,0.76,0.90,0.35,0.71,0.66,0.61,0.71
65-2,NaN,0.92,0.98,0.82,0.86,0.95,0.84,0.75,0.75,0.75,0.76,0.73,0.71,0.79,0.71,0.80,0.90,0.88,0.77,0.88,0.89,0.91,0.86,0.87,0.89,0.77,0.80,0.89,0.43,0.76,0.69,0.64,0.72
65-3,NaN,0.93,0.98,0.82,0.84,0.94,0.81,0.74,0.75,0.74,0.69,0.64,0.63,0.77,0.64,0.80,0.91,0.88,0.78,0.89,0.89,0.92,0.87,0.87,0.90,0.73,0.78,0.90,0.45,0.70,0.67,0.61,0.75
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,0.94,0.99,0.90,0.91,0.98,0.95,0.77,0.77,0.77,0.97,0.97,0.89,0.80,0.89,0.89,0.96,0.98,0.77,0.98,0.99,0.88,0.99,0.99,0.89,0.81,0.78,NaN,0.48,0.81,0.66,0.76,0.94
69-2,NaN,0.94,0.98,0.93,0.94,0.93,0.92,0.76,0.76,0.75,0.95,0.93,0.87,0.84,0.87,0.88,0.94,0.97,0.76,0.99,0.90,0.91,0.97,0.97,0.81,0.72,0.68,0.60,0.46,0.69,0.79,0.77,0.72
70-1,NaN,0.94,0.88,0.83,0.92,0.81,0.89,0.89,0.89,0.89,0.84,0.86,0.82,0.85,0.82,0.87,0.80,0.68,0.74,0.80,0.78,0.80,0.67,0.78,0.69,0.72,0.67,0.59,0.42,0.70,0.74,0.76,0.67
70-2,NaN,0.89,0.89,0.77,0.64,0.89,0.81,0.73,0.76,0.72,0.54,0.76,0.72,0.63,0.72,0.53,0.83,0.73,0.69,0.74,0.72,0.82,0.69,0.73,0.72,0.56,0.63,0.50,0.61,0.53,0.51,0.55,0.51
70-3,NaN,0.90,0.99,0.79,0.58,0.91,0.88,0.52,0.52,0.52,0.55,0.54,0.55,0.77,0.83,0.85,0.78,0.81,0.48,0.86,0.62,0.81,0.82,0.85,0.62,0.50,0.53,0.68,0.57,0.50,0.63,0.67,0.54
72-1,NaN,0.95,0.99,0.86,0.74,0.93,0.91,0.50,0.50,0.50,0.81,0.81,0.75,0.88,0.75,0.97,0.81,0.81,0.54,0.82,0.69,0.77,0.80,0.77,0.68,0.57,0.60,0.50,0.52,0.56,0.57,0.56,0.50
72-2,NaN,0.72,0.94,0.54,0.50,0.96,0.71,0.50,0.50,0.50,0.81,0.81,0.77,0.65,0.77,0.67,0.81,0.50,0.54,0.50,0.54,0.77,0.50,0.50,0.62,0.58,0.59,0.50,0.52,0.57,0.51,0.53,0.50
73-1,NaN,0.97,0.99,0.94,0.91,0.94,0.91,0.86,0.86,0.86,0.84,0.79,0.74,0.83,0.74,0.83,0.94,0.92,0.73,0.93,0.88,0.95,0.93,0.92,0.79,0.59,0.63,0.71,0.49,0.56,0.62,0.52,0.58
73-2,NaN,0.97,0.99,0.94,0.91,0.94,0.91,0.86,0.86,0.86,0.84,0.79,0.74,0.83,0.74,0.83,0.94,0.92,0.72,0.93,0.88,0.95,0.93,0.92,0.78,0.60,0.63,0.71,0.46,0.56,0.63,0.53,0.59
73-3,NaN,0.96,0.91,0.83,0.87,0.86,0.66,0.83,0.68,0.82,0.83,0.80,0.65,0.56,0.65,0.70,0.74,0.88,0.68,0.85,0.75,0.80,0.87,0.86,0.70,0.65,0.60,0.63,0.49,0.68,0.61,0.54,0.56
74-1,NaN,1.00,0.97,0.92,0.93,0.92,0.90,0.61,0.61,0.61,0.90,0.94,0.87,0.87,0.87,0.95,1.00,0.99,0.66,0.98,0.73,1.00,1.00,0.98,0.76,0.82,0.74,0.58,0.46,0.77,0.63,0.56,0.47
74-2,NaN,0.99,0.99,0.97,0.92,0.93,0.93,0.50,0.50,0.50,0.92,0.93,0.88,0.88,0.88,0.96,0.99,0.89,0.61,0.93,0.77,0.98,0.88,0.93,0.78,0.74,0.69,0.52,0.44,0.72,0.64,0.61,0.59
75-1,NaN,1.00,0.99,0.90,0.91,0.98,0.95,0.77,0.77,0.77,0.97,0.97,0.89,0.81,0.89,0.89,0.96,0.99,0.77,0.98,0.99,0.88,0.99,0.99,0.91,0.82,0.79,NaN,0.48,0.82,0.66,0.76,0.94
75-2,NaN,1.00,0.99,0.95,0.94,0.93,0.93,0.76,0.76,0.75,0.97,0.94,0.87,0.87,0.88,0.93,0.97,0.98,0.76,0.99,0.90,0.91,0.98,0.98,0.81,0.81,0.71,0.60,0.46,0.77,0.79,0.77,0.72
79-1,NaN,0.90,1.00,0.99,0.91,0.91,0.96,0.78,0.63,0.78,0.81,0.90,0.85,0.84,0.86,0.92,0.95,0.93,0.65,0.93,0.84,0.93,0.92,0.93,0.80,0.69,0.69,0.62,0.49,0.62,0.60,0.68,0.58
79-2,NaN,0.95,1.00,1.00,0.99,0.93,0.99,0.89,0.67,0.89,0.92,0.97,0.93,0.83,0.95,1.00,1.00,0.99,0.78,0.99,0.80,1.00,0.99,1.00,0.91,0.74,0.78,0.72,0.45,0.74,0.57,0.66,0.47
79-3,NaN,0.87,1.00,0.90,0.92,0.93,0.94,0.72,0.60,0.72,0.86,0.92,0.86,0.85,0.87,0.97,1.00,0.85,0.62,0.86,0.85,0.90,0.84,0.86,0.81,0.86,0.79,0.52,0.46,0.84,0.57,0.64,0.60
80-1,NaN,1.00,0.98,0.99,0.89,0.93,0.95,0.57,0.57,0.57,0.86,0.88,0.84,0.86,0.84,0.93,0.93,0.99,0.74,0.98,0.73,0.93,0.99,0.98,0.77,0.86,0.77,0.58,0.46,0.81,0.66,0.60,0.47
80-2,NaN,1.00,0.99,0.97,0.92,0.93,0.93,0.50,0.50,0.50,0.95,0.93,0.88,0.89,0.88,0.96,0.99,0.99,0.61,0.99,0.77,0.98,0.99,0.99,0.82,0.79,0.73,0.52,0.44,0.77,0.64,0.60,0.59
