ID-model,GO:0008150,GO:0050896,GO:0022414,GO:0000003,GO:0009605,GO:0050794,GO:0048608,GO:0061458,GO:0003006,GO:0006950,GO:0009991,GO:0031667,GO:0042594,GO:0009987,GO:0050789,GO:0065007,GO:0044767,GO:0048513,GO:0030582,GO:0030587,GO:0055084,GO:0075259,GO:0032501,GO:0044699,GO:0019954,GO:0044707,GO:0044763,GO:0032502,GO:0007275,GO:0048731,GO:0048856
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.71,0.50,0.50,0.50,0.54,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.54,0.54,0.50,0.50,0.50,0.50,0.50,0.50,0.54,0.84,0.50,0.54,0.86,0.54,0.54,0.50,0.50
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.73,0.51,0.54,0.71,0.84,0.64,0.64,0.56,0.65,0.64,0.65,0.67,0.75,0.84,0.84,0.51,0.66,0.52,0.52,0.52,0.52,0.51,0.94,0.57,0.51,0.87,0.52,0.52,0.50,0.56
105-2,NaN,0.74,0.63,0.61,0.71,0.80,0.58,0.58,0.62,0.58,0.66,0.66,0.69,0.65,0.78,0.78,0.54,0.70,0.60,0.60,0.60,0.60,0.55,0.90,0.54,0.55,0.80,0.52,0.53,0.49,0.53
105-3,NaN,0.72,0.43,0.44,0.49,0.79,0.58,0.58,0.52,0.69,0.58,0.58,0.59,0.67,0.73,0.73,0.49,0.70,0.53,0.53,0.53,0.53,0.56,0.81,0.49,0.56,0.76,0.49,0.50,0.47,0.51
106-1,NaN,0.51,0.50,0.50,0.50,0.60,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.65,0.54,0.54,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.66,0.50,0.50,0.65,0.50,0.50,0.50,0.50
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.54,0.50,0.50,0.50,0.44,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.53,0.44,0.44,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.55,0.50,0.50,0.50,0.50
107-1,NaN,0.62,0.38,0.41,0.58,0.59,0.39,0.39,0.36,0.54,0.57,0.57,0.60,0.65,0.52,0.52,0.57,0.54,0.54,0.54,0.54,0.54,0.39,0.58,0.55,0.39,0.57,0.44,0.39,0.39,0.43
107-2,NaN,0.79,0.52,0.44,0.60,0.57,0.54,0.54,0.52,0.46,0.56,0.56,0.56,0.43,0.54,0.52,0.69,0.51,0.50,0.50,0.50,0.50,0.50,0.62,0.44,0.50,0.61,0.50,0.50,0.52,0.50
