ID-model,GO:0008150,GO:0050896,GO:0022414,GO:0000003,GO:0009605,GO:0050794,GO:0048608,GO:0061458,GO:0003006,GO:0006950,GO:0009991,GO:0031667,GO:0042594,GO:0009987,GO:0050789,GO:0065007,GO:0044767,GO:0048513,GO:0030582,GO:0030587,GO:0055084,GO:0075259,GO:0032501,GO:0044699,GO:0019954,GO:0044707,GO:0044763,GO:0032502,GO:0007275,GO:0048731,GO:0048856
84-1,NaN,0.44,0.40,0.40,0.45,0.49,0.35,0.35,0.35,0.43,0.39,0.39,0.35,0.76,0.49,0.48,0.45,0.35,0.35,0.35,0.35,0.35,0.35,0.41,0.35,0.35,0.60,0.39,0.35,0.35,0.42
85-1,NaN,0.82,0.55,0.57,0.71,0.77,0.69,0.69,0.64,0.71,0.73,0.73,0.73,0.36,0.70,0.69,0.54,0.60,0.61,0.61,0.61,0.61,0.52,0.79,0.61,0.53,0.71,0.59,0.55,0.59,0.55
85-2,NaN,0.82,0.55,0.57,0.71,0.77,0.69,0.69,0.64,0.71,0.73,0.73,0.73,0.36,0.70,0.69,0.54,0.60,0.61,0.61,0.61,0.61,0.52,0.79,0.61,0.53,0.71,0.59,0.55,0.59,0.55
86-1,NaN,0.68,0.69,0.72,0.65,0.67,0.61,0.61,0.71,0.60,0.65,0.65,0.65,0.47,0.61,0.52,0.89,0.73,0.61,0.61,0.61,0.61,0.79,0.59,0.61,0.73,0.68,0.68,0.76,0.72,0.66
86-2,NaN,0.68,0.69,0.72,0.65,0.67,0.61,0.61,0.71,0.60,0.65,0.65,0.65,0.47,0.61,0.52,0.89,0.73,0.61,0.61,0.61,0.61,0.79,0.59,0.61,0.73,0.68,0.68,0.76,0.72,0.66
86-3,NaN,0.62,0.65,0.70,0.58,0.60,0.61,0.61,0.65,0.61,0.61,0.61,0.61,0.76,0.54,0.54,0.77,0.69,0.61,0.61,0.61,0.61,0.67,0.62,0.61,0.67,0.80,0.67,0.67,0.67,0.67
87-1,NaN,0.48,0.44,0.48,0.50,0.33,0.44,0.44,0.44,0.44,0.50,0.50,0.50,0.47,0.20,0.20,0.45,0.48,0.50,0.50,0.50,0.50,0.41,0.38,0.50,0.41,0.25,0.43,0.43,0.37,0.43
87-2,NaN,0.49,0.44,0.48,0.50,0.38,0.44,0.44,0.44,0.44,0.50,0.50,0.50,0.52,0.25,0.25,0.46,0.47,0.50,0.50,0.50,0.50,0.39,0.28,0.50,0.39,0.22,0.41,0.41,0.36,0.41
87-3,NaN,0.58,0.44,0.47,0.50,0.33,0.44,0.44,0.44,0.44,0.50,0.50,0.50,0.59,0.26,0.26,0.46,0.54,0.50,0.50,0.50,0.50,0.40,0.30,0.50,0.40,0.31,0.48,0.48,0.43,0.48
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
94-1,NaN,0.79,0.54,0.54,0.57,0.73,0.54,0.54,0.54,0.61,0.58,0.58,0.58,0.59,0.73,0.73,0.70,0.62,0.54,0.54,0.54,0.54,0.62,0.91,0.54,0.62,0.75,0.67,0.67,0.62,0.71
95-1,NaN,0.59,0.61,0.61,0.46,0.51,0.61,0.61,0.61,0.49,0.47,0.47,0.41,0.72,0.51,0.51,0.67,0.60,0.51,0.52,0.52,0.51,0.58,0.66,0.51,0.58,0.60,0.58,0.58,0.59,0.58
95-2,NaN,0.52,0.59,0.59,0.48,0.61,0.59,0.59,0.59,0.58,0.51,0.51,0.49,0.81,0.61,0.61,0.67,0.60,0.60,0.63,0.63,0.60,0.64,0.62,0.58,0.64,0.49,0.64,0.63,0.60,0.63
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
99-1,NaN,0.66,0.71,0.69,0.71,0.55,0.83,0.83,0.82,0.76,0.63,0.63,0.67,0.59,0.52,0.45,0.45,0.44,0.61,0.57,0.61,0.61,0.23,0.22,0.54,0.29,0.55,0.22,0.28,0.28,0.20
