ID-model,GO:0005575,GO:0031981,GO:0070013,GO:0043233,GO:0031974,GO:0044428,GO:0005634,GO:0044430,GO:0005615,GO:0044422,GO:0044446,GO:0043234,GO:0032991,GO:0044463,GO:0005856,GO:0005576,GO:0044421,GO:0042995,GO:0044459,GO:0043228,GO:0043232,GO:0005829,GO:0097458,GO:0043229,GO:0043231,GO:0043226,GO:0043227,GO:0043005,GO:0005886,GO:0044425,GO:0044424,GO:0005622,GO:0071944,GO:0016020,GO:0044444,GO:0044464,GO:0005737,GO:0005623,GO:0005654
70-2,NaN,0.96,0.91,0.91,0.92,0.88,0.88,0.84,0.75,0.83,0.84,0.74,0.74,0.76,0.76,0.79,0.78,0.78,0.78,0.80,0.82,0.68,0.65,0.85,0.84,0.85,0.84,0.73,0.84,0.75,0.83,0.83,0.83,0.78,0.74,0.60,0.73,0.60,0.91
70-3,NaN,0.92,0.87,0.89,0.85,0.77,0.84,0.72,0.55,0.75,0.75,0.53,0.77,0.68,0.69,0.79,0.67,0.64,0.70,0.71,0.71,0.77,0.64,0.73,0.75,0.72,0.75,0.59,0.72,0.67,0.73,0.73,0.74,0.65,0.78,0.61,0.71,0.63,0.90
72-1,NaN,0.58,0.57,0.57,0.57,0.60,0.80,0.65,0.55,0.71,0.72,0.62,0.59,0.56,0.62,0.80,0.62,0.60,0.59,0.54,0.54,0.66,0.54,0.77,0.74,0.76,0.73,0.54,0.74,0.61,0.79,0.81,0.72,0.77,0.73,0.70,0.75,0.72,0.59
72-2,NaN,0.53,0.52,0.52,0.52,0.54,0.78,0.67,0.55,0.54,0.56,0.62,0.60,0.50,0.64,0.80,0.57,0.58,0.59,0.61,0.61,0.66,0.53,0.73,0.72,0.72,0.72,0.53,0.74,0.59,0.77,0.79,0.73,0.77,0.73,0.62,0.75,0.66,0.53
73-1,NaN,0.92,0.87,0.86,0.87,0.84,0.78,0.83,0.62,0.71,0.72,0.72,0.63,0.66,0.79,0.78,0.63,0.67,0.75,0.66,0.66,0.79,0.67,0.70,0.69,0.69,0.68,0.67,0.62,0.74,0.71,0.68,0.61,0.71,0.73,0.65,0.71,0.65,0.95
73-2,NaN,0.92,0.86,0.86,0.87,0.84,0.78,0.83,0.64,0.72,0.73,0.72,0.63,0.67,0.79,0.78,0.63,0.67,0.75,0.66,0.66,0.79,0.66,0.70,0.70,0.69,0.68,0.68,0.65,0.74,0.71,0.68,0.63,0.71,0.73,0.65,0.72,0.65,0.95
73-3,NaN,0.72,0.64,0.63,0.63,0.66,0.63,0.79,0.66,0.55,0.54,0.66,0.63,0.63,0.76,0.72,0.68,0.66,0.65,0.63,0.65,0.67,0.68,0.53,0.53,0.53,0.52,0.72,0.63,0.61,0.53,0.54,0.64,0.55,0.55,0.53,0.51,0.51,0.81
74-1,NaN,0.55,0.53,0.53,0.53,0.53,0.89,0.90,0.70,0.84,0.87,0.61,0.56,0.57,0.89,0.95,0.71,0.67,0.77,0.76,0.76,0.95,0.83,0.82,0.81,0.82,0.81,0.84,0.78,0.83,0.83,0.82,0.77,0.83,0.76,0.71,0.75,0.73,0.48
74-2,NaN,0.54,0.53,0.52,0.55,0.53,0.85,0.81,0.82,0.80,0.81,0.70,0.64,0.54,0.77,0.87,0.77,0.58,0.67,0.75,0.75,0.55,0.54,0.74,0.73,0.74,0.74,0.54,0.77,0.79,0.74,0.74,0.76,0.83,0.68,0.65,0.71,0.68,0.47
75-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-2,NaN,0.71,0.62,0.62,0.60,0.62,0.85,0.89,0.90,0.80,0.79,0.85,0.78,0.69,0.84,0.94,0.87,0.69,0.70,0.75,0.75,0.77,0.70,0.75,0.75,0.74,0.74,0.72,0.68,0.79,0.75,0.76,0.67,0.79,0.77,0.57,0.72,0.56,0.33
79-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80-1,NaN,0.56,0.53,0.52,0.51,0.53,0.87,0.90,0.71,0.85,0.86,0.71,0.64,0.65,0.89,0.91,0.70,0.68,0.77,0.76,0.76,0.95,0.76,0.80,0.82,0.79,0.81,0.77,0.77,0.80,0.83,0.82,0.77,0.80,0.82,0.71,0.76,0.71,0.48
80-2,NaN,0.59,0.58,0.57,0.59,0.59,0.88,0.81,0.77,0.81,0.83,0.74,0.68,0.57,0.76,0.90,0.79,0.65,0.66,0.75,0.75,0.55,0.53,0.75,0.77,0.75,0.76,0.54,0.76,0.80,0.77,0.77,0.75,0.82,0.78,0.69,0.75,0.72,0.50
81-1,NaN,0.82,0.80,0.80,0.79,0.81,0.87,0.62,0.73,0.71,0.70,0.66,0.60,0.49,0.60,0.78,0.73,0.53,0.51,0.57,0.57,0.63,0.52,0.70,0.69,0.70,0.69,0.52,0.63,0.61,0.71,0.75,0.64,0.67,0.67,0.62,0.60,0.63,0.50
81-2,NaN,0.82,0.80,0.80,0.79,0.81,0.87,0.62,0.73,0.71,0.70,0.66,0.60,0.49,0.60,0.78,0.73,0.53,0.51,0.57,0.57,0.63,0.52,0.70,0.69,0.70,0.69,0.52,0.63,0.61,0.71,0.75,0.64,0.67,0.67,0.62,0.60,0.63,0.50
82-1,NaN,0.52,0.51,0.51,0.51,0.54,0.59,0.58,0.55,0.74,0.72,0.73,0.81,0.50,0.58,0.60,0.58,0.55,0.63,0.58,0.58,0.73,0.50,0.63,0.59,0.62,0.60,0.50,0.77,0.63,0.57,0.57,0.76,0.71,0.61,0.51,0.54,0.50,0.49
83-1,NaN,0.84,0.80,0.76,0.70,0.74,0.81,0.84,0.89,0.71,0.73,0.79,0.79,0.78,0.84,0.90,0.85,0.80,0.68,0.80,0.80,0.48,0.77,0.49,0.50,0.49,0.50,0.78,0.74,0.77,0.42,0.42,0.73,0.77,0.67,0.44,0.37,0.45,0.66
83-2,NaN,0.84,0.80,0.80,0.75,0.74,0.81,0.84,0.89,0.71,0.72,0.79,0.79,0.78,0.84,0.90,0.85,0.80,0.68,0.80,0.80,0.49,0.77,0.49,0.50,0.49,0.50,0.78,0.74,0.77,0.42,0.42,0.73,0.77,0.67,0.44,0.36,0.45,0.66
84-1,NaN,0.48,0.46,0.46,0.48,0.49,0.50,0.56,0.50,0.74,0.74,0.60,0.62,0.67,0.53,0.65,0.55,0.63,0.63,0.54,0.54,0.52,0.59,0.70,0.55,0.69,0.55,0.50,0.60,0.56,0.71,0.71,0.60,0.61,0.65,0.62,0.64,0.63,0.43
85-1,NaN,0.79,0.72,0.70,0.70,0.76,0.81,0.86,0.81,0.82,0.82,0.74,0.70,0.77,0.81,0.88,0.81,0.71,0.80,0.73,0.73,0.79,0.60,0.80,0.74,0.79,0.73,0.60,0.79,0.79,0.80,0.79,0.77,0.73,0.72,0.64,0.74,0.64,0.81
85-2,NaN,0.79,0.72,0.70,0.70,0.76,0.81,0.86,0.81,0.82,0.82,0.74,0.70,0.77,0.81,0.88,0.81,0.71,0.80,0.73,0.73,0.79,0.60,0.80,0.74,0.79,0.73,0.60,0.79,0.79,0.80,0.79,0.77,0.73,0.72,0.64,0.74,0.64,0.81
86-1,NaN,0.87,0.84,0.84,0.82,0.79,0.79,0.60,0.53,0.67,0.67,0.69,0.66,0.62,0.57,0.71,0.64,0.60,0.55,0.58,0.58,0.61,0.54,0.71,0.71,0.70,0.69,0.54,0.67,0.61,0.65,0.65,0.68,0.69,0.65,0.57,0.65,0.58,0.48
86-2,NaN,0.87,0.84,0.84,0.82,0.79,0.79,0.60,0.53,0.67,0.67,0.69,0.66,0.62,0.57,0.71,0.64,0.60,0.55,0.58,0.58,0.61,0.54,0.71,0.71,0.70,0.69,0.54,0.67,0.61,0.65,0.65,0.68,0.69,0.65,0.57,0.65,0.58,0.48
86-3,NaN,0.61,0.59,0.59,0.58,0.60,0.67,0.62,0.54,0.59,0.57,0.72,0.70,0.64,0.60,0.68,0.57,0.61,0.60,0.64,0.64,0.60,0.53,0.70,0.67,0.69,0.67,0.55,0.66,0.61,0.66,0.65,0.66,0.71,0.62,0.60,0.68,0.59,0.48
87-1,NaN,0.90,0.86,0.86,0.84,0.83,0.78,0.87,0.60,0.79,0.78,0.74,0.71,0.62,0.79,0.90,0.70,0.68,0.75,0.72,0.72,0.56,0.60,0.72,0.67,0.72,0.67,0.55,0.76,0.78,0.70,0.70,0.74,0.78,0.71,0.61,0.63,0.61,0.89
87-2,NaN,0.91,0.87,0.87,0.85,0.83,0.75,0.86,0.60,0.74,0.73,0.75,0.73,0.62,0.78,0.90,0.69,0.68,0.76,0.74,0.74,0.57,0.60,0.67,0.64,0.66,0.63,0.55,0.75,0.83,0.68,0.68,0.73,0.81,0.70,0.64,0.63,0.65,0.90
87-3,NaN,0.93,0.89,0.89,0.87,0.86,0.82,0.85,0.63,0.78,0.77,0.75,0.70,0.57,0.80,0.88,0.67,0.62,0.77,0.70,0.70,0.66,0.61,0.70,0.67,0.70,0.66,0.57,0.71,0.77,0.67,0.66,0.69,0.76,0.60,0.65,0.57,0.65,0.91
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,0.90,0.86,0.86,0.84,0.83,0.83,0.82,0.64,0.76,0.76,0.71,0.67,0.65,0.78,0.88,0.76,0.66,0.62,0.70,0.70,0.57,0.61,0.70,0.71,0.70,0.69,0.57,0.71,0.82,0.73,0.74,0.69,0.76,0.73,0.67,0.71,0.69,0.90
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,0.54,0.53,0.53,0.53,0.52,0.76,0.66,0.58,0.70,0.72,0.63,0.59,0.56,0.69,0.91,0.68,0.55,0.53,0.66,0.66,0.53,0.54,0.68,0.68,0.68,0.67,0.50,0.66,0.72,0.73,0.75,0.66,0.75,0.64,0.71,0.68,0.74,0.52
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.30,0.28,0.28,0.27,0.31,0.39,0.63,0.79,0.38,0.35,0.61,0.62,0.59,0.58,0.57,0.66,0.54,0.45,0.64,0.64,0.64,0.61,0.45,0.46,0.46,0.47,0.60,0.50,0.46,0.48,0.50,0.57,0.47,0.55,0.51,0.50,0.50,0.21
99-1,NaN,0.91,0.85,0.85,0.81,0.79,0.80,0.85,0.75,0.73,0.71,0.76,0.73,0.73,0.83,0.82,0.75,0.77,0.79,0.73,0.73,0.73,0.71,0.79,0.78,0.78,0.77,0.69,0.81,0.75,0.80,0.78,0.79,0.78,0.77,0.64,0.76,0.63,0.78
