ID-model,GO:0005575,GO:0005576,GO:0005634,GO:0016020,GO:0071944,GO:0005886,GO:0044446,GO:0044422,GO:0005623,GO:0005829,GO:0043228,GO:0043232,GO:0042995,GO:0043229,GO:0043226,GO:0043231,GO:0043227,GO:0044464,GO:0044424,GO:0005622,GO:0005737,GO:0044444
72-2,NaN,0.68,0.86,0.71,0.67,0.67,0.68,0.67,0.74,0.55,0.58,0.58,0.48,0.68,0.68,0.64,0.64,0.64,0.64,0.68,0.52,0.58
73-1,NaN,0.85,0.77,0.64,0.52,0.54,0.62,0.61,0.62,0.55,0.71,0.71,0.68,0.66,0.66,0.68,0.68,0.63,0.59,0.60,0.48,0.54
73-2,NaN,0.86,0.79,0.64,0.59,0.61,0.61,0.60,0.69,0.57,0.70,0.70,0.63,0.68,0.68,0.70,0.70,0.67,0.62,0.63,0.51,0.56
73-3,NaN,0.72,0.73,0.55,0.58,0.58,0.56,0.55,0.50,0.52,0.66,0.64,0.58,0.51,0.51,0.51,0.51,0.49,0.49,0.49,0.46,0.51
74-1,NaN,0.73,0.66,0.51,0.54,0.54,0.44,0.43,0.63,0.64,0.50,0.50,0.57,0.51,0.51,0.57,0.57,0.53,0.54,0.56,0.60,0.62
74-2,NaN,0.94,0.89,0.68,0.63,0.63,0.78,0.78,0.77,0.51,0.74,0.74,0.59,0.75,0.75,0.77,0.77,0.62,0.68,0.68,0.57,0.59
75-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
75-2,NaN,0.94,0.88,0.76,0.77,0.77,0.74,0.71,0.88,0.49,0.80,0.80,0.60,0.69,0.69,0.71,0.71,0.72,0.63,0.64,0.57,0.55
79-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
79-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
79-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
80-1,NaN,0.72,0.69,0.51,0.53,0.53,0.48,0.46,0.68,0.64,0.51,0.51,0.57,0.51,0.51,0.58,0.57,0.53,0.54,0.57,0.60,0.61
80-2,NaN,0.94,0.89,0.69,0.70,0.70,0.80,0.80,0.84,0.50,0.73,0.73,0.67,0.73,0.72,0.75,0.75,0.64,0.65,0.67,0.56,0.61
81-1,NaN,0.94,0.76,0.67,0.66,0.66,0.61,0.60,0.75,0.42,0.51,0.52,0.50,0.66,0.66,0.67,0.67,0.58,0.60,0.59,0.52,0.52
81-2,NaN,0.94,0.76,0.67,0.66,0.66,0.61,0.60,0.75,0.42,0.51,0.52,0.50,0.66,0.66,0.67,0.67,0.58,0.60,0.59,0.52,0.52
82-1,NaN,0.72,0.74,0.71,0.70,0.70,0.74,0.71,0.62,0.48,0.60,0.60,0.47,0.60,0.60,0.65,0.61,0.55,0.49,0.51,0.60,0.65
83-1,NaN,0.91,0.91,0.69,0.74,0.75,0.73,0.70,0.43,0.54,0.80,0.80,0.84,0.55,0.54,0.53,0.52,0.47,0.53,0.50,0.48,0.62
83-2,NaN,0.92,0.91,0.69,0.74,0.75,0.75,0.72,0.43,0.55,0.80,0.80,0.85,0.55,0.54,0.53,0.52,0.47,0.53,0.50,0.48,0.65
84-1,NaN,0.69,0.60,0.54,0.60,0.60,0.63,0.64,0.63,0.43,0.50,0.50,0.49,0.57,0.57,0.55,0.55,0.64,0.60,0.62,0.61,0.56
85-1,NaN,0.92,0.87,0.72,0.85,0.85,0.68,0.65,0.74,0.61,0.64,0.64,0.60,0.68,0.68,0.70,0.68,0.66,0.63,0.66,0.53,0.55
85-2,NaN,0.92,0.87,0.72,0.85,0.85,0.68,0.65,0.74,0.61,0.64,0.64,0.60,0.68,0.68,0.70,0.68,0.66,0.63,0.66,0.53,0.55
86-1,NaN,0.71,0.75,0.72,0.79,0.79,0.52,0.51,0.65,0.54,0.55,0.55,0.55,0.56,0.55,0.60,0.59,0.64,0.55,0.64,0.54,0.57
86-2,NaN,0.71,0.75,0.72,0.79,0.79,0.52,0.51,0.65,0.54,0.55,0.55,0.55,0.56,0.55,0.60,0.59,0.64,0.55,0.64,0.54,0.57
86-3,NaN,0.67,0.69,0.71,0.70,0.70,0.48,0.48,0.66,0.54,0.49,0.49,0.51,0.55,0.55,0.57,0.56,0.59,0.55,0.52,0.52,0.52
87-1,NaN,0.89,0.80,0.69,0.75,0.72,0.71,0.70,0.75,0.64,0.65,0.65,0.63,0.68,0.68,0.66,0.66,0.60,0.65,0.65,0.62,0.62
87-2,NaN,0.88,0.79,0.73,0.75,0.72,0.73,0.72,0.76,0.64,0.64,0.64,0.63,0.64,0.63,0.63,0.62,0.62,0.63,0.62,0.58,0.56
87-3,NaN,0.75,0.76,0.68,0.67,0.68,0.53,0.51,0.74,0.61,0.58,0.58,0.63,0.55,0.55,0.63,0.63,0.61,0.57,0.58,0.60,0.58
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
94-1,NaN,0.88,0.86,0.77,0.79,0.78,0.72,0.69,0.83,0.53,0.61,0.61,0.56,0.65,0.65,0.70,0.70,0.65,0.62,0.64,0.62,0.64
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.92,0.80,0.65,0.59,0.59,0.61,0.59,0.85,0.55,0.62,0.62,0.53,0.71,0.71,0.73,0.73,0.76,0.69,0.69,0.60,0.61
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.48,0.51,0.58,0.61,0.62,0.49,0.51,0.46,0.41,0.59,0.59,0.52,0.47,0.47,0.48,0.48,0.56,0.54,0.53,0.58,0.51
99-1,NaN,0.92,0.88,0.74,0.70,0.71,0.65,0.61,0.68,0.49,0.65,0.65,0.77,0.69,0.69,0.70,0.71,0.64,0.60,0.59,0.54,0.52
