ID-model,GO:0003674,GO:0016409,GO:0070011,GO:0016747,GO:0016757,GO:0016746,GO:0022891,GO:0022857,GO:0016773,GO:0016788,GO:0008233,GO:0016491,GO:0017111,GO:0016462,GO:0016818,GO:0016817,GO:0016301,GO:0016772,GO:0004672,GO:0016740,GO:0016874,GO:0016787,GO:0004842,GO:0019787,GO:0016881,GO:0016879,GO:0022892,GO:0003677,GO:0005215,GO:0000166,GO:1901265,GO:0003676,GO:0000975,GO:0044212,GO:0001067,GO:0043565,GO:0001071,GO:0003700,GO:0003824,GO:0097159,GO:1901363,GO:0036094,GO:0000976,GO:0030695,GO:0000981,GO:0043168,GO:0008289,GO:0000977,GO:0001012,GO:0060589,GO:0008092,GO:0008047,GO:0030234,GO:0017016,GO:0031267,GO:0051020,GO:0043167,GO:0017137,GO:0005488,GO:0032403,GO:0005515,GO:0046872,GO:0005102,GO:0042802,GO:0043169,GO:0019899,GO:0046983,GO:0042803
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,1.00,1.00,0.93,1.00,1.00,0.87,0.79,1.00,0.94,1.00,0.99,0.89,0.90,0.90,0.90,1.00,1.00,1.00,1.00,0.91,0.96,0.49,0.49,0.49,0.49,0.75,0.95,0.91,0.76,0.76,0.95,0.52,0.52,0.52,0.76,0.75,0.75,0.95,0.89,0.89,0.72,0.55,0.89,0.49,0.81,0.71,0.50,0.50,0.83,0.66,0.83,0.79,0.49,0.49,0.49,0.67,0.50,0.69,0.50,0.61,0.74,0.50,0.49,0.69,0.48,0.49,0.49
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,1.00,1.00,0.99,1.00,1.00,0.93,0.94,0.99,0.97,0.98,0.99,0.97,0.97,0.97,0.97,0.99,0.99,0.99,0.97,0.95,0.94,0.95,0.95,0.95,0.95,0.89,0.92,0.88,0.74,0.74,0.91,0.83,0.83,0.83,0.85,0.85,0.85,0.89,0.76,0.76,0.68,0.81,0.92,0.70,0.72,0.77,0.71,0.71,0.85,0.78,0.75,0.79,0.74,0.73,0.73,0.61,0.73,0.51,0.71,0.61,0.69,0.57,0.42,0.63,0.51,0.36,0.33
105-2,NaN,1.00,1.00,1.00,1.00,1.00,0.93,0.93,0.99,0.97,0.99,0.99,0.98,0.97,0.97,0.97,0.99,0.99,0.99,0.98,0.93,0.95,0.93,0.93,0.92,0.92,0.89,0.94,0.91,0.78,0.78,0.93,0.89,0.89,0.89,0.93,0.88,0.88,0.92,0.84,0.85,0.69,0.88,0.98,0.79,0.76,0.84,0.78,0.78,0.92,0.77,0.80,0.88,0.79,0.79,0.79,0.65,0.78,0.52,0.66,0.64,0.72,0.53,0.47,0.66,0.53,0.42,0.42
105-3,NaN,1.00,1.00,0.99,1.00,1.00,0.92,0.92,0.99,0.97,0.98,0.99,0.98,0.97,0.97,0.97,0.99,0.98,0.99,0.97,0.94,0.93,0.94,0.94,0.94,0.93,0.87,0.95,0.89,0.76,0.76,0.94,0.81,0.81,0.81,0.89,0.84,0.84,0.89,0.81,0.82,0.72,0.78,0.98,0.66,0.73,0.86,0.69,0.69,0.90,0.78,0.81,0.84,0.78,0.78,0.78,0.64,0.79,0.50,0.63,0.59,0.73,0.47,0.57,0.69,0.46,0.48,0.53
106-1,NaN,0.55,0.79,0.53,0.92,0.57,0.85,0.81,0.77,0.75,0.77,0.92,0.79,0.77,0.77,0.77,0.76,0.71,0.77,0.74,0.55,0.79,0.50,0.50,0.56,0.56,0.83,0.79,0.88,0.86,0.86,0.83,0.53,0.53,0.53,0.75,0.73,0.73,0.74,0.78,0.78,0.83,0.58,0.75,0.55,0.80,0.69,0.56,0.56,0.72,0.62,0.72,0.71,0.50,0.50,0.50,0.72,0.50,0.64,0.50,0.62,0.69,0.50,0.50,0.64,0.50,0.49,0.50
106-2,NaN,0.50,0.50,0.50,0.70,0.50,0.75,0.67,0.49,0.67,0.50,0.85,0.55,0.54,0.54,0.54,0.49,0.49,0.50,0.54,0.50,0.61,0.50,0.50,0.50,0.50,0.67,0.50,0.67,0.91,0.91,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.57,0.68,0.68,0.91,0.50,0.50,0.50,0.80,0.58,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.81,0.50,0.58,0.50,0.50,0.89,0.50,0.50,0.89,0.50,0.50,0.50
106-3,NaN,0.75,1.00,0.75,1.00,1.00,0.99,0.99,1.00,0.71,1.00,1.00,0.99,0.90,0.90,0.90,1.00,1.00,1.00,0.96,NaN,0.96,NaN,NaN,NaN,NaN,1.00,0.89,1.00,0.75,0.75,0.89,0.58,0.58,0.58,0.74,0.99,0.99,0.88,0.73,0.74,0.66,0.75,NaN,0.74,0.64,0.66,0.75,0.75,NaN,0.71,NaN,0.98,0.50,0.50,0.50,0.63,0.50,0.64,0.50,0.58,0.81,0.49,0.49,0.64,0.49,0.48,0.50
107-1,NaN,1.00,0.99,0.98,1.00,0.99,0.93,0.94,0.99,0.97,0.96,0.99,0.94,0.94,0.94,0.94,0.99,0.99,0.99,0.97,0.92,0.94,0.86,0.86,0.85,0.85,0.94,0.91,0.93,0.71,0.71,0.88,0.79,0.79,0.79,0.82,0.85,0.85,0.89,0.75,0.76,0.67,0.73,0.89,0.77,0.69,0.80,0.62,0.62,0.86,0.71,0.75,0.80,0.69,0.69,0.69,0.59,0.67,0.45,0.57,0.58,0.77,0.56,0.55,0.71,0.53,0.49,0.50
107-2,NaN,1.00,1.00,1.00,1.00,1.00,0.93,0.93,0.99,0.98,0.96,0.99,0.97,0.96,0.96,0.96,1.00,0.98,1.00,0.98,0.93,0.95,0.93,0.93,0.93,0.93,0.90,0.92,0.89,0.77,0.77,0.92,0.87,0.87,0.87,0.90,0.89,0.89,0.93,0.84,0.84,0.67,0.73,0.93,0.72,0.75,0.71,0.67,0.67,0.93,0.69,0.79,0.85,0.66,0.66,0.66,0.66,0.68,0.48,0.46,0.59,0.78,0.48,0.52,0.72,0.57,0.47,0.49
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.50,0.71,0.50,0.83,0.50,0.83,0.80,0.79,0.83,0.69,0.79,0.66,0.64,0.64,0.64,0.82,0.78,0.79,0.68,0.56,0.71,0.52,0.52,0.51,0.51,0.74,0.75,0.73,0.48,0.48,0.75,0.78,0.78,0.78,0.69,0.71,0.71,0.63,0.67,0.67,0.50,0.66,0.65,0.66,0.49,0.60,0.62,0.62,0.61,0.50,0.60,0.59,0.52,0.52,0.52,0.49,0.49,0.53,0.64,0.49,0.58,0.56,0.42,0.55,0.38,0.43,0.46
110-2,NaN,1.00,1.00,1.00,1.00,1.00,0.85,0.86,0.90,0.99,1.00,0.88,0.98,0.98,0.98,0.98,0.91,0.96,0.91,0.98,0.94,0.96,0.83,0.92,0.92,0.91,0.87,0.81,0.93,0.86,0.86,0.81,0.69,0.63,0.69,0.74,0.90,0.81,0.91,0.78,0.78,0.79,0.70,0.88,0.81,0.88,0.79,0.62,0.67,0.77,0.90,0.79,0.78,0.64,0.63,0.78,0.75,0.63,0.70,0.62,0.71,0.68,0.62,0.58,0.63,0.57,0.51,0.53
110-3,NaN,0.48,0.74,0.57,0.87,0.55,0.63,0.63,0.55,0.58,0.71,0.77,0.61,0.64,0.64,0.64,0.58,0.55,0.57,0.65,0.62,0.64,0.61,0.60,0.59,0.60,0.61,0.62,0.69,0.59,0.59,0.60,0.56,0.56,0.56,0.62,0.64,0.64,0.61,0.57,0.56,0.60,0.70,0.72,0.60,0.57,0.55,0.70,0.70,0.72,0.74,0.65,0.68,0.66,0.70,0.70,0.62,0.67,0.66,0.55,0.69,0.53,0.52,0.56,0.57,0.61,0.56,0.55
111-1,NaN,0.50,0.71,0.50,0.83,0.50,0.83,0.79,0.84,0.83,0.69,0.83,0.69,0.67,0.67,0.67,0.86,0.82,0.84,0.70,0.55,0.72,0.52,0.52,0.51,0.51,0.74,0.79,0.73,0.48,0.48,0.78,0.81,0.81,0.80,0.69,0.70,0.70,0.64,0.71,0.71,0.50,0.67,0.67,0.70,0.52,0.63,0.66,0.66,0.62,0.61,0.61,0.60,0.52,0.52,0.51,0.50,0.49,0.55,0.65,0.49,0.58,0.58,0.41,0.55,0.37,0.42,0.45
111-2,NaN,0.48,0.74,0.57,0.87,0.56,0.63,0.62,0.53,0.59,0.72,0.78,0.61,0.63,0.63,0.63,0.56,0.53,0.55,0.66,0.62,0.64,0.61,0.60,0.59,0.60,0.61,0.64,0.70,0.59,0.59,0.64,0.59,0.59,0.59,0.64,0.69,0.69,0.61,0.61,0.61,0.61,0.73,0.71,0.64,0.62,0.60,0.74,0.74,0.72,0.72,0.65,0.68,0.66,0.69,0.69,0.67,0.67,0.66,0.55,0.68,0.55,0.51,0.58,0.59,0.61,0.56,0.54
111-3,NaN,NaN,0.50,0.50,NaN,0.50,NaN,NaN,1.00,NaN,0.50,0.99,NaN,NaN,NaN,NaN,1.00,1.00,1.00,0.90,0.49,0.46,0.50,0.50,0.50,0.50,NaN,0.59,NaN,0.46,0.46,0.64,0.78,0.78,0.76,0.52,0.67,0.68,0.76,0.76,0.77,0.45,0.62,0.50,0.68,0.72,0.74,0.70,0.70,0.49,1.00,NaN,0.49,0.50,0.50,0.50,0.67,0.50,0.64,0.47,0.55,NaN,0.40,0.60,NaN,0.44,0.44,0.45
112-1,NaN,1.00,0.99,0.99,1.00,0.99,0.89,0.89,0.94,0.99,0.99,0.93,0.97,0.97,0.97,0.97,0.94,0.96,0.92,0.98,0.93,0.96,0.79,0.89,0.88,0.89,0.88,0.89,0.93,0.84,0.85,0.87,0.85,0.79,0.85,0.81,0.88,0.85,0.91,0.82,0.82,0.80,0.77,0.92,0.85,0.88,0.77,0.72,0.72,0.86,0.84,0.81,0.83,0.72,0.71,0.77,0.75,0.71,0.71,0.71,0.72,0.68,0.66,0.46,0.64,0.51,0.51,0.49
112-2,NaN,1.00,1.00,0.99,1.00,0.99,0.90,0.90,0.94,0.99,0.99,0.93,0.98,0.97,0.97,0.97,0.94,0.96,0.92,0.98,0.93,0.96,0.79,0.89,0.88,0.89,0.89,0.89,0.93,0.84,0.85,0.87,0.85,0.81,0.85,0.81,0.88,0.85,0.91,0.82,0.82,0.80,0.77,0.92,0.85,0.89,0.77,0.72,0.72,0.86,0.85,0.81,0.83,0.71,0.71,0.77,0.75,0.70,0.71,0.71,0.71,0.67,0.67,0.44,0.64,0.51,0.47,0.46
112-3,NaN,1.00,0.99,0.99,1.00,0.99,0.89,0.89,0.93,0.99,0.99,0.97,0.97,0.96,0.96,0.97,0.92,0.95,0.91,0.98,0.93,0.96,0.79,0.89,0.88,0.89,0.88,0.88,0.93,0.84,0.85,0.86,0.85,0.79,0.85,0.81,0.89,0.85,0.92,0.81,0.82,0.80,0.77,0.97,0.85,0.84,0.75,0.72,0.72,0.89,0.84,0.80,0.86,0.75,0.74,0.80,0.72,0.73,0.68,0.71,0.68,0.68,0.66,0.46,0.64,0.51,0.51,0.49
113-1,NaN,1.00,1.00,0.99,1.00,0.99,0.90,0.90,0.93,0.99,0.99,0.97,0.98,0.97,0.97,0.97,0.93,0.96,0.91,0.98,0.93,0.97,0.79,0.89,0.88,0.89,0.88,0.88,0.93,0.84,0.85,0.86,0.85,0.81,0.85,0.81,0.88,0.84,0.92,0.82,0.82,0.81,0.77,0.97,0.85,0.85,0.75,0.72,0.72,0.89,0.84,0.81,0.86,0.74,0.74,0.80,0.72,0.73,0.68,0.71,0.68,0.68,0.67,0.44,0.64,0.51,0.47,0.46
113-2,NaN,0.47,0.72,0.60,0.97,0.58,0.63,0.62,0.53,0.64,0.69,0.83,0.55,0.57,0.57,0.57,0.56,0.50,0.56,0.68,0.81,0.63,0.75,0.75,0.74,0.78,0.56,0.68,0.67,0.51,0.51,0.66,0.61,0.61,0.61,0.68,0.71,0.71,0.66,0.61,0.60,0.51,0.79,0.77,0.65,0.55,0.56,0.77,0.77,0.79,0.73,0.66,0.73,0.72,0.77,0.77,0.62,0.73,0.64,0.56,0.68,0.54,0.51,0.55,0.57,0.61,0.55,0.54
113-3,NaN,NaN,0.99,0.70,1.00,0.70,0.98,0.98,0.96,0.98,0.99,1.00,0.87,0.87,0.87,0.86,0.97,0.97,0.96,0.92,0.79,0.90,0.70,0.70,0.69,0.69,0.91,0.83,0.90,0.67,0.67,0.81,0.89,0.89,0.89,0.79,0.84,0.84,0.82,0.80,0.80,0.75,0.83,0.87,0.84,0.86,0.84,0.79,0.79,0.86,0.82,0.85,0.86,0.55,0.55,0.55,0.62,0.48,0.58,0.65,0.53,0.63,0.67,0.38,0.60,0.33,0.37,0.44
114-1,NaN,0.82,1.00,0.86,1.00,1.00,0.98,0.97,1.00,0.98,0.98,0.99,0.94,0.95,0.95,0.95,1.00,1.00,1.00,1.00,0.85,0.95,0.70,0.70,0.70,0.70,0.92,0.96,0.92,0.79,0.79,0.94,0.82,0.82,0.82,0.84,0.93,0.93,0.92,0.86,0.86,0.69,0.70,0.98,0.88,0.82,0.64,0.67,0.67,0.86,0.75,0.81,0.81,0.50,0.50,0.50,0.65,0.50,0.52,0.55,0.69,0.76,0.56,0.62,0.75,0.50,0.54,0.56
115-1,NaN,1.00,1.00,1.00,1.00,1.00,0.97,0.97,1.00,0.98,0.99,1.00,0.96,0.96,0.96,0.96,1.00,1.00,1.00,0.99,0.97,0.96,0.97,0.97,0.97,0.97,0.96,0.97,0.95,0.74,0.74,0.96,0.74,0.74,0.74,0.89,0.87,0.87,0.93,0.86,0.86,0.68,0.86,0.98,0.79,0.78,0.80,0.78,0.77,0.94,0.76,0.83,0.87,0.76,0.75,0.75,0.67,0.71,0.66,0.57,0.78,0.79,0.53,0.71,0.77,0.69,0.59,0.53
116-1,NaN,0.68,0.77,0.73,1.00,0.87,0.87,0.93,0.95,0.92,0.75,1.00,0.84,0.86,0.86,0.86,0.96,0.96,0.95,0.92,0.68,0.92,0.64,0.64,0.64,0.64,0.88,0.91,0.99,0.79,0.79,0.91,0.52,0.52,0.52,0.64,0.72,0.72,0.89,0.83,0.83,0.72,0.54,0.83,0.50,0.77,0.66,0.50,0.50,0.77,0.56,0.82,0.77,0.50,0.50,0.50,0.61,0.50,0.64,0.50,0.60,0.62,0.50,0.53,0.59,0.50,0.49,0.50
116-2,NaN,0.50,0.71,0.62,1.00,0.62,0.89,0.83,0.95,0.92,0.70,0.90,0.83,0.84,0.84,0.84,0.96,0.90,0.95,0.82,0.63,0.90,0.64,0.64,0.64,0.64,0.85,0.87,0.92,0.74,0.74,0.89,0.52,0.52,0.52,0.58,0.72,0.72,0.85,0.83,0.83,0.69,0.54,0.81,0.50,0.74,0.69,0.50,0.50,0.75,0.53,0.78,0.75,0.50,0.50,0.50,0.59,0.50,0.66,0.50,0.60,0.51,0.50,0.53,0.50,0.50,0.50,0.50
117-1,NaN,1.00,1.00,0.98,1.00,0.97,0.91,0.91,1.00,0.95,1.00,0.99,0.93,0.97,0.97,0.97,0.95,0.97,0.95,0.95,0.91,0.95,0.93,0.92,0.91,0.90,0.86,0.93,0.89,0.90,0.90,0.92,0.90,0.90,0.90,0.91,0.92,0.92,0.92,0.86,0.86,0.86,0.85,0.88,0.90,0.83,0.78,0.81,0.81,0.77,0.81,0.71,0.74,0.84,0.82,0.81,0.67,0.74,0.57,0.65,0.60,0.63,0.59,0.52,0.60,0.44,0.52,0.60
117-2,NaN,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.50,0.86,1.00,1.00,0.86,0.78,0.78,0.78,0.50,1.00,0.50,0.97,0.50,0.89,0.50,0.50,0.50,0.50,0.99,0.85,0.99,0.99,0.99,0.85,0.50,0.50,0.50,0.69,0.49,0.49,0.91,0.84,0.84,0.98,0.50,1.00,0.50,0.98,1.00,0.50,0.50,0.87,0.65,0.80,0.85,0.50,0.50,0.50,0.77,0.50,0.64,0.50,0.60,0.44,0.66,NaN,0.43,0.49,0.48,NaN
119-1,NaN,1.00,1.00,1.00,1.00,1.00,0.94,0.94,1.00,0.98,0.97,1.00,0.95,0.95,0.95,0.95,1.00,1.00,1.00,0.99,0.89,0.95,0.79,0.79,0.78,0.78,0.90,0.93,0.90,0.90,0.90,0.93,0.78,0.78,0.78,0.86,0.91,0.91,0.93,0.88,0.89,0.83,0.77,0.80,0.71,0.82,0.78,0.66,0.66,0.79,0.77,0.74,0.72,0.56,0.56,0.56,0.70,0.54,0.61,0.60,0.67,0.72,0.61,0.58,0.67,0.49,0.49,0.53
120-1,NaN,1.00,1.00,1.00,1.00,1.00,0.96,0.99,1.00,0.98,0.97,0.99,0.98,0.98,0.98,0.98,1.00,1.00,1.00,0.99,0.97,0.95,0.94,0.96,0.96,0.96,0.94,0.96,0.95,0.85,0.85,0.94,0.92,0.92,0.92,0.94,0.93,0.93,0.93,0.85,0.85,0.76,0.87,0.97,0.93,0.83,0.85,0.83,0.83,0.90,0.86,0.82,0.85,0.76,0.75,0.74,0.67,0.74,0.51,0.56,0.69,0.77,0.57,0.65,0.72,0.51,0.56,0.60
