ID-model,GO:0003674,GO:0016757,GO:0003677,GO:0003676,GO:0016787,GO:0016740,GO:0000975,GO:0001067,GO:0044212,GO:0097159,GO:1901363,GO:0003824,GO:0016772,GO:0043167,GO:0008092,GO:0042802,GO:0005488,GO:0005515,GO:0032403,GO:0019899
110-1,NaN,0.85,0.68,0.70,0.80,0.67,0.73,0.73,0.73,0.59,0.59,0.67,0.66,0.47,0.52,0.45,0.51,0.50,0.69,0.40
110-2,NaN,0.89,0.90,0.87,0.97,0.91,0.76,0.76,0.67,0.83,0.83,0.91,0.91,0.76,0.89,0.61,0.72,0.74,0.62,0.52
110-3,NaN,0.91,0.74,0.69,0.67,0.67,0.69,0.69,0.69,0.65,0.65,0.65,0.73,0.67,0.74,0.56,0.64,0.67,0.49,0.55
111-1,NaN,0.85,0.74,0.75,0.80,0.69,0.77,0.77,0.77,0.66,0.66,0.69,0.72,0.50,0.56,0.44,0.54,0.49,0.69,0.40
111-2,NaN,0.91,0.75,0.75,0.68,0.70,0.73,0.73,0.73,0.71,0.72,0.68,0.74,0.71,0.72,0.60,0.65,0.66,0.49,0.54
111-3,NaN,0.50,0.55,0.59,0.50,0.53,0.58,0.58,0.58,0.64,0.64,0.51,0.55,0.52,0.53,0.54,0.57,0.53,0.50,0.49
112-1,NaN,1.00,0.90,0.88,0.96,0.97,0.87,0.87,0.76,0.83,0.84,0.92,0.91,0.76,0.86,0.46,0.73,0.74,0.66,0.50
112-2,NaN,1.00,0.90,0.88,0.97,0.98,0.87,0.87,0.79,0.84,0.84,0.92,0.92,0.76,0.87,0.46,0.73,0.74,0.67,0.50
112-3,NaN,1.00,0.89,0.88,0.97,0.97,0.87,0.87,0.76,0.84,0.85,0.93,0.91,0.71,0.86,0.46,0.69,0.69,0.66,0.50
113-1,NaN,1.00,0.90,0.88,0.97,0.97,0.87,0.87,0.79,0.85,0.85,0.93,0.91,0.71,0.86,0.46,0.69,0.69,0.67,0.50
113-2,NaN,0.91,0.73,0.68,0.59,0.65,0.69,0.69,0.69,0.66,0.65,0.63,0.69,0.64,0.73,0.56,0.58,0.60,0.49,0.55
113-3,NaN,0.85,0.71,0.73,0.80,0.69,0.77,0.77,0.77,0.66,0.66,0.68,0.71,0.49,0.55,0.44,0.50,0.45,0.69,0.40
114-1,NaN,1.00,0.96,0.95,0.95,0.99,0.86,0.86,0.86,0.85,0.85,0.89,0.93,0.71,0.72,0.67,0.52,0.72,0.54,0.50
115-1,NaN,1.00,0.98,0.98,0.96,0.96,0.80,0.80,0.80,0.86,0.86,0.92,0.84,0.69,0.71,0.78,0.61,0.77,0.53,0.70
116-1,NaN,1.00,0.89,0.90,0.82,0.87,0.54,0.54,0.54,0.82,0.82,0.83,0.84,0.65,0.57,0.54,0.56,0.59,0.50,0.50
116-2,NaN,0.80,0.81,0.85,0.85,0.71,0.54,0.54,0.54,0.82,0.82,0.78,0.80,0.59,0.53,0.55,0.61,0.59,0.50,0.50
117-1,NaN,1.00,0.95,0.95,0.94,0.93,0.92,0.92,0.92,0.88,0.88,0.88,0.89,0.72,0.80,0.66,0.62,0.68,0.65,0.41
117-2,NaN,0.85,0.61,0.63,0.68,0.73,0.50,0.50,0.50,0.60,0.60,0.69,0.50,0.59,0.53,0.50,0.49,0.51,0.50,0.49
119-1,NaN,1.00,0.92,0.94,0.95,0.99,0.77,0.77,0.77,0.87,0.87,0.92,0.98,0.77,0.70,0.71,0.63,0.69,0.59,0.50
120-1,NaN,1.00,0.97,0.96,0.95,0.99,0.94,0.94,0.94,0.85,0.85,0.89,0.97,0.74,0.85,0.72,0.51,0.73,0.62,0.48
120-2,NaN,0.50,0.91,0.93,0.89,0.77,0.72,0.72,0.72,0.84,0.85,0.80,0.87,0.73,0.77,0.54,0.55,0.72,0.65,0.59
120-3,NaN,0.50,0.82,0.88,0.76,0.63,0.68,0.68,0.68,0.80,0.82,0.70,0.73,0.60,0.50,0.50,0.60,0.50,0.50,0.50
121-1,NaN,1.00,0.81,0.81,0.81,0.89,0.54,0.54,0.54,0.76,0.76,0.85,0.80,0.72,0.63,0.50,0.48,0.54,0.50,0.50
121-2,NaN,0.50,0.53,0.52,0.50,0.52,0.50,0.50,0.50,0.51,0.51,0.51,0.55,0.53,0.50,0.50,0.51,0.49,0.50,0.50
121-3,NaN,0.95,0.84,0.83,0.83,0.89,0.54,0.54,0.54,0.79,0.79,0.83,0.80,0.74,0.66,0.54,0.55,0.67,0.50,0.48
122-1,NaN,1.00,0.86,0.92,0.93,0.90,0.57,0.57,0.57,0.84,0.84,0.85,0.84,0.68,0.63,0.53,0.59,0.71,0.54,0.49
124-1,NaN,0.79,0.78,0.57,0.70,0.54,0.85,0.85,0.85,0.41,0.41,0.41,0.85,0.46,0.84,0.41,0.54,0.47,0.69,0.61
124-2,NaN,0.35,0.48,0.30,0.53,0.39,0.39,0.39,0.39,0.32,0.32,0.27,0.54,0.42,0.77,0.56,0.53,0.43,0.49,0.62
124-3,NaN,0.69,0.76,0.56,0.63,0.34,0.85,0.85,0.85,0.35,0.35,0.35,0.85,0.46,0.84,0.41,0.54,0.47,0.69,0.61
125-1,NaN,1.00,0.93,0.92,0.95,0.98,0.65,0.65,0.65,0.81,0.81,0.89,0.89,0.70,0.72,0.67,0.51,0.72,0.54,0.50
125-2,NaN,1.00,0.92,0.90,0.95,0.96,0.76,0.76,0.76,0.78,0.78,0.86,0.96,0.61,0.68,0.66,0.50,0.58,0.49,0.48
125-3,NaN,0.99,0.95,0.93,0.94,0.95,0.91,0.91,0.91,0.83,0.83,0.83,0.83,0.74,0.84,0.62,0.66,0.71,0.54,0.39
126-1,NaN,0.95,0.92,0.92,0.85,0.95,0.50,0.50,0.50,0.86,0.86,0.83,0.80,0.64,0.60,0.54,0.67,0.69,0.50,0.51
127-1,NaN,1.00,0.94,0.95,0.95,0.99,0.77,0.77,0.77,0.92,0.90,0.93,0.88,0.76,0.75,0.69,0.63,0.66,0.62,0.50
127-2,NaN,1.00,0.97,0.97,0.97,1.00,0.91,0.92,0.91,0.93,0.93,0.93,0.91,0.76,0.73,0.65,0.71,0.68,0.64,0.41
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.85,0.69,0.67,0.79,0.85,0.73,0.73,0.73,0.60,0.60,0.81,0.66,0.60,0.68,0.65,0.49,0.59,0.55,0.43
129-1,NaN,1.00,0.96,0.97,0.93,0.97,0.93,0.93,0.93,0.94,0.93,0.92,0.79,0.80,0.78,0.75,0.71,0.66,0.64,0.48
129-2,NaN,0.60,0.54,0.52,0.42,0.52,0.50,0.50,0.50,0.61,0.61,0.47,0.47,0.67,0.78,0.66,0.64,0.64,0.45,0.53
129-3,NaN,1.00,0.96,0.97,0.93,0.97,0.93,0.94,0.93,0.93,0.94,0.92,0.79,0.80,0.78,0.75,0.71,0.66,0.62,0.47
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,1.00,0.94,0.94,0.94,0.94,0.57,0.57,0.57,0.85,0.85,0.89,0.85,0.76,0.56,0.54,0.55,0.55,0.54,0.49
131-2,NaN,1.00,0.94,0.93,0.92,0.98,0.57,0.57,0.57,0.84,0.84,0.90,0.90,0.73,0.63,0.49,0.50,0.55,0.55,0.49
131-3,NaN,1.00,0.95,0.95,0.95,0.95,0.63,0.63,0.63,0.83,0.83,0.91,0.86,0.70,0.68,0.62,0.56,0.63,0.61,0.50
132-1,NaN,1.00,0.89,0.89,0.96,0.97,0.88,0.88,0.87,0.82,0.83,0.93,0.93,0.74,0.84,0.50,0.70,0.71,0.69,0.44
132-2,NaN,1.00,0.89,0.88,0.96,0.97,0.88,0.88,0.87,0.83,0.84,0.93,0.92,0.68,0.83,0.50,0.65,0.64,0.69,0.44
65-1,NaN,0.50,0.86,0.83,0.88,0.64,0.90,0.90,0.89,0.78,0.80,0.73,0.73,0.78,0.74,0.50,0.58,0.62,0.49,0.50
65-2,NaN,0.59,0.87,0.85,0.89,0.68,0.88,0.88,0.87,0.81,0.82,0.76,0.75,0.76,0.80,0.55,0.62,0.63,0.47,0.49
65-3,NaN,0.50,0.87,0.84,0.88,0.62,0.89,0.89,0.89,0.80,0.81,0.74,0.74,0.77,0.80,0.51,0.61,0.62,0.47,0.51
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.49,0.55,0.56,0.59,0.50,0.56,0.56,0.56,0.51,0.51,0.53,0.57,0.49,0.49,0.47,0.49,0.49,0.54,0.49
69-2,NaN,1.00,0.94,0.97,0.96,0.92,0.84,0.83,0.84,0.87,0.87,0.87,0.82,0.63,0.70,0.62,0.71,0.77,0.65,0.64
70-1,NaN,0.94,0.94,0.97,0.98,0.96,0.88,0.88,0.88,0.90,0.90,0.91,0.90,0.66,0.78,0.65,0.88,0.84,0.65,0.63
70-2,NaN,0.85,0.55,0.95,0.94,0.60,0.83,0.83,0.84,0.86,0.86,0.66,0.78,0.77,0.69,0.54,0.56,0.53,0.59,0.51
70-3,NaN,0.84,0.75,0.70,0.97,0.89,0.54,0.54,0.54,0.53,0.84,0.72,0.92,0.71,0.75,0.42,0.61,0.61,0.50,0.43
72-1,NaN,1.00,0.86,0.86,0.94,0.96,0.57,0.57,0.57,0.78,0.78,0.87,0.79,0.64,0.56,0.53,0.63,0.68,0.59,0.49
72-2,NaN,0.50,0.86,0.87,0.65,0.55,0.50,0.50,0.50,0.85,0.85,0.57,0.69,0.62,0.56,0.53,0.65,0.62,0.55,0.48
73-1,NaN,0.99,0.88,0.84,0.88,0.76,0.81,0.81,0.81,0.74,0.74,0.77,0.74,0.61,0.76,0.52,0.59,0.71,0.65,0.49
73-2,NaN,0.99,0.92,0.88,0.89,0.77,0.86,0.86,0.86,0.77,0.77,0.78,0.74,0.61,0.77,0.54,0.60,0.71,0.66,0.49
73-3,NaN,0.99,0.83,0.80,0.70,0.71,0.83,0.82,0.82,0.65,0.65,0.58,0.69,0.55,0.78,0.52,0.55,0.63,0.65,0.49
74-1,NaN,0.50,0.86,0.85,0.65,0.70,0.65,0.65,0.65,0.79,0.79,0.69,0.75,0.67,0.56,0.67,0.51,0.54,0.50,0.50
74-2,NaN,0.99,0.96,0.98,0.95,0.95,0.50,0.50,0.50,0.86,0.86,0.90,0.81,0.64,0.64,0.52,0.51,0.72,0.54,0.54
75-1,NaN,0.49,0.55,0.56,0.59,0.50,0.56,0.56,0.56,0.51,0.51,0.53,0.57,0.49,0.49,0.47,0.49,0.49,0.54,0.49
75-2,NaN,1.00,0.98,0.98,0.96,0.95,0.83,0.83,0.84,0.88,0.88,0.90,0.83,0.70,0.71,0.62,0.70,0.77,0.65,0.64
79-1,NaN,1.00,0.76,0.89,0.94,0.96,0.70,0.70,0.67,0.85,0.85,0.87,0.89,0.68,0.63,0.49,0.70,0.67,0.59,0.58
79-2,NaN,0.65,0.72,0.87,0.89,0.70,0.68,0.68,0.68,0.85,0.85,0.74,0.80,0.69,0.61,0.47,0.68,0.63,0.56,0.55
79-3,NaN,1.00,0.90,0.97,0.95,0.95,0.71,0.71,0.67,0.88,0.88,0.88,0.89,0.77,0.66,0.48,0.73,0.70,0.64,0.53
80-1,NaN,0.50,0.86,0.84,0.66,0.70,0.65,0.65,0.65,0.78,0.79,0.70,0.75,0.74,0.56,0.67,0.49,0.55,0.50,0.50
80-2,NaN,0.99,0.96,0.98,0.95,0.97,0.57,0.57,0.57,0.86,0.86,0.91,0.88,0.68,0.64,0.52,0.50,0.72,0.54,0.54
81-1,NaN,1.00,0.86,0.85,0.95,0.86,0.50,0.50,0.50,0.75,0.75,0.87,0.85,0.52,0.69,0.60,0.56,0.63,0.50,0.49
81-2,NaN,1.00,0.86,0.85,0.95,0.86,0.50,0.50,0.50,0.75,0.75,0.87,0.85,0.51,0.69,0.60,0.56,0.63,0.50,0.49
82-1,NaN,1.00,0.92,0.87,0.88,0.90,0.84,0.84,0.84,0.84,0.84,0.83,0.73,0.73,0.81,0.67,0.60,0.65,0.60,0.45
83-1,NaN,1.00,0.91,0.91,0.94,0.97,0.88,0.88,0.88,0.70,0.68,0.84,0.96,0.73,0.84,0.66,0.48,0.50,0.57,0.52
83-2,NaN,1.00,0.92,0.92,0.94,0.98,0.88,0.88,0.88,0.70,0.68,0.86,0.97,0.73,0.84,0.66,0.48,0.51,0.58,0.52
84-1,NaN,0.89,0.64,0.58,0.67,0.58,0.80,0.80,0.77,0.57,0.57,0.65,0.58,0.69,0.49,0.50,0.43,0.50,0.43,0.47
85-1,NaN,1.00,0.95,0.95,0.93,0.98,0.85,0.85,0.85,0.89,0.89,0.88,0.86,0.73,0.83,0.78,0.70,0.68,0.56,0.40
85-2,NaN,1.00,0.95,0.97,0.92,0.95,0.85,0.85,0.85,0.92,0.91,0.88,0.85,0.64,0.78,0.71,0.67,0.67,0.53,0.51
86-1,NaN,0.80,0.83,0.84,0.82,0.80,0.58,0.58,0.58,0.79,0.79,0.75,0.78,0.64,0.63,0.54,0.69,0.65,0.54,0.51
86-2,NaN,0.80,0.83,0.84,0.82,0.80,0.58,0.58,0.58,0.79,0.79,0.75,0.78,0.64,0.63,0.54,0.69,0.65,0.54,0.51
86-3,NaN,0.80,0.78,0.78,0.78,0.81,0.50,0.50,0.50,0.74,0.74,0.76,0.80,0.61,0.60,0.54,0.67,0.66,0.54,0.51
87-1,NaN,1.00,0.85,0.91,0.91,0.99,0.57,0.57,0.57,0.83,0.84,0.89,0.89,0.74,0.68,0.62,0.59,0.65,0.57,0.45
87-2,NaN,1.00,0.79,0.89,0.91,0.99,0.57,0.57,0.57,0.82,0.82,0.91,0.89,0.71,0.65,0.62,0.50,0.64,0.57,0.45
87-3,NaN,1.00,0.86,0.91,0.87,0.86,0.57,0.57,0.57,0.83,0.83,0.82,0.84,0.66,0.66,0.58,0.59,0.67,0.58,0.48
88-1,NaN,1.00,0.70,0.78,0.85,0.90,0.57,0.57,0.57,0.72,0.72,0.81,0.79,0.64,0.66,0.57,0.69,0.65,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.57,0.54,0.50,0.50,0.49,0.49,0.49,0.58,0.58,0.48,0.49,0.52,0.50,0.49,0.58,0.52,0.50,0.49
91-2,NaN,0.50,0.54,0.54,0.50,0.50,0.49,0.49,0.49,0.55,0.55,0.48,0.49,0.52,0.50,0.49,0.56,0.52,0.50,0.49
91-3,NaN,0.49,0.57,0.55,0.47,0.50,0.50,0.50,0.50,0.59,0.59,0.46,0.54,0.53,0.50,0.50,0.58,0.54,0.50,0.49
93-1,NaN,0.50,0.50,0.50,0.49,0.53,0.50,0.50,0.50,0.49,0.49,0.52,0.50,0.52,0.50,0.50,0.49,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.49,0.53,0.50,0.50,0.50,0.49,0.49,0.52,0.55,0.52,0.50,0.50,0.49,0.51,0.50,0.50
94-1,NaN,1.00,0.94,0.94,0.93,0.95,0.61,0.61,0.61,0.83,0.83,0.84,0.87,0.65,0.68,0.67,0.66,0.75,0.53,0.51
95-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.46,0.45,0.40,0.52,0.45,0.45,0.45,0.47,0.47,0.45,0.43,0.50,0.50,0.54,0.54,0.53,0.50,0.50
96-2,NaN,0.50,0.52,0.51,0.46,0.53,0.51,0.51,0.51,0.50,0.50,0.49,0.52,0.50,0.50,0.50,0.53,0.52,0.50,0.50
96-3,NaN,0.50,0.47,0.47,0.49,0.57,0.46,0.46,0.46,0.46,0.46,0.47,0.61,0.50,0.50,0.50,0.54,0.54,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.62,0.50,0.52,0.56,0.49,0.51,0.51,0.51,0.44,0.44,0.55,0.57,0.42,0.26,0.40,0.37,0.37,0.73,0.40
99-1,NaN,1.00,0.96,0.98,0.95,0.98,0.67,0.67,0.67,0.92,0.92,0.90,0.94,0.75,0.68,0.67,0.69,0.67,0.53,0.58
