ID-model,GO:0005575,GO:0012505,GO:0043229,GO:0044444,GO:0043226,GO:0043227,GO:0043231,GO:0005737,GO:0005622,GO:0044424,GO:0005623,GO:0044464
110-1,NaN,0.75,0.68,0.70,0.68,0.64,0.64,0.62,0.70,0.70,0.78,0.78
110-2,NaN,0.74,0.69,0.60,0.69,0.61,0.58,0.58,0.73,0.73,0.85,0.85
110-3,NaN,0.38,0.65,0.63,0.65,0.51,0.51,0.73,0.68,0.68,0.48,0.48
111-1,NaN,0.78,0.68,0.73,0.68,0.62,0.62,0.61,0.70,0.70,0.77,0.77
111-2,NaN,0.38,0.65,0.63,0.65,0.53,0.53,0.73,0.67,0.67,0.24,0.24
111-3,NaN,0.50,0.53,0.47,0.53,0.51,0.51,0.46,0.51,0.51,0.27,0.27
112-1,NaN,0.75,0.71,0.66,0.71,0.62,0.60,0.66,0.75,0.75,0.79,0.79
112-2,NaN,0.76,0.71,0.66,0.71,0.62,0.60,0.66,0.76,0.76,0.79,0.79
112-3,NaN,0.75,0.63,0.67,0.68,0.58,0.56,0.60,0.66,0.66,0.70,0.70
113-1,NaN,0.76,0.64,0.66,0.68,0.58,0.56,0.59,0.66,0.66,0.72,0.72
113-2,NaN,0.38,0.74,0.74,0.74,0.62,0.62,0.75,0.74,0.74,0.49,0.49
113-3,NaN,0.78,0.67,0.76,0.67,0.61,0.61,0.61,0.68,0.68,0.73,0.73
114-1,NaN,0.82,0.68,0.65,0.68,0.64,0.64,0.62,0.58,0.61,0.67,0.67
115-1,NaN,0.84,0.67,0.61,0.67,0.58,0.58,0.65,0.70,0.70,0.92,0.92
116-1,NaN,0.50,0.63,0.55,0.63,0.62,0.62,0.54,0.64,0.64,0.64,0.64
116-2,NaN,0.50,0.57,0.53,0.57,0.55,0.55,0.56,0.58,0.58,0.60,0.60
117-1,NaN,0.78,0.64,0.65,0.64,0.53,0.53,0.59,0.63,0.67,0.70,0.70
117-2,NaN,0.57,0.47,0.55,0.47,0.48,0.48,0.52,0.44,0.47,0.58,0.58
119-1,NaN,0.79,0.69,0.63,0.69,0.65,0.65,0.63,0.58,0.58,0.92,0.92
120-1,NaN,0.84,0.71,0.66,0.71,0.66,0.66,0.62,0.58,0.61,0.66,0.66
120-2,NaN,0.87,0.60,0.68,0.60,0.58,0.55,0.63,0.63,0.63,0.56,0.56
120-3,NaN,0.55,0.66,0.66,0.66,0.59,0.60,0.55,0.74,0.74,0.11,0.11
121-1,NaN,0.79,0.61,0.63,0.61,0.54,0.54,0.68,0.68,0.71,0.85,0.85
121-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
121-3,NaN,0.79,0.65,0.61,0.65,0.55,0.55,0.66,0.55,0.60,0.72,0.72
122-1,NaN,0.61,0.72,0.66,0.72,0.63,0.63,0.66,0.62,0.64,0.83,0.83
124-1,NaN,0.85,0.54,0.67,0.54,0.48,0.48,0.55,0.61,0.61,0.21,0.21
124-2,NaN,0.86,0.50,0.61,0.50,0.49,0.49,0.54,0.58,0.58,0.52,0.52
124-3,NaN,0.80,0.55,0.57,0.55,0.47,0.47,0.47,0.61,0.61,0.18,0.18
125-1,NaN,0.82,0.68,0.66,0.68,0.63,0.63,0.63,0.58,0.62,0.67,0.67
125-2,NaN,0.82,0.59,0.66,0.58,0.54,0.54,0.62,0.50,0.55,0.53,0.53
125-3,NaN,0.83,0.70,0.69,0.69,0.61,0.61,0.64,0.68,0.68,0.98,0.98
126-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
127-1,NaN,0.77,0.49,0.60,0.51,0.53,0.52,0.60,0.39,0.39,0.64,0.64
127-2,NaN,0.78,0.57,0.67,0.55,0.54,0.57,0.58,0.56,0.56,0.69,0.69
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.73,0.67,0.76,0.66,0.67,0.67,0.70,0.67,0.67,0.60,0.60
