ID-model,GO:0008150,GO:0005976,GO:0016051,GO:0044264,GO:0044262,GO:0009059,GO:0005975,GO:0034645,GO:0044723,GO:0043170,GO:0044237,GO:0044260,GO:0009058,GO:0044249,GO:1901576,GO:0006082,GO:0043436,GO:0044710,GO:0019752,GO:0009987,GO:0071704,GO:0044281,GO:0008152,GO:0044238
65-2,NaN,0.29,0.43,0.37,0.35,0.25,0.46,0.27,0.47,0.24,0.15,0.23,0.26,0.27,0.24,0.34,0.34,0.17,0.27,0.18,0.21,0.33,0.17,0.21
65-3,NaN,0.31,0.45,0.39,0.37,0.29,0.49,0.30,0.49,0.28,0.23,0.27,0.30,0.32,0.30,0.33,0.33,0.16,0.26,0.26,0.22,0.31,0.17,0.29
68-1,NaN,0.98,0.97,1.00,0.96,0.82,0.91,0.87,0.88,0.64,0.73,0.74,0.72,0.72,0.72,0.85,0.85,0.69,0.90,0.78,0.67,0.71,0.44,0.69
68-2,NaN,0.99,0.94,0.99,0.92,0.86,0.88,0.89,0.85,0.68,0.71,0.81,0.75,0.75,0.75,0.78,0.78,0.64,0.81,0.70,0.57,0.65,0.47,0.66
69-1,NaN,0.91,0.88,0.92,0.86,0.86,0.87,0.85,0.84,0.81,0.81,0.89,0.75,0.79,0.75,0.97,0.97,0.71,0.96,0.72,0.55,0.82,0.56,0.60
69-2,NaN,0.84,0.91,0.74,0.73,0.83,0.84,0.80,0.87,0.81,0.79,0.85,0.75,0.77,0.75,0.97,0.97,0.68,0.92,0.70,0.54,0.79,0.54,0.57
70-1,NaN,0.55,0.70,0.57,0.67,0.57,0.62,0.58,0.59,0.52,0.62,0.50,0.74,0.76,0.71,0.79,0.78,0.71,0.80,0.68,0.58,0.70,0.37,0.50
70-2,NaN,0.48,0.46,0.50,0.50,0.55,0.56,0.66,0.57,0.50,0.68,0.53,0.60,0.59,0.62,0.65,0.61,0.55,0.63,0.49,0.64,0.69,0.50,0.57
70-3,NaN,0.58,0.50,0.50,0.50,0.64,0.65,0.50,0.50,0.57,0.56,0.61,0.58,0.51,0.55,0.43,0.48,0.48,0.48,0.55,0.45,0.43,0.49,0.38
72-1,NaN,0.84,0.83,0.85,0.82,0.83,0.78,0.82,0.75,0.83,0.73,0.85,0.78,0.78,0.78,0.78,0.78,0.63,0.81,0.60,0.44,0.58,0.51,0.56
72-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.54,0.62,0.50,0.50,0.50,0.50,0.54,0.54,0.45,0.55,0.51,0.41,0.38,0.70,0.48
73-1,NaN,0.93,0.87,0.94,0.86,0.90,0.88,0.89,0.89,0.84,0.76,0.91,0.76,0.76,0.76,0.81,0.84,0.70,0.86,0.65,0.58,0.75,0.51,0.65
73-2,NaN,0.93,0.87,0.94,0.86,0.90,0.88,0.89,0.89,0.84,0.76,0.91,0.76,0.76,0.76,0.81,0.84,0.69,0.86,0.65,0.58,0.74,0.51,0.65
73-3,NaN,0.91,0.93,0.96,0.89,0.84,0.88,0.84,0.87,0.72,0.52,0.78,0.52,0.59,0.55,0.75,0.75,0.64,0.76,0.50,0.56,0.72,0.60,0.55
74-1,NaN,1.00,0.93,1.00,0.91,0.92,0.92,0.92,0.83,1.00,0.80,1.00,0.66,0.66,0.66,0.97,0.97,0.79,0.97,0.62,0.75,0.89,0.90,0.83
74-2,NaN,0.87,0.85,0.87,0.83,0.84,0.74,0.84,0.72,0.83,0.68,0.86,0.83,0.83,0.85,0.96,0.96,0.89,0.95,0.73,0.68,0.84,0.43,0.67
75-1,NaN,0.97,0.90,0.97,0.92,0.89,0.88,0.90,0.86,0.86,0.81,0.94,0.75,0.80,0.75,0.97,0.97,0.72,0.97,0.72,0.55,0.82,0.56,0.62
75-2,NaN,0.97,0.92,0.97,0.88,0.90,0.86,0.89,0.88,0.89,0.79,0.97,0.75,0.77,0.75,0.97,0.97,0.70,0.96,0.70,0.54,0.79,0.54,0.60
79-1,NaN,0.60,0.68,0.64,0.60,0.78,0.77,0.75,0.81,0.83,0.71,0.80,0.71,0.72,0.74,0.75,0.75,0.57,0.75,0.69,0.64,0.61,0.52,0.66
79-2,NaN,0.44,0.73,0.47,0.47,0.75,0.82,0.67,0.86,0.84,0.78,0.79,0.78,0.81,0.81,0.88,0.88,0.76,0.90,0.73,0.68,0.68,0.54,0.70
79-3,NaN,0.84,0.91,0.79,0.75,0.96,0.82,0.92,0.87,0.85,0.71,0.84,0.90,0.87,0.90,0.88,0.88,0.61,0.89,0.67,0.72,0.79,0.64,0.69
80-1,NaN,1.00,0.93,1.00,0.91,0.82,0.86,0.82,0.77,0.91,0.75,0.90,0.61,0.61,0.61,0.97,0.97,0.81,0.97,0.60,0.72,0.87,0.85,0.79
80-2,NaN,1.00,0.91,1.00,0.95,0.94,0.83,0.94,0.83,0.91,0.67,0.93,0.83,0.83,0.83,0.95,0.95,0.83,0.94,0.73,0.65,0.79,0.43,0.68
81-1,NaN,0.77,0.85,0.82,0.73,0.73,0.81,0.71,0.81,0.71,0.62,0.75,0.76,0.76,0.75,1.00,1.00,0.71,1.00,0.55,0.55,0.79,0.48,0.55
81-2,NaN,0.77,0.85,0.82,0.73,0.73,0.83,0.71,0.83,0.71,0.64,0.75,0.78,0.78,0.78,1.00,1.00,0.74,1.00,0.57,0.58,0.80,0.55,0.57
82-1,NaN,0.64,0.72,0.64,0.62,0.68,0.78,0.65,0.77,0.62,0.50,0.63,0.52,0.52,0.54,0.67,0.67,0.41,0.66,0.45,0.38,0.46,0.48,0.47
83-1,NaN,0.95,0.93,0.94,0.88,0.81,0.88,0.88,0.83,0.77,0.65,0.94,0.89,0.88,0.89,0.93,0.93,0.78,0.93,0.51,0.49,0.80,0.59,0.60
83-2,NaN,0.95,0.93,0.94,0.88,0.82,0.88,0.88,0.83,0.79,0.65,0.98,0.84,0.84,0.85,0.93,0.93,0.78,0.93,0.51,0.49,0.78,0.59,0.60
84-1,NaN,0.48,0.56,0.36,0.43,0.36,0.51,0.36,0.57,0.25,0.42,0.25,0.54,0.53,0.54,0.42,0.42,0.41,0.40,0.44,0.30,0.33,0.40,0.33
85-1,NaN,0.99,0.85,0.99,0.93,0.94,0.90,0.94,0.87,0.94,0.78,0.96,0.75,0.74,0.75,0.94,0.94,0.71,0.92,0.60,0.83,0.83,0.83,0.70
85-2,NaN,0.99,0.85,0.99,0.93,0.94,0.90,0.94,0.87,0.94,0.78,0.96,0.75,0.74,0.75,0.94,0.94,0.71,0.92,0.60,0.83,0.83,0.83,0.70
86-1,NaN,0.50,0.50,0.50,0.50,0.58,0.47,0.54,0.50,0.57,0.52,0.51,0.56,0.56,0.56,0.54,0.54,0.55,0.54,0.54,0.52,0.53,0.39,0.49
86-2,NaN,0.50,0.50,0.50,0.50,0.58,0.47,0.54,0.50,0.57,0.52,0.51,0.56,0.56,0.56,0.54,0.54,0.55,0.54,0.54,0.52,0.53,0.39,0.49
86-3,NaN,0.50,0.50,0.50,0.50,0.56,0.50,0.50,0.50,NaN,NaN,0.50,0.56,0.56,0.56,0.57,0.57,NaN,0.57,NaN,NaN,0.57,NaN,NaN
87-1,NaN,0.87,0.86,0.89,0.86,0.83,0.84,0.83,0.79,0.83,0.78,0.86,0.81,0.81,0.81,0.96,0.96,0.79,0.96,0.72,0.63,0.79,0.59,0.71
87-2,NaN,0.86,0.88,0.87,0.84,0.83,0.86,0.81,0.82,0.80,0.77,0.83,0.86,0.86,0.86,0.96,0.96,0.83,0.96,0.70,0.74,0.79,0.82,0.72
87-3,NaN,0.83,0.81,0.84,0.82,0.78,0.84,0.77,0.77,0.81,0.79,0.81,0.84,0.84,0.84,0.92,0.92,0.82,0.92,0.74,0.73,0.80,0.68,0.75
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,0.89,0.90,0.95,0.90,0.87,0.83,0.86,0.84,0.69,0.59,0.73,0.61,0.67,0.67,0.75,0.75,0.61,0.73,0.48,0.56,0.69,0.60,0.55
93-2,NaN,0.89,0.86,0.95,0.88,0.79,0.78,0.81,0.79,0.58,0.55,0.65,0.63,0.63,0.67,0.72,0.72,0.63,0.71,0.50,0.56,0.66,0.60,0.55
94-1,NaN,1.00,0.97,1.00,0.95,0.97,0.88,0.97,0.84,0.94,0.72,1.00,0.84,0.84,0.84,0.96,0.96,0.77,0.96,0.62,0.60,0.82,0.60,0.68
95-1,NaN,0.97,0.98,1.00,0.97,0.82,0.92,0.87,0.89,0.63,0.70,0.72,0.69,0.69,0.69,0.84,0.84,0.66,0.90,0.73,0.61,0.68,0.48,0.61
95-2,NaN,0.99,0.95,0.99,0.92,0.86,0.91,0.90,0.87,0.64,0.73,0.75,0.72,0.71,0.72,0.80,0.80,0.65,0.82,0.76,0.65,0.66,0.57,0.65
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,1.00,1.00,1.00,0.77,1.00,0.88,1.00,0.72,0.94,0.49,1.00,0.70,0.73,0.70,0.92,0.92,0.49,0.92,0.36,0.37,0.55,0.63,0.42
99-1,NaN,0.97,0.89,0.98,0.96,0.96,0.88,0.95,0.86,0.84,0.74,0.87,0.85,0.86,0.85,0.77,0.77,0.65,0.77,0.72,0.61,0.67,0.52,0.61
