ID-model,GO:0008150,GO:0044710,GO:0044238,GO:0008152,GO:0071704,GO:0044237,GO:0050896,GO:0044699,GO:0006810,GO:0051234,GO:0006950,GO:0009987,GO:0044765,GO:0051179
69-1,NaN,0.91,0.78,0.70,0.76,0.77,0.80,0.78,0.94,0.94,0.60,0.53,0.93,0.93
69-2,NaN,0.91,0.82,0.72,0.80,0.72,0.77,0.70,0.98,0.96,0.59,0.47,0.91,0.95
70-1,NaN,0.77,0.77,0.81,0.81,0.73,0.46,0.44,0.54,0.54,0.48,0.43,0.43,0.53
70-2,NaN,0.66,0.59,0.67,0.69,0.67,0.45,0.57,0.62,0.62,0.44,0.56,0.51,0.62
70-3,NaN,0.71,0.53,0.63,0.52,0.62,0.48,0.54,0.53,0.53,0.34,0.50,0.53,0.60
72-1,NaN,0.67,0.58,0.66,0.52,0.65,0.61,0.80,0.91,0.91,0.50,0.62,0.91,0.90
72-2,NaN,0.53,0.52,0.63,0.47,0.60,0.61,0.54,0.49,0.49,0.50,0.56,0.50,0.49
73-1,NaN,0.75,0.68,0.56,0.67,0.59,0.72,0.76,0.92,0.92,0.64,0.50,0.95,0.91
73-2,NaN,0.67,0.60,0.56,0.59,0.53,0.73,0.76,0.92,0.92,0.64,0.46,0.95,0.91
73-3,NaN,0.64,0.68,0.55,0.66,0.61,0.65,0.64,0.83,0.85,0.52,0.58,0.83,0.84
74-1,NaN,0.77,0.72,0.65,0.77,0.70,0.60,0.78,0.88,0.88,0.48,0.67,0.82,0.86
74-2,NaN,0.80,0.75,0.66,0.73,0.73,0.67,0.86,0.92,0.92,0.58,0.54,0.96,0.91
75-1,NaN,0.91,0.78,0.70,0.75,0.77,0.81,0.78,0.94,0.94,0.60,0.53,0.93,0.93
75-2,NaN,0.92,0.79,0.70,0.76,0.71,0.78,0.72,0.98,0.96,0.59,0.45,0.95,0.95
79-1,NaN,0.82,0.65,0.65,0.65,0.70,0.73,0.53,0.65,0.68,0.55,0.62,0.65,0.66
79-2,NaN,0.72,0.62,0.62,0.54,0.64,0.59,0.48,0.52,0.52,0.46,0.59,0.52,0.52
79-3,NaN,0.88,0.69,0.72,0.70,0.74,0.71,0.53,0.88,0.95,0.49,0.55,0.82,0.95
80-1,NaN,0.82,0.72,0.68,0.75,0.73,0.60,0.80,0.88,0.88,0.47,0.67,0.87,0.86
80-2,NaN,0.86,0.71,0.70,0.69,0.75,0.70,0.85,0.92,0.92,0.56,0.57,0.96,0.91
81-1,NaN,0.67,0.63,0.67,0.57,0.60,0.59,0.82,1.00,1.00,0.50,0.54,0.95,0.97
81-2,NaN,0.67,0.63,0.67,0.57,0.60,0.59,0.84,1.00,1.00,0.50,0.55,0.95,0.99
82-1,NaN,0.78,0.72,0.59,0.69,0.62,0.69,0.66,0.71,0.71,0.51,0.60,0.71,0.71
83-1,NaN,0.85,0.69,0.49,0.37,0.64,0.68,0.72,0.92,0.93,0.45,0.51,0.92,0.91
83-2,NaN,0.84,0.69,0.49,0.37,0.64,0.67,0.72,0.93,0.93,0.42,0.52,0.93,0.92
84-1,NaN,0.75,0.68,0.64,0.61,0.57,0.66,0.72,0.90,0.90,0.58,0.57,0.89,0.90
85-1,NaN,0.79,0.79,0.73,0.77,0.75,0.72,0.66,0.81,0.81,0.61,0.51,0.82,0.80
85-2,NaN,0.79,0.79,0.73,0.77,0.75,0.72,0.66,0.81,0.81,0.61,0.51,0.82,0.80
86-1,NaN,0.59,0.38,0.51,0.38,0.37,0.59,0.48,0.59,0.58,0.48,0.56,0.62,0.55
86-2,NaN,0.59,0.38,0.51,0.38,0.37,0.59,0.48,0.59,0.58,0.48,0.56,0.62,0.55
86-3,NaN,0.56,0.46,0.57,0.45,0.49,0.50,0.45,0.53,0.53,0.46,0.55,0.55,0.51
87-1,NaN,0.85,0.60,0.59,0.53,0.58,0.58,0.89,0.99,0.99,0.50,0.53,0.99,0.97
87-2,NaN,0.85,0.59,0.61,0.52,0.57,0.58,0.89,0.99,0.99,0.50,0.53,0.99,0.98
87-3,NaN,0.74,0.58,0.59,0.51,0.54,0.58,0.89,1.00,1.00,0.50,0.49,1.00,0.98
88-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.85,0.64,0.71,0.69,0.70,0.54,0.73,0.95,0.95,0.47,0.63,0.95,0.90
93-2,NaN,0.69,0.64,0.57,0.64,0.62,0.56,0.56,0.82,0.82,0.41,0.58,0.82,0.78
94-1,NaN,0.88,0.75,0.77,0.73,0.56,0.65,0.85,0.95,0.95,0.56,0.50,0.96,0.93
95-1,NaN,0.74,0.49,0.42,0.46,0.47,0.50,0.65,0.90,0.89,0.55,0.48,0.90,0.85
95-2,NaN,0.80,0.61,0.47,0.58,0.51,0.54,0.68,0.86,0.85,0.47,0.48,0.88,0.81
96-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.73,0.66,0.65,0.64,0.55,0.65,0.78,0.97,0.97,0.55,0.47,0.93,0.96
99-1,NaN,0.74,0.66,0.71,0.59,0.64,0.68,0.50,0.64,0.64,0.63,0.54,0.58,0.60
