ID-model,GO:0008150,GO:0050896,GO:0009059,GO:0006725,GO:0046483,GO:0044699,GO:1901360,GO:0044710,GO:0009058,GO:1901576,GO:0044763,GO:0044249,GO:0044238,GO:0034641,GO:0043170,GO:0044260,GO:0006807,GO:0051704,GO:0009987,GO:0044237,GO:0008152,GO:0044271,GO:0071704,GO:1901564
107-1,NaN,0.60,0.90,0.70,0.60,0.54,0.60,0.51,0.76,0.67,0.50,0.68,0.63,0.55,0.76,0.73,0.52,0.42,0.49,0.52,0.52,0.56,0.50,0.45
107-2,NaN,0.54,0.80,0.72,0.53,0.52,0.53,0.58,0.81,0.74,0.51,0.77,0.58,0.47,0.58,0.61,0.53,0.42,0.57,0.68,0.56,0.54,0.47,0.54
107-3,NaN,0.58,0.76,0.67,0.67,0.43,0.66,0.57,0.78,0.77,0.42,0.72,0.59,0.58,0.59,0.62,0.63,0.43,0.53,0.63,0.53,0.69,0.51,0.72
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.64,0.82,0.67,0.67,0.36,0.67,0.59,0.66,0.68,0.37,0.57,0.79,0.54,0.76,0.80,0.52,0.61,0.52,0.62,0.64,0.49,0.67,0.41
110-2,NaN,0.71,0.91,0.54,0.53,0.38,0.52,0.50,0.66,0.66,0.39,0.57,0.67,0.41,0.73,0.81,0.45,0.52,0.75,0.63,0.59,0.36,0.58,0.42
110-3,NaN,0.60,0.60,0.66,0.65,0.51,0.65,0.53,0.52,0.52,0.43,0.60,0.57,0.51,0.62,0.75,0.45,0.49,0.64,0.58,0.51,0.47,0.45,0.49
111-1,NaN,0.64,0.82,0.67,0.67,0.36,0.67,0.59,0.66,0.68,0.37,0.57,0.79,0.54,0.76,0.80,0.52,0.61,0.52,0.62,0.64,0.49,0.67,0.41
111-2,NaN,0.60,0.60,0.66,0.65,0.51,0.65,0.53,0.52,0.52,0.43,0.60,0.57,0.51,0.62,0.75,0.45,0.49,0.64,0.58,0.51,0.47,0.45,0.49
111-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112-1,NaN,0.78,0.89,0.67,0.68,0.42,0.66,0.58,0.66,0.65,0.38,0.60,0.73,0.49,0.77,0.85,0.48,0.55,0.77,0.72,0.70,0.47,0.61,0.50
112-2,NaN,0.79,0.90,0.68,0.69,0.43,0.67,0.58,0.65,0.65,0.39,0.60,0.73,0.50,0.77,0.85,0.47,0.56,0.77,0.71,0.70,0.47,0.62,0.50
112-3,NaN,0.80,0.90,0.63,0.64,0.28,0.61,0.54,0.73,0.72,0.30,0.65,0.71,0.47,0.74,0.77,0.46,0.55,0.61,0.58,0.65,0.50,0.65,0.54
113-1,NaN,0.81,0.90,0.64,0.65,0.28,0.63,0.55,0.72,0.72,0.30,0.65,0.71,0.47,0.75,0.78,0.46,0.56,0.61,0.58,0.66,0.51,0.66,0.54
113-2,NaN,0.60,0.83,0.58,0.56,0.40,0.56,0.42,0.63,0.63,0.34,0.59,0.58,0.46,0.64,0.60,0.39,0.49,0.50,0.42,0.44,0.44,0.45,0.45
113-3,NaN,0.67,0.83,0.84,0.83,0.35,0.83,0.50,0.76,0.77,0.38,0.67,0.59,0.62,0.59,0.55,0.63,0.62,0.50,0.54,0.59,0.61,0.62,0.55
114-1,NaN,0.69,0.93,0.81,0.81,0.80,0.81,0.58,0.77,0.75,0.72,0.65,0.75,0.67,0.79,0.74,0.63,0.50,0.60,0.65,0.64,0.76,0.60,0.67
115-1,NaN,0.57,0.94,0.69,0.67,0.64,0.69,0.71,0.89,0.82,0.62,0.81,0.64,0.56,0.70,0.57,0.56,0.48,0.67,0.75,0.56,0.74,0.52,0.52
116-1,NaN,0.61,0.84,0.54,0.54,0.66,0.54,0.67,0.85,0.67,0.64,0.68,0.69,0.47,0.71,0.62,0.51,0.43,0.60,0.70,0.58,0.49,0.54,0.47
116-2,NaN,0.62,0.64,0.54,0.54,0.60,0.54,0.60,0.75,0.56,0.55,0.67,0.68,0.44,0.56,0.58,0.52,0.36,0.54,0.66,0.66,0.50,0.52,0.50
117-1,NaN,0.75,0.85,0.51,0.51,0.82,0.51,0.63,0.75,0.57,0.70,0.71,0.57,0.39,0.63,0.68,0.42,0.52,0.70,0.60,0.47,0.29,0.41,0.34
117-2,NaN,0.80,0.50,0.62,0.62,0.65,0.62,0.55,0.78,0.61,0.60,0.67,0.67,0.48,0.52,0.52,0.57,0.46,0.81,0.58,0.62,0.46,0.51,0.57
119-1,NaN,0.71,0.85,0.73,0.72,0.54,0.71,0.58,0.74,0.66,0.47,0.78,0.63,0.60,0.67,0.77,0.57,0.62,0.60,0.58,0.49,0.66,0.47,0.53
120-1,NaN,0.69,0.92,0.79,0.79,0.75,0.79,0.59,0.78,0.74,0.64,0.66,0.73,0.66,0.77,0.73,0.61,0.48,0.58,0.64,0.61,0.77,0.57,0.66
120-2,NaN,0.57,0.43,0.68,0.66,0.67,0.68,0.45,0.50,0.50,0.60,0.50,0.43,0.56,0.36,0.27,0.61,0.48,0.53,0.54,0.57,0.68,0.54,0.64
120-3,NaN,0.69,0.50,0.62,0.78,0.74,0.60,0.56,0.51,0.51,0.74,0.50,0.50,0.53,0.44,0.44,0.58,0.50,0.58,0.56,0.63,0.50,0.72,0.63
121-1,NaN,0.66,0.79,0.56,0.56,0.69,0.56,0.66,0.81,0.67,0.63,0.58,0.66,0.46,0.65,0.46,0.49,0.44,0.40,0.45,0.57,0.46,0.42,0.56
121-2,NaN,NaN,1.00,1.00,1.00,NaN,1.00,NaN,1.00,1.00,NaN,1.00,0.33,0.83,1.00,NaN,0.83,NaN,0.75,0.75,NaN,1.00,0.25,0.83
121-3,NaN,0.69,0.79,0.56,0.56,0.77,0.56,0.68,0.83,0.68,0.74,0.70,0.63,0.47,0.62,0.52,0.51,0.41,0.55,0.59,0.58,0.51,0.44,0.60
122-1,NaN,0.75,0.66,0.57,0.57,0.73,0.57,0.60,0.78,0.62,0.64,0.69,0.68,0.49,0.61,0.65,0.50,0.54,0.65,0.66,0.65,0.52,0.48,0.54
124-1,NaN,0.60,0.33,0.58,0.58,0.65,0.59,0.52,0.31,0.39,0.67,0.42,0.39,0.55,0.36,0.56,0.60,0.54,0.65,0.57,0.50,0.51,0.59,0.42
124-2,NaN,0.53,0.22,0.52,0.52,0.37,0.52,0.52,0.29,0.39,0.45,0.38,0.42,0.59,0.39,0.53,0.54,0.56,0.62,0.51,0.44,0.55,0.54,0.42
124-3,NaN,0.61,0.33,0.58,0.58,0.65,0.59,0.35,0.31,0.39,0.67,0.42,0.38,0.55,0.37,0.57,0.60,0.55,0.66,0.57,0.52,0.51,0.62,0.44
125-1,NaN,0.70,0.93,0.81,0.81,0.79,0.81,0.58,0.77,0.75,0.70,0.65,0.75,0.67,0.79,0.74,0.63,0.50,0.60,0.65,0.64,0.76,0.60,0.67
125-2,NaN,0.60,0.90,0.58,0.58,0.72,0.58,0.59,0.78,0.67,0.66,0.65,0.73,0.48,0.77,0.73,0.48,0.43,0.53,0.57,0.57,0.45,0.55,0.56
125-3,NaN,0.71,0.58,0.89,0.86,0.66,0.89,0.62,0.55,0.53,0.60,0.56,0.61,0.53,0.57,0.68,0.54,0.70,0.75,0.66,0.56,0.52,0.52,0.48
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,0.74,0.88,0.77,0.80,0.58,0.79,0.64,0.86,0.86,0.64,0.71,0.65,0.66,0.70,0.58,0.69,0.41,0.64,0.66,0.68,0.68,0.63,0.68
127-2,NaN,0.71,0.85,0.57,0.73,0.62,0.74,0.65,0.66,0.67,0.65,0.55,0.61,0.47,0.70,0.62,0.46,0.57,0.58,0.60,0.65,0.47,0.56,0.41
127-3,NaN,0.10,0.79,0.58,0.58,0.11,0.58,0.48,0.62,0.62,0.11,0.48,0.70,0.44,0.72,0.60,0.42,0.67,0.12,0.32,0.44,0.22,0.67,0.42
128-1,NaN,0.68,0.80,0.69,0.71,0.45,0.66,0.62,0.65,0.65,0.37,0.57,0.66,0.61,0.65,0.66,0.55,0.63,0.41,0.57,0.60,0.43,0.57,0.42
129-1,NaN,0.77,0.77,0.85,0.62,0.38,0.84,0.51,0.64,0.65,0.29,0.52,0.53,0.65,0.63,0.72,0.66,0.66,0.59,0.61,0.63,0.36,0.62,0.59
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.77,0.77,0.85,0.62,0.38,0.84,0.51,0.64,0.65,0.29,0.52,0.53,0.65,0.63,0.72,0.66,0.66,0.59,0.61,0.63,0.36,0.62,0.59
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.59,0.74,0.64,0.64,0.65,0.64,0.76,0.77,0.64,0.64,0.72,0.69,0.55,0.64,0.64,0.55,0.40,0.63,0.70,0.52,0.52,0.49,0.60
131-2,NaN,0.59,0.79,0.53,0.53,0.67,0.53,0.77,0.80,0.62,0.66,0.68,0.72,0.46,0.71,0.64,0.48,0.41,0.65,0.73,0.65,0.46,0.50,0.54
131-3,NaN,0.59,0.83,0.78,0.72,0.61,0.77,0.67,0.77,0.75,0.63,0.68,0.70,0.59,0.69,0.64,0.67,0.44,0.63,0.67,0.54,0.70,0.59,0.85
132-1,NaN,0.68,0.87,0.66,0.65,0.40,0.65,0.59,0.60,0.60,0.37,0.54,0.75,0.46,0.76,0.84,0.46,0.58,0.71,0.69,0.69,0.39,0.62,0.42
132-2,NaN,0.70,0.89,0.64,0.63,0.25,0.62,0.54,0.68,0.67,0.29,0.60,0.71,0.46,0.66,0.68,0.46,0.58,0.58,0.53,0.60,0.42,0.63,0.45
65-1,NaN,0.59,0.76,0.45,0.45,0.54,0.44,0.38,0.54,0.55,0.52,0.46,0.58,0.41,0.52,0.54,0.40,0.51,0.35,0.43,0.48,0.35,0.46,0.33
65-2,NaN,0.63,0.77,0.58,0.59,0.49,0.57,0.38,0.64,0.65,0.46,0.53,0.61,0.47,0.57,0.59,0.42,0.52,0.46,0.54,0.60,0.49,0.58,0.51
65-3,NaN,0.58,0.76,0.44,0.45,0.51,0.44,0.37,0.55,0.55,0.47,0.46,0.58,0.39,0.53,0.53,0.37,0.52,0.37,0.45,0.49,0.31,0.45,0.31
68-1,NaN,0.61,0.85,0.61,0.61,0.53,0.61,0.52,0.82,0.76,0.59,0.73,0.67,0.56,0.67,0.55,0.59,0.41,0.53,0.53,0.58,0.77,0.57,0.66
68-2,NaN,0.69,0.85,0.52,0.52,0.58,0.52,0.54,0.75,0.67,0.61,0.67,0.69,0.48,0.69,0.62,0.51,0.42,0.56,0.51,0.52,0.62,0.55,0.64
69-1,NaN,0.60,0.88,0.59,0.59,0.70,0.59,0.73,0.84,0.80,0.67,0.82,0.64,0.51,0.65,0.61,0.58,0.46,0.65,0.73,0.66,0.66,0.57,0.64
69-2,NaN,0.65,0.86,0.57,0.57,0.72,0.57,0.67,0.85,0.81,0.68,0.83,0.59,0.53,0.61,0.60,0.56,0.52,0.58,0.64,0.56,0.72,0.53,0.55
70-1,NaN,0.59,0.74,0.63,0.74,0.57,0.63,0.43,0.68,0.74,0.63,0.68,0.46,0.62,0.59,0.67,0.62,0.49,0.53,0.48,0.49,0.63,0.58,0.33
70-2,NaN,0.68,0.57,0.60,0.67,0.48,0.61,0.49,0.67,0.71,0.60,0.51,0.50,0.56,0.52,0.59,0.56,0.59,0.56,0.53,0.55,0.52,0.60,0.47
70-3,NaN,0.63,0.62,0.58,0.58,0.65,0.57,0.49,0.60,0.61,0.52,0.51,0.56,0.40,0.56,0.57,0.45,0.54,0.60,0.57,0.62,0.50,0.63,0.59
72-1,NaN,0.52,0.74,0.56,0.56,0.71,0.56,0.64,0.78,0.65,0.64,0.80,0.65,0.49,0.67,0.66,0.51,0.49,0.70,0.73,0.65,0.52,0.56,0.57
72-2,NaN,0.52,0.53,0.51,0.51,0.60,0.51,0.64,0.49,0.49,0.61,0.50,0.53,0.51,0.55,0.58,0.53,0.49,0.57,0.58,0.40,0.49,0.51,0.52
73-1,NaN,0.62,0.88,0.57,0.52,0.50,0.52,0.61,0.84,0.68,0.46,0.79,0.66,0.47,0.60,0.62,0.51,0.37,0.53,0.68,0.60,0.48,0.62,0.48
73-2,NaN,0.62,0.88,0.57,0.51,0.50,0.51,0.61,0.84,0.69,0.46,0.79,0.66,0.46,0.60,0.62,0.50,0.37,0.53,0.68,0.60,0.48,0.62,0.48
73-3,NaN,0.59,0.86,0.54,0.54,0.48,0.53,0.58,0.62,0.57,0.45,0.56,0.62,0.45,0.71,0.70,0.40,0.47,0.50,0.46,0.47,0.44,0.49,0.39
74-1,NaN,0.52,0.84,0.51,0.50,0.56,0.50,0.74,0.79,0.76,0.47,0.67,0.61,0.45,0.65,0.52,0.43,0.41,0.51,0.65,0.44,0.48,0.50,0.56
74-2,NaN,0.50,0.81,0.60,0.60,0.64,0.60,0.65,0.84,0.81,0.57,0.74,0.69,0.51,0.69,0.67,0.56,0.41,0.47,0.61,0.64,0.53,0.54,0.56
75-1,NaN,0.60,0.93,0.59,0.59,0.70,0.59,0.74,0.85,0.81,0.67,0.81,0.65,0.51,0.70,0.60,0.58,0.46,0.64,0.73,0.66,0.66,0.57,0.64
75-2,NaN,0.65,0.92,0.57,0.57,0.70,0.57,0.72,0.85,0.81,0.66,0.81,0.60,0.52,0.68,0.59,0.55,0.45,0.59,0.65,0.56,0.72,0.53,0.60
79-1,NaN,0.73,0.82,0.78,0.80,0.31,0.79,0.63,0.82,0.78,0.30,0.68,0.57,0.73,0.65,0.58,0.74,0.49,0.59,0.69,0.80,0.65,0.72,0.75
79-2,NaN,0.79,0.85,0.89,0.88,0.37,0.88,0.68,0.88,0.88,0.37,0.72,0.58,0.81,0.68,0.58,0.84,0.55,0.69,0.76,0.84,0.78,0.77,0.92
79-3,NaN,0.57,0.83,0.63,0.63,0.60,0.63,0.69,0.86,0.69,0.48,0.76,0.74,0.57,0.75,0.69,0.56,0.48,0.59,0.68,0.65,0.54,0.53,0.55
80-1,NaN,0.53,0.86,0.55,0.54,0.57,0.54,0.76,0.77,0.75,0.48,0.64,0.62,0.46,0.66,0.58,0.48,0.41,0.49,0.61,0.42,0.49,0.50,0.54
80-2,NaN,0.50,0.89,0.59,0.58,0.63,0.58,0.68,0.83,0.78,0.56,0.71,0.70,0.48,0.72,0.60,0.52,0.40,0.46,0.61,0.64,0.49,0.51,0.59
81-1,NaN,0.58,0.78,0.55,0.55,0.74,0.55,0.67,0.75,0.59,0.64,0.72,0.66,0.46,0.65,0.65,0.49,0.44,0.57,0.66,0.53,0.48,0.46,0.56
81-2,NaN,0.58,0.78,0.55,0.55,0.74,0.55,0.67,0.75,0.59,0.64,0.72,0.66,0.46,0.65,0.65,0.49,0.44,0.57,0.66,0.53,0.48,0.46,0.56
82-1,NaN,0.72,0.64,0.69,0.62,0.45,0.62,0.68,0.73,0.76,0.48,0.59,0.54,0.52,0.43,0.63,0.60,0.60,0.51,0.61,0.61,0.56,0.56,0.51
83-1,NaN,0.53,0.85,0.53,0.51,0.60,0.51,0.55,0.67,0.60,0.49,0.56,0.73,0.48,0.71,0.76,0.51,0.46,0.53,0.63,0.57,0.60,0.55,0.53
83-2,NaN,0.62,0.90,0.75,0.74,0.58,0.74,0.58,0.72,0.67,0.46,0.60,0.73,0.65,0.77,0.78,0.63,0.44,0.56,0.62,0.57,0.60,0.58,0.76
84-1,NaN,0.74,0.69,0.49,0.50,0.59,0.49,0.58,0.53,0.50,0.59,0.52,0.65,0.44,0.69,0.69,0.46,0.37,0.45,0.42,0.37,0.43,0.45,0.36
85-1,NaN,0.72,0.72,0.60,0.80,0.81,0.80,0.55,0.66,0.65,0.70,0.62,0.77,0.50,0.65,0.71,0.46,0.70,0.61,0.72,0.63,0.51,0.62,0.46
85-2,NaN,0.72,0.72,0.60,0.80,0.81,0.80,0.55,0.66,0.65,0.70,0.62,0.77,0.50,0.65,0.71,0.46,0.70,0.61,0.72,0.63,0.51,0.62,0.46
86-1,NaN,0.58,0.55,0.45,0.44,0.51,0.43,0.55,0.40,0.41,0.48,0.37,0.55,0.40,0.61,0.56,0.36,0.51,0.46,0.50,0.50,0.31,0.57,0.36
86-2,NaN,0.58,0.55,0.45,0.44,0.51,0.43,0.55,0.40,0.41,0.48,0.37,0.55,0.40,0.61,0.56,0.36,0.51,0.46,0.50,0.50,0.31,0.57,0.36
86-3,NaN,0.57,0.58,0.53,0.53,0.43,0.53,0.61,0.57,0.57,0.33,0.57,0.67,0.48,0.65,0.64,0.48,0.53,0.35,0.60,0.58,0.47,0.59,0.42
87-1,NaN,0.56,0.79,0.53,0.53,0.68,0.53,0.71,0.79,0.63,0.67,0.79,0.68,0.50,0.67,0.68,0.54,0.44,0.68,0.79,0.68,0.58,0.56,0.57
87-2,NaN,0.57,0.76,0.51,0.51,0.69,0.51,0.70,0.80,0.63,0.68,0.80,0.66,0.50,0.64,0.67,0.54,0.44,0.63,0.79,0.67,0.58,0.54,0.57
87-3,NaN,0.54,0.70,0.49,0.49,0.71,0.49,0.73,0.77,0.61,0.70,0.77,0.64,0.49,0.62,0.70,0.53,0.42,0.64,0.78,0.67,0.55,0.55,0.52
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,0.62,0.88,0.63,0.62,0.66,0.63,0.49,0.64,0.65,0.67,0.61,0.58,0.61,0.64,0.60,0.62,0.42,0.53,0.54,0.55,0.69,0.59,0.64
93-2,NaN,0.51,0.76,0.59,0.59,0.58,0.59,0.49,0.60,0.60,0.55,0.60,0.53,0.57,0.56,0.56,0.57,0.38,0.53,0.52,0.53,0.66,0.54,0.61
94-1,NaN,0.69,0.85,0.60,0.60,0.74,0.60,0.71,0.80,0.70,0.66,0.75,0.71,0.53,0.73,0.72,0.52,0.44,0.63,0.70,0.58,0.54,0.54,0.62
95-1,NaN,0.60,0.83,0.62,0.62,0.51,0.62,0.55,0.81,0.74,0.56,0.72,0.67,0.56,0.67,0.57,0.59,0.43,0.53,0.54,0.57,0.75,0.58,0.66
95-2,NaN,0.69,0.86,0.52,0.52,0.55,0.52,0.55,0.75,0.67,0.60,0.66,0.69,0.47,0.69,0.62,0.50,0.42,0.57,0.51,0.52,0.63,0.54,0.59
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99-1,NaN,0.85,0.79,0.69,0.70,0.71,0.69,0.68,0.70,0.70,0.64,0.59,0.59,0.54,0.56,0.55,0.53,0.68,0.66,0.59,0.65,0.41,0.57,0.42
