ID-model,GO:0005575,GO:0044463,GO:0015630,GO:0042995,GO:0044459,GO:0044430,GO:0005856,GO:0043228,GO:0043232,GO:0005730,GO:0005783,GO:0044425,GO:0031981,GO:0016021,GO:0043234,GO:0070013,GO:0005576,GO:0043233,GO:0044421,GO:0031974,GO:0032991,GO:0031224,GO:0005634,GO:0005886,GO:0044428,GO:0005739,GO:0005615,GO:0005829,GO:0071944,GO:0016020,GO:0044444,GO:0043230,GO:0065010,GO:0070062,GO:0031982,GO:0031988,GO:0044432,GO:0005737,GO:0044446,GO:0043226,GO:0044422,GO:0031090,GO:0043227,GO:0043229,GO:0012505,GO:0044424,GO:0005622,GO:0043231,GO:0005794,GO:0031975,GO:0005623,GO:0044464
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.65,0.65,0.70,0.69,0.72,0.67,0.58,0.58,0.54,0.55,0.59,0.52,0.60,0.55,0.51,0.45,0.51,0.46,0.51,0.55,0.62,0.49,0.70,0.51,0.61,0.51,0.66,0.69,0.54,0.60,0.49,0.49,0.49,0.44,0.44,0.50,0.57,0.54,0.48,0.54,0.51,0.47,0.56,0.60,0.57,0.57,0.54,0.53,0.51,0.61,0.61
110-2,NaN,0.76,0.62,0.70,0.72,0.71,0.70,0.65,0.65,0.64,0.58,0.57,0.66,0.56,0.68,0.66,0.60,0.67,0.56,0.67,0.65,0.60,0.61,0.59,0.64,0.57,0.50,0.57,0.65,0.56,0.61,0.51,0.51,0.51,0.52,0.53,0.62,0.55,0.60,0.60,0.59,0.46,0.57,0.60,0.51,0.58,0.58,0.57,0.63,0.50,0.53,0.53
110-3,NaN,0.49,0.59,0.41,0.73,0.44,0.46,0.61,0.61,0.78,0.53,0.60,0.78,0.63,0.55,0.75,0.58,0.75,0.58,0.75,0.53,0.55,0.62,0.61,0.71,0.69,0.51,0.52,0.62,0.56,0.56,0.53,0.53,0.52,0.56,0.56,0.60,0.52,0.53,0.55,0.52,0.59,0.56,0.57,0.55,0.55,0.55,0.58,0.53,0.61,0.52,0.52
111-1,NaN,0.65,0.65,0.70,0.69,0.72,0.68,0.59,0.59,0.54,0.55,0.59,0.52,0.60,0.54,0.50,0.45,0.50,0.46,0.50,0.54,0.62,0.50,0.70,0.51,0.62,0.51,0.66,0.69,0.54,0.59,0.49,0.49,0.49,0.43,0.44,0.51,0.55,0.54,0.50,0.54,0.51,0.48,0.55,0.61,0.55,0.55,0.54,0.53,0.51,0.60,0.60
111-2,NaN,0.48,0.58,0.41,0.74,0.44,0.45,0.60,0.60,0.81,0.52,0.60,0.79,0.63,0.55,0.76,0.58,0.76,0.58,0.75,0.52,0.56,0.63,0.61,0.72,0.69,0.51,0.51,0.61,0.55,0.55,0.53,0.53,0.52,0.55,0.55,0.59,0.52,0.54,0.55,0.52,0.58,0.57,0.57,0.55,0.54,0.54,0.58,0.53,0.60,0.52,0.52
111-3,NaN,0.47,0.50,0.47,0.49,0.49,0.42,0.47,0.47,0.58,0.47,0.49,0.49,0.50,0.39,0.46,0.52,0.46,0.52,0.46,0.37,0.50,0.54,0.47,0.49,0.49,0.46,0.49,0.41,0.46,0.52,0.50,0.50,0.50,0.47,0.47,NaN,0.41,0.47,0.51,0.47,0.48,0.55,0.50,0.49,0.44,0.44,0.54,0.49,0.48,0.46,0.46
112-1,NaN,0.71,0.70,0.68,0.73,0.73,0.70,0.70,0.70,0.85,0.62,0.60,0.80,0.52,0.69,0.79,0.59,0.79,0.58,0.80,0.65,0.56,0.67,0.66,0.71,0.75,0.54,0.59,0.71,0.60,0.61,0.52,0.52,0.51,0.53,0.53,0.69,0.55,0.60,0.58,0.58,0.50,0.56,0.61,0.59,0.59,0.59,0.61,0.63,0.59,0.54,0.54
112-2,NaN,0.72,0.70,0.69,0.73,0.74,0.71,0.70,0.70,0.85,0.62,0.60,0.79,0.52,0.69,0.78,0.59,0.79,0.58,0.79,0.65,0.56,0.67,0.66,0.71,0.75,0.54,0.59,0.71,0.60,0.61,0.52,0.52,0.51,0.53,0.53,0.69,0.55,0.60,0.58,0.58,0.50,0.56,0.61,0.59,0.59,0.59,0.60,0.63,0.59,0.54,0.54
112-3,NaN,0.70,0.69,0.67,0.72,0.73,0.69,0.67,0.67,0.84,0.62,0.62,0.78,0.51,0.73,0.76,0.60,0.77,0.59,0.79,0.68,0.58,0.67,0.65,0.68,0.74,0.54,0.61,0.70,0.59,0.62,0.52,0.52,0.51,0.54,0.54,0.72,0.56,0.60,0.59,0.58,0.54,0.58,0.61,0.61,0.59,0.59,0.61,0.66,0.58,0.53,0.53
113-1,NaN,0.71,0.69,0.68,0.72,0.73,0.70,0.67,0.67,0.84,0.62,0.62,0.77,0.51,0.72,0.76,0.60,0.76,0.59,0.78,0.68,0.59,0.67,0.65,0.68,0.74,0.54,0.61,0.70,0.59,0.62,0.52,0.52,0.52,0.53,0.54,0.72,0.56,0.60,0.59,0.58,0.54,0.58,0.61,0.61,0.59,0.59,0.61,0.66,0.58,0.53,0.53
113-2,NaN,0.45,0.69,0.38,0.75,0.52,0.48,0.64,0.64,0.81,0.55,0.61,0.77,0.55,0.63,0.75,0.60,0.75,0.60,0.74,0.62,0.53,0.64,0.64,0.69,0.67,0.53,0.52,0.66,0.53,0.58,0.53,0.53,0.53,0.56,0.56,0.64,0.53,0.53,0.55,0.52,0.60,0.56,0.57,0.61,0.57,0.57,0.58,0.57,0.59,0.53,0.53
113-3,NaN,0.68,0.73,0.77,0.73,0.93,0.77,0.66,0.66,0.60,0.77,0.69,0.58,0.66,0.57,0.54,0.56,0.54,0.53,0.54,0.55,0.71,0.60,0.80,0.56,0.76,0.58,0.70,0.75,0.60,0.68,0.47,0.47,0.47,0.38,0.39,0.85,0.60,0.64,0.56,0.62,0.60,0.54,0.61,0.60,0.57,0.58,0.61,0.60,0.50,0.66,0.67
114-1,NaN,0.71,0.81,0.62,0.74,0.78,0.77,0.73,0.73,0.78,0.85,0.68,0.79,0.77,0.76,0.76,0.64,0.76,0.61,0.77,0.70,0.74,0.77,0.80,0.82,0.81,0.58,0.68,0.78,0.67,0.73,0.50,0.50,0.50,0.58,0.58,0.70,0.70,0.65,0.61,0.65,0.78,0.59,0.71,0.68,0.69,0.68,0.71,0.78,0.76,0.60,0.60
115-1,NaN,0.70,0.79,0.72,0.65,0.72,0.74,0.76,0.76,0.80,0.76,0.67,0.79,0.78,0.71,0.76,0.66,0.76,0.62,0.76,0.71,0.68,0.79,0.74,0.73,0.79,0.65,0.62,0.73,0.66,0.74,0.53,0.53,0.53,0.56,0.56,0.64,0.66,0.69,0.64,0.69,0.78,0.62,0.71,0.66,0.67,0.67,0.73,0.73,0.64,0.58,0.58
116-1,NaN,0.62,0.74,0.58,0.60,0.70,0.71,0.67,0.67,0.64,0.65,0.70,0.59,0.76,0.58,0.61,0.60,0.61,0.52,0.61,0.58,0.71,0.64,0.66,0.62,0.91,0.50,0.49,0.66,0.68,0.68,0.50,0.50,0.50,0.50,0.50,0.70,0.63,0.65,0.60,0.65,0.73,0.58,0.65,0.62,0.66,0.67,0.66,0.60,0.70,0.61,0.63
116-2,NaN,0.50,0.66,0.50,0.65,0.63,0.67,0.59,0.59,0.50,0.61,0.60,0.49,0.39,0.59,0.49,0.61,0.49,0.53,0.49,0.56,0.39,0.63,0.70,0.52,0.85,0.51,0.49,0.70,0.65,0.69,0.50,0.50,0.50,0.50,0.50,0.49,0.65,0.64,0.58,0.64,0.79,0.56,0.67,0.62,0.66,0.69,0.65,0.62,0.66,0.66,0.66
117-1,NaN,0.77,0.79,0.76,0.69,0.74,0.73,0.71,0.71,0.74,0.68,0.62,0.75,0.54,0.62,0.72,0.62,0.71,0.64,0.71,0.59,0.53,0.65,0.67,0.65,0.68,0.56,0.59,0.63,0.62,0.64,0.59,0.59,0.58,0.55,0.55,0.70,0.59,0.59,0.53,0.59,0.56,0.51,0.61,0.50,0.59,0.59,0.59,0.60,0.48,0.54,0.54
117-2,NaN,0.97,0.46,0.81,0.64,0.44,0.60,0.81,0.81,0.99,0.72,0.72,0.86,NaN,0.84,0.85,0.56,0.85,0.56,0.84,0.83,NaN,0.63,0.58,0.87,0.99,0.48,0.49,0.79,0.55,0.66,0.50,0.50,0.50,0.49,0.49,0.48,0.69,0.54,0.66,0.60,0.44,0.55,0.73,0.80,0.67,0.70,0.68,0.48,0.73,0.51,0.51
119-1,NaN,0.83,0.83,0.83,0.71,0.76,0.74,0.75,0.75,0.79,0.82,0.72,0.77,0.70,0.74,0.78,0.61,0.77,0.59,0.77,0.71,0.70,0.70,0.76,0.76,0.75,0.55,0.72,0.73,0.70,0.72,0.51,0.51,0.51,0.56,0.56,0.69,0.67,0.71,0.56,0.69,0.79,0.56,0.64,0.72,0.63,0.63,0.65,0.71,0.62,0.59,0.59
120-1,NaN,0.69,0.84,0.71,0.79,0.77,0.77,0.81,0.81,0.94,0.83,0.71,0.88,0.80,0.85,0.83,0.69,0.83,0.69,0.83,0.81,0.76,0.77,0.80,0.82,0.84,0.59,0.72,0.79,0.68,0.73,0.58,0.58,0.57,0.60,0.61,0.79,0.69,0.68,0.61,0.68,0.77,0.60,0.70,0.72,0.68,0.68,0.71,0.71,0.66,0.59,0.59
120-2,NaN,0.50,0.62,0.52,0.68,0.56,0.64,0.66,0.66,0.72,0.79,0.70,0.74,0.76,0.71,0.73,0.62,0.73,0.56,0.73,0.69,0.74,0.74,0.68,0.70,0.79,0.59,0.75,0.67,0.66,0.70,0.50,0.50,0.50,0.52,0.52,0.79,0.61,0.62,0.55,0.61,0.79,0.54,0.68,0.74,0.66,0.66,0.67,0.54,0.59,0.53,0.53
120-3,NaN,0.50,0.50,0.50,0.56,0.50,0.53,0.58,0.58,0.68,0.78,0.64,0.72,0.68,0.68,0.68,0.59,0.68,0.58,0.68,0.66,0.65,0.72,0.63,0.66,0.70,0.55,0.61,0.61,0.66,0.64,0.50,0.50,0.50,0.50,0.50,0.52,0.57,0.57,0.55,0.59,0.63,0.56,0.66,0.62,0.66,0.66,0.65,0.48,0.51,0.54,0.54
121-1,NaN,0.50,0.61,0.49,0.54,0.57,0.63,0.69,0.69,0.74,0.72,0.69,0.71,0.79,0.59,0.67,0.63,0.67,0.52,0.67,0.57,0.73,0.77,0.71,0.68,0.87,0.51,0.49,0.69,0.67,0.73,0.50,0.50,0.50,0.49,0.49,0.58,0.73,0.67,0.61,0.67,0.72,0.60,0.73,0.65,0.74,0.74,0.74,0.63,0.60,0.66,0.66
121-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44,NaN,NaN,NaN,NaN,NaN,0.50,NaN,0.50,NaN,NaN,NaN,0.44,0.68,NaN,NaN,0.50,NaN,0.68,0.75,0.68,0.50,0.50,0.50,0.50,0.50,NaN,0.83,NaN,0.25,0.50,0.50,0.25,0.33,0.50,0.80,0.80,0.33,NaN,NaN,0.64,0.64
121-3,NaN,0.57,0.61,0.55,0.53,0.57,0.65,0.71,0.71,0.79,0.72,0.68,0.76,0.75,0.58,0.72,0.62,0.72,0.52,0.72,0.56,0.66,0.77,0.71,0.73,0.79,0.51,0.53,0.69,0.67,0.74,0.50,0.50,0.50,0.50,0.50,0.57,0.72,0.67,0.62,0.68,0.73,0.61,0.73,0.66,0.73,0.72,0.75,0.63,0.60,0.64,0.64
122-1,NaN,0.50,0.57,0.56,0.61,0.60,0.66,0.62,0.62,0.62,0.59,0.63,0.61,0.78,0.64,0.61,0.58,0.61,0.51,0.61,0.62,0.78,0.72,0.63,0.60,0.79,0.51,0.48,0.62,0.72,0.71,0.50,0.50,0.50,0.50,0.50,0.49,0.61,0.58,0.58,0.57,0.51,0.55,0.66,0.51,0.64,0.67,0.67,0.49,0.49,0.60,0.60
124-1,NaN,0.47,0.45,0.46,0.54,0.35,0.44,0.50,0.50,0.59,0.64,0.31,0.65,0.39,0.47,0.65,0.69,0.65,0.67,0.66,0.47,0.36,0.52,0.56,0.62,0.74,0.62,0.50,0.52,0.48,0.49,0.55,0.55,0.55,0.64,0.63,0.69,0.46,0.44,0.56,0.44,0.58,0.55,0.42,0.40,0.40,0.39,0.41,0.60,0.67,0.31,0.31
124-2,NaN,0.33,0.43,0.34,0.25,0.34,0.41,0.44,0.44,0.51,0.51,0.29,0.58,0.31,0.47,0.59,0.66,0.59,0.68,0.60,0.47,0.30,0.55,0.49,0.53,0.42,0.57,0.34,0.44,0.45,0.34,0.50,0.50,0.50,0.65,0.64,0.60,0.38,0.41,0.59,0.41,0.44,0.58,0.41,0.32,0.38,0.37,0.40,0.55,0.28,0.29,0.30
124-3,NaN,0.47,0.45,0.46,0.57,0.35,0.44,0.50,0.50,0.59,0.54,0.34,0.61,0.40,0.41,0.56,0.69,0.56,0.67,0.55,0.42,0.39,0.49,0.40,0.56,0.72,0.62,0.50,0.38,0.40,0.48,0.55,0.55,0.55,0.66,0.64,0.58,0.45,0.42,0.56,0.42,0.58,0.55,0.40,0.37,0.39,0.38,0.40,0.51,0.67,0.30,0.30
125-1,NaN,0.63,0.66,0.65,0.73,0.68,0.69,0.69,0.69,0.81,0.81,0.69,0.76,0.79,0.71,0.74,0.62,0.74,0.57,0.74,0.66,0.75,0.76,0.78,0.75,0.80,0.57,0.69,0.77,0.67,0.74,0.50,0.50,0.50,0.51,0.51,0.64,0.70,0.65,0.61,0.64,0.72,0.59,0.71,0.67,0.68,0.68,0.71,0.71,0.58,0.59,0.59
125-2,NaN,0.64,0.73,0.67,0.71,0.67,0.68,0.73,0.73,0.80,0.78,0.67,0.81,0.82,0.64,0.79,0.63,0.79,0.58,0.79,0.64,0.75,0.75,0.70,0.78,0.74,0.53,0.67,0.68,0.66,0.71,0.51,0.51,0.51,0.52,0.51,0.72,0.69,0.67,0.56,0.66,0.75,0.54,0.68,0.70,0.67,0.67,0.68,0.72,0.62,0.60,0.60
125-3,NaN,0.67,0.76,0.69,0.72,0.74,0.67,0.68,0.68,0.76,0.70,0.64,0.78,0.61,0.69,0.74,0.63,0.75,0.66,0.75,0.66,0.62,0.60,0.66,0.69,0.73,0.62,0.68,0.68,0.60,0.61,0.54,0.54,0.54,0.59,0.59,0.56,0.55,0.59,0.55,0.58,0.63,0.55,0.54,0.56,0.54,0.54,0.53,0.63,0.61,0.50,0.50
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,0.74,0.66,0.78,0.67,0.74,0.69,0.73,0.72,0.77,0.79,0.66,0.79,0.44,0.76,0.79,0.66,0.78,0.62,0.78,0.77,0.48,0.74,0.71,0.75,0.65,0.61,0.68,0.69,0.63,0.71,0.52,0.51,0.51,0.58,0.56,0.61,0.65,0.67,0.63,0.65,0.58,0.62,0.68,0.59,0.63,0.63,0.69,0.62,0.54,0.51,0.51
127-2,NaN,0.89,0.64,0.87,0.79,0.72,0.70,0.76,0.75,0.74,0.75,0.75,0.80,0.65,0.76,0.76,0.66,0.75,0.62,0.78,0.75,0.61,0.75,0.79,0.73,0.71,0.55,0.66,0.75,0.68,0.69,0.51,0.51,0.51,0.57,0.56,0.57,0.65,0.68,0.62,0.67,0.59,0.60,0.70,0.63,0.67,0.67,0.70,0.66,0.55,0.57,0.57
