ID-model,GO:0003674,GO:0016409,GO:0016757,GO:0016829,GO:0016747,GO:0070011,GO:0016746,GO:0017111,GO:0016874,GO:0016491,GO:0004672,GO:0016788,GO:0016879,GO:0015075,GO:0004842,GO:0019787,GO:0016881,GO:0004871,GO:0060089,GO:0008233,GO:0016462,GO:0016818,GO:0016817,GO:0032555,GO:0032553,GO:0003677,GO:0000975,GO:0044212,GO:0001067,GO:0016787,GO:0003676,GO:0003700,GO:0016740,GO:0016301,GO:0017076,GO:0043565,GO:0000166,GO:1901265,GO:0038023,GO:0030695,GO:0000976,GO:0001071,GO:0097159,GO:0004872,GO:0000981,GO:1901363,GO:0003824,GO:0022857,GO:0036094,GO:0016773,GO:0022891,GO:0016772,GO:0043168,GO:0005215,GO:0008289,GO:0022892,GO:0000977,GO:0001012,GO:0060589,GO:0008092,GO:0008047,GO:0030234,GO:0017016,GO:0031267,GO:0051020,GO:0043167,GO:0032403,GO:0017137,GO:0005515,GO:0005102,GO:0005488,GO:0046872,GO:0042802,GO:0043169,GO:0019899,GO:0042803,GO:0046983,GO:0019900
103-1,NaN,NaN,NaN,0.97,0.87,0.94,0.73,1.00,1.00,0.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,1.00,0.98,1.00,1.00,1.00,0.90,0.89,0.97,0.50,0.50,0.50,0.94,0.96,NaN,0.85,0.36,0.89,0.32,0.86,0.86,0.99,NaN,NaN,NaN,0.86,1.00,NaN,0.86,0.77,0.82,0.86,0.87,0.97,0.79,0.92,0.95,NaN,0.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.74,NaN,NaN,0.58,NaN,0.69,0.81,0.50,0.82,0.50,0.50,0.47,0.50
103-2,NaN,NaN,NaN,0.98,0.88,1.00,0.75,1.00,1.00,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,1.00,0.99,1.00,1.00,1.00,0.90,0.90,0.96,0.50,0.50,0.50,0.96,0.96,NaN,0.87,0.42,0.90,0.34,0.87,0.87,1.00,NaN,NaN,0.08,0.88,1.00,NaN,0.88,0.80,0.84,0.87,0.88,0.97,0.81,0.70,0.94,NaN,0.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.61,NaN,NaN,0.56,NaN,0.65,0.74,0.50,0.74,0.50,0.50,0.47,0.50
103-3,NaN,1.00,1.00,0.99,0.87,0.99,0.93,0.89,0.94,0.93,1.00,0.94,0.50,0.87,0.50,0.50,0.50,1.00,1.00,0.97,0.90,0.90,0.90,0.95,0.95,0.95,0.52,0.52,0.52,0.95,0.95,0.75,0.96,0.90,0.89,0.74,0.80,0.80,1.00,0.89,0.55,0.75,0.88,1.00,0.50,0.88,0.92,0.81,0.76,0.87,0.89,0.91,0.84,0.94,0.71,0.81,0.50,0.50,0.83,0.66,0.83,0.79,0.49,0.49,0.49,0.67,0.50,0.50,0.59,0.50,0.68,0.70,0.50,0.66,0.49,0.50,0.49,0.50
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,1.00,1.00,0.99,0.96,0.99,0.96,0.97,0.97,0.95,0.99,0.93,0.96,0.86,0.96,0.96,0.96,0.96,0.96,0.95,0.88,0.88,0.88,0.87,0.87,0.92,0.83,0.83,0.83,0.89,0.91,0.86,0.93,0.91,0.81,0.84,0.77,0.77,0.98,0.93,0.81,0.84,0.76,0.96,0.71,0.76,0.84,0.91,0.72,0.88,0.90,0.88,0.75,0.89,0.79,0.87,0.72,0.72,0.86,0.80,0.77,0.81,0.75,0.74,0.74,0.63,0.74,0.74,0.62,0.60,0.53,0.71,0.39,0.67,0.55,0.39,0.41,0.42
105-2,NaN,1.00,1.00,0.99,0.96,0.99,0.96,0.98,0.96,0.94,0.99,0.94,0.93,0.86,0.93,0.93,0.93,0.91,0.91,0.96,0.89,0.89,0.89,0.94,0.94,0.94,0.88,0.88,0.88,0.92,0.93,0.89,0.94,0.90,0.87,0.91,0.82,0.82,0.93,0.99,0.89,0.84,0.83,0.91,0.80,0.84,0.88,0.92,0.74,0.91,0.91,0.90,0.80,0.93,0.85,0.89,0.79,0.79,0.93,0.78,0.82,0.89,0.80,0.79,0.79,0.68,0.68,0.78,0.65,0.55,0.54,0.74,0.45,0.70,0.56,0.46,0.46,0.59
105-3,NaN,1.00,1.00,0.99,0.97,0.99,0.97,0.97,0.96,0.95,0.99,0.93,0.94,0.84,0.95,0.95,0.94,0.96,0.96,0.94,0.95,0.95,0.95,0.90,0.90,0.95,0.80,0.80,0.80,0.90,0.93,0.84,0.93,0.94,0.86,0.89,0.78,0.78,0.98,0.98,0.78,0.83,0.80,0.94,0.67,0.80,0.84,0.90,0.75,0.92,0.89,0.91,0.75,0.91,0.87,0.86,0.70,0.70,0.91,0.80,0.82,0.85,0.79,0.79,0.78,0.67,0.66,0.80,0.60,0.51,0.52,0.76,0.49,0.74,0.50,0.56,0.51,0.47
106-1,NaN,0.55,0.92,0.89,0.53,0.80,0.56,0.80,0.63,0.85,0.77,0.72,0.60,0.82,0.50,0.50,0.56,0.83,0.83,0.76,0.75,0.75,0.75,0.98,0.98,0.79,0.53,0.53,0.53,0.78,0.83,0.73,0.73,0.73,0.93,0.73,0.88,0.88,0.88,0.75,0.58,0.73,0.78,0.83,0.55,0.78,0.74,0.86,0.85,0.76,0.90,0.70,0.83,0.91,0.69,0.88,0.56,0.56,0.72,0.62,0.72,0.71,0.50,0.50,0.50,0.72,0.50,0.50,0.60,0.50,0.64,0.71,0.50,0.67,0.50,0.50,0.49,0.50
106-2,NaN,0.50,0.70,0.84,0.50,0.50,0.50,0.54,0.57,0.77,0.50,0.65,0.50,0.75,0.50,0.50,0.50,0.50,0.50,0.50,0.53,0.53,0.53,0.97,0.97,0.50,0.50,0.50,0.50,0.61,0.50,0.50,0.54,0.49,0.97,0.50,0.92,0.92,0.50,0.50,0.50,0.50,0.68,0.50,0.50,0.68,0.57,0.67,0.90,0.49,0.75,0.49,0.83,0.67,0.58,0.67,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.74,0.50,0.50,0.50,0.50,0.56,0.73,0.50,0.72,0.50,0.50,0.50,0.50
106-3,NaN,0.75,0.99,0.95,0.75,0.99,1.00,1.00,1.00,1.00,1.00,0.70,1.00,0.99,NaN,NaN,NaN,1.00,1.00,1.00,0.92,0.92,0.92,0.82,0.82,0.88,0.57,0.57,0.57,0.96,0.88,0.99,0.90,0.88,0.82,0.75,0.80,0.80,1.00,NaN,0.75,0.99,0.75,1.00,0.74,0.76,0.88,0.98,0.74,1.00,0.99,0.89,0.73,0.99,0.66,1.00,0.75,0.75,NaN,0.71,NaN,0.98,0.50,0.50,0.50,0.69,0.50,0.50,0.57,0.50,0.61,0.81,0.49,0.74,0.50,0.50,0.48,0.50
107-1,NaN,1.00,1.00,1.00,0.95,0.99,0.95,0.94,0.95,0.98,1.00,0.93,0.87,0.91,0.87,0.86,0.86,0.90,0.90,0.94,0.88,0.88,0.87,0.88,0.87,0.91,0.78,0.78,0.78,0.91,0.89,0.86,0.93,0.97,0.82,0.80,0.76,0.76,0.92,0.89,0.73,0.82,0.76,0.94,0.78,0.76,0.86,0.93,0.71,0.91,0.93,0.94,0.73,0.94,0.81,0.93,0.62,0.62,0.86,0.72,0.76,0.82,0.69,0.69,0.69,0.61,0.58,0.67,0.60,0.56,0.47,0.75,0.52,0.71,0.55,0.50,0.50,0.48
107-2,NaN,1.00,0.99,0.99,0.96,0.99,0.96,0.97,0.95,0.98,0.99,0.96,0.94,0.91,0.94,0.94,0.93,0.94,0.94,0.94,0.88,0.88,0.88,0.94,0.94,0.92,0.85,0.85,0.85,0.92,0.92,0.89,0.94,0.96,0.88,0.88,0.81,0.81,0.97,0.93,0.73,0.85,0.83,0.92,0.72,0.84,0.88,0.95,0.73,0.95,0.94,0.93,0.80,0.92,0.72,0.92,0.67,0.67,0.93,0.70,0.79,0.86,0.66,0.66,0.66,0.72,0.46,0.68,0.60,0.49,0.49,0.82,0.49,0.79,0.58,0.50,0.47,0.49
107-3,NaN,NaN,NaN,0.97,0.45,0.98,0.43,0.95,0.95,0.90,NaN,0.76,1.00,0.80,NaN,NaN,NaN,0.97,0.97,0.99,0.51,0.51,0.51,0.96,0.96,0.93,0.45,0.45,0.45,0.82,0.92,NaN,0.71,0.28,0.96,0.89,0.95,0.95,0.99,NaN,NaN,0.39,0.77,0.99,NaN,0.77,0.63,0.95,0.95,0.86,0.96,0.66,0.92,0.94,NaN,0.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.72,NaN,NaN,0.59,NaN,0.56,0.80,0.50,0.80,0.48,0.42,0.42,0.50
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.50,0.83,0.93,0.50,0.69,0.50,0.68,0.66,0.82,0.79,0.81,0.56,0.78,0.52,0.52,0.52,0.89,0.89,0.72,0.63,0.63,0.63,0.60,0.59,0.75,0.77,0.77,0.77,0.71,0.74,0.71,0.65,0.77,0.58,0.67,0.55,0.55,0.88,0.66,0.66,0.69,0.67,0.88,0.66,0.67,0.64,0.72,0.55,0.68,0.72,0.70,0.56,0.68,0.60,0.67,0.62,0.62,0.61,0.51,0.60,0.59,0.52,0.52,0.52,0.56,0.65,0.49,0.50,0.57,0.52,0.64,0.51,0.61,0.39,0.50,0.46,0.45
110-2,NaN,1.00,1.00,0.96,0.96,0.96,0.96,0.98,0.95,0.91,0.92,0.93,0.91,0.79,0.83,0.93,0.92,0.73,0.98,0.94,0.91,0.91,0.98,0.97,0.97,0.80,0.68,0.62,0.68,0.92,0.80,0.82,0.93,0.89,0.92,0.73,0.85,0.87,0.73,0.88,0.70,0.86,0.78,0.98,0.82,0.78,0.88,0.86,0.81,0.79,0.84,0.87,0.88,0.91,0.80,0.85,0.63,0.68,0.78,0.90,0.80,0.78,0.65,0.64,0.78,0.71,0.63,0.63,0.71,0.65,0.70,0.59,0.57,0.62,0.59,0.52,0.54,0.47
110-3,NaN,0.48,0.87,0.77,0.56,0.74,0.54,0.61,0.67,0.77,0.58,0.54,0.57,0.54,0.62,0.61,0.58,0.83,0.83,0.78,0.66,0.66,0.66,0.55,0.55,0.61,0.56,0.56,0.56,0.64,0.58,0.65,0.65,0.61,0.54,0.60,0.55,0.55,0.69,0.72,0.70,0.63,0.57,0.65,0.61,0.56,0.63,0.70,0.56,0.66,0.70,0.65,0.57,0.73,0.57,0.67,0.70,0.70,0.72,0.76,0.66,0.69,0.67,0.70,0.70,0.65,0.58,0.67,0.70,0.55,0.66,0.66,0.61,0.67,0.63,0.53,0.54,0.63
111-1,NaN,0.50,0.83,0.93,0.50,0.69,0.50,0.71,0.66,0.84,0.84,0.81,0.56,0.77,0.52,0.52,0.52,0.89,0.89,0.71,0.66,0.66,0.66,0.61,0.61,0.78,0.79,0.79,0.79,0.72,0.78,0.71,0.67,0.81,0.60,0.68,0.55,0.55,0.87,0.68,0.67,0.68,0.71,0.88,0.71,0.70,0.65,0.72,0.55,0.72,0.72,0.72,0.59,0.68,0.64,0.67,0.66,0.66,0.62,0.61,0.61,0.61,0.52,0.52,0.52,0.57,0.66,0.49,0.50,0.59,0.55,0.63,0.50,0.61,0.39,0.49,0.46,0.47
111-2,NaN,0.48,0.87,0.77,0.56,0.74,0.54,0.60,0.67,0.77,0.56,0.54,0.57,0.54,0.62,0.61,0.58,0.78,0.78,0.78,0.66,0.66,0.66,0.55,0.55,0.62,0.58,0.58,0.58,0.64,0.62,0.69,0.66,0.59,0.54,0.61,0.55,0.55,0.69,0.72,0.73,0.67,0.60,0.65,0.65,0.60,0.64,0.70,0.56,0.64,0.70,0.64,0.61,0.73,0.62,0.67,0.74,0.74,0.72,0.73,0.66,0.69,0.67,0.70,0.70,0.68,0.58,0.67,0.69,0.55,0.66,0.68,0.62,0.68,0.63,0.52,0.54,0.64
111-3,NaN,NaN,NaN,NaN,0.50,0.50,0.50,NaN,0.49,0.99,1.00,NaN,0.50,NaN,0.50,0.50,0.50,NaN,NaN,0.50,NaN,NaN,NaN,NaN,NaN,0.59,0.78,0.78,0.76,0.46,0.64,0.68,0.90,1.00,NaN,0.52,0.46,0.46,NaN,0.50,0.62,0.67,0.76,NaN,0.68,0.77,0.76,NaN,0.45,1.00,NaN,1.00,0.72,NaN,0.74,NaN,0.70,0.70,0.49,1.00,NaN,0.49,0.50,0.50,0.50,0.67,0.47,0.50,0.55,0.40,0.64,NaN,0.60,NaN,0.44,0.45,0.44,0.50
112-1,NaN,1.00,1.00,0.99,0.95,0.99,0.95,0.97,0.95,0.93,0.92,0.95,0.89,0.88,0.80,0.90,0.88,0.85,0.98,0.99,0.93,0.94,0.96,0.96,0.96,0.87,0.84,0.78,0.84,0.95,0.85,0.86,0.94,0.92,0.91,0.79,0.83,0.85,0.81,0.93,0.77,0.84,0.81,0.98,0.86,0.81,0.89,0.91,0.81,0.88,0.90,0.91,0.88,0.93,0.78,0.89,0.73,0.73,0.86,0.85,0.81,0.84,0.73,0.73,0.78,0.74,0.73,0.71,0.72,0.70,0.70,0.71,0.55,0.68,0.54,0.51,0.53,0.48
112-2,NaN,1.00,1.00,0.99,0.95,0.99,0.95,0.97,0.95,0.93,0.92,0.95,0.90,0.89,0.80,0.90,0.88,0.85,0.98,1.00,0.94,0.94,0.97,0.97,0.96,0.87,0.84,0.79,0.84,0.95,0.85,0.86,0.95,0.92,0.91,0.79,0.84,0.86,0.81,0.93,0.77,0.84,0.81,0.98,0.86,0.81,0.90,0.92,0.82,0.89,0.91,0.92,0.88,0.93,0.78,0.90,0.73,0.73,0.86,0.85,0.82,0.84,0.73,0.72,0.78,0.74,0.73,0.71,0.71,0.70,0.70,0.71,0.54,0.68,0.54,0.48,0.48,0.49
112-3,NaN,1.00,1.00,0.99,0.95,0.99,0.95,0.97,0.95,0.96,0.92,0.95,0.89,0.89,0.80,0.90,0.88,0.84,0.98,0.99,0.93,0.94,0.96,0.96,0.96,0.86,0.84,0.78,0.84,0.95,0.84,0.86,0.95,0.91,0.91,0.79,0.83,0.85,0.80,0.98,0.77,0.85,0.81,0.98,0.86,0.80,0.90,0.91,0.81,0.88,0.90,0.91,0.85,0.93,0.77,0.89,0.73,0.73,0.90,0.85,0.81,0.87,0.76,0.75,0.81,0.72,0.73,0.73,0.68,0.70,0.67,0.72,0.55,0.69,0.55,0.50,0.52,0.48
113-1,NaN,1.00,1.00,0.99,0.95,0.99,0.95,0.97,0.95,0.96,0.92,0.95,0.90,0.89,0.80,0.90,0.88,0.84,0.98,0.99,0.93,0.94,0.96,0.96,0.96,0.86,0.84,0.79,0.84,0.95,0.84,0.85,0.95,0.91,0.91,0.79,0.83,0.86,0.80,0.98,0.77,0.85,0.81,0.98,0.86,0.81,0.90,0.92,0.82,0.88,0.91,0.91,0.85,0.93,0.77,0.90,0.73,0.73,0.90,0.85,0.81,0.87,0.75,0.75,0.81,0.72,0.73,0.73,0.68,0.70,0.67,0.71,0.54,0.68,0.55,0.48,0.48,0.49
113-2,NaN,0.48,0.96,0.80,0.58,0.73,0.56,0.55,0.79,0.79,0.59,0.57,0.69,0.60,0.76,0.76,0.72,0.80,0.80,0.77,0.60,0.61,0.61,0.48,0.47,0.66,0.60,0.60,0.60,0.63,0.64,0.71,0.67,0.60,0.47,0.64,0.48,0.48,0.66,0.78,0.79,0.68,0.60,0.62,0.66,0.60,0.66,0.70,0.48,0.66,0.71,0.62,0.54,0.70,0.59,0.64,0.78,0.78,0.80,0.76,0.68,0.75,0.73,0.78,0.78,0.64,0.60,0.73,0.69,0.56,0.63,0.68,0.60,0.67,0.64,0.52,0.53,0.63
113-3,NaN,NaN,1.00,0.99,0.62,0.98,0.61,0.88,0.84,0.93,0.97,0.91,0.79,0.97,0.71,0.71,0.70,0.96,0.96,0.99,0.77,0.77,0.77,0.82,0.81,0.82,0.87,0.87,0.87,0.85,0.80,0.85,0.83,0.87,0.82,0.77,0.71,0.71,0.94,0.87,0.82,0.80,0.78,0.94,0.85,0.77,0.76,0.84,0.73,0.78,0.82,0.80,0.80,0.79,0.85,0.78,0.80,0.80,0.87,0.85,0.86,0.87,0.56,0.56,0.56,0.64,0.68,0.49,0.53,0.70,0.57,0.64,0.51,0.63,0.37,0.54,0.47,0.43
114-1,NaN,0.82,1.00,0.97,0.83,1.00,0.96,0.95,0.90,0.99,1.00,0.97,0.74,0.97,0.71,0.71,0.71,0.93,0.93,0.98,0.88,0.88,0.88,0.89,0.89,0.95,0.83,0.83,0.83,0.94,0.94,0.93,0.98,0.95,0.84,0.82,0.81,0.81,0.99,0.98,0.70,0.89,0.85,0.99,0.89,0.86,0.90,0.98,0.73,1.00,0.98,0.97,0.84,0.94,0.64,0.94,0.68,0.68,0.86,0.75,0.81,0.81,0.50,0.50,0.50,0.70,0.55,0.50,0.70,0.56,0.56,0.80,0.58,0.79,0.50,0.56,0.54,0.49
