ID-model,GO:0008150,GO:2001141,GO:0051252,GO:0010556,GO:0031326,GO:0009889,GO:2000112,GO:0006508,GO:0019219,GO:0051171,GO:0031324,GO:0019538,GO:0009892,GO:0080090,GO:0031323,GO:0043170,GO:0010468,GO:0060255,GO:0090304,GO:0006725,GO:0051641,GO:0006810,GO:0044260,GO:0008152,GO:0006139,GO:0071704,GO:0048523,GO:0046483,GO:0048519,GO:0006807,GO:0034641,GO:1901360,GO:0019222,GO:0044238,GO:0051234,GO:0065008,GO:0048522,GO:0048518,GO:0044237,GO:0007010,GO:0007154,GO:0051716,GO:0050794,GO:0048869,GO:0051179,GO:0030154,GO:0002244,GO:0051128,GO:0050789,GO:0065007,GO:0048468,GO:0048583,GO:0044763,GO:0051239,GO:0002376,GO:0044699,GO:0006996,GO:0006950,GO:0050896,GO:0009987,GO:0048731,GO:0023051,GO:0042221,GO:0010646,GO:0071840,GO:0016043,GO:0050793,GO:0048513,GO:0032502,GO:0044707,GO:0032501,GO:0007275,GO:0048856,GO:0051049,GO:0030097,GO:0048534,GO:0044767,GO:0002520,GO:0032879
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,0.92,0.93,0.91,0.91,0.91,0.88,0.89,0.87,0.87,0.67,0.84,0.67,0.83,0.82,0.81,0.86,0.84,0.79,0.73,0.64,0.65,0.75,0.81,0.73,0.76,0.65,0.73,0.65,0.73,0.73,0.73,0.74,0.73,0.67,0.48,0.51,0.50,0.71,0.48,0.58,0.44,0.71,0.48,0.64,0.48,0.50,0.54,0.68,0.63,0.50,0.67,0.66,0.47,0.57,0.69,0.70,0.55,0.46,0.58,0.62,0.59,0.47,0.59,0.67,0.67,0.48,0.55,0.54,0.58,0.58,0.60,0.58,0.56,0.50,0.50,0.55,0.50,0.55
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.90,0.90,0.91,0.91,0.91,0.90,0.93,0.86,0.86,0.78,0.89,0.77,0.82,0.79,0.78,0.77,0.76,0.76,0.73,0.67,0.71,0.76,0.71,0.73,0.74,0.61,0.73,0.61,0.71,0.72,0.72,0.67,0.73,0.72,0.65,0.68,0.65,0.68,0.79,0.62,0.57,0.67,0.62,0.71,0.62,0.56,0.55,0.64,0.62,0.70,0.59,0.57,0.53,0.52,0.55,0.65,0.50,0.51,0.51,0.56,0.60,0.42,0.59,0.65,0.64,0.44,0.50,0.56,0.56,0.54,0.55,0.55,0.37,0.48,0.47,0.50,0.48,0.35
105-2,NaN,0.90,0.88,0.91,0.91,0.91,0.90,0.94,0.86,0.86,0.73,0.88,0.72,0.84,0.77,0.81,0.76,0.72,0.81,0.77,0.63,0.72,0.82,0.72,0.77,0.73,0.53,0.77,0.52,0.73,0.73,0.76,0.64,0.72,0.70,0.68,0.65,0.61,0.71,0.78,0.66,0.69,0.64,0.56,0.68,0.56,0.49,0.59,0.62,0.59,0.59,0.57,0.58,0.59,0.61,0.59,0.66,0.62,0.53,0.51,0.57,0.51,0.56,0.51,0.63,0.62,0.55,0.58,0.56,0.56,0.54,0.55,0.55,0.35,0.46,0.46,0.48,0.45,0.33
105-3,NaN,0.92,0.91,0.92,0.93,0.92,0.91,0.93,0.88,0.88,0.81,0.83,0.80,0.84,0.78,0.78,0.75,0.75,0.76,0.72,0.68,0.77,0.81,0.69,0.72,0.71,0.54,0.72,0.56,0.69,0.69,0.72,0.63,0.71,0.73,0.64,0.67,0.61,0.70,0.79,0.70,0.63,0.62,0.58,0.72,0.58,0.53,0.60,0.58,0.57,0.64,0.56,0.56,0.56,0.63,0.54,0.61,0.56,0.56,0.51,0.55,0.56,0.53,0.56,0.58,0.57,0.45,0.54,0.54,0.55,0.51,0.55,0.52,0.37,0.53,0.51,0.45,0.50,0.38
106-1,NaN,0.73,0.68,0.73,0.73,0.73,0.65,0.92,0.65,0.65,0.48,0.85,0.48,0.63,0.64,0.80,0.62,0.59,0.85,0.84,0.48,0.75,0.69,0.80,0.84,0.77,0.52,0.84,0.52,0.83,0.84,0.84,0.57,0.76,0.75,0.50,0.51,0.50,0.76,0.74,0.63,0.56,0.60,0.54,0.68,0.54,0.50,0.49,0.57,0.57,0.48,0.49,0.64,0.47,0.56,0.72,0.67,0.47,0.52,0.62,0.57,0.50,0.60,0.50,0.65,0.65,0.45,0.53,0.54,0.54,0.54,0.56,0.56,0.49,0.50,0.50,0.57,0.50,0.47
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.65,0.65,0.65,0.65,0.65,0.65,0.96,0.65,0.65,0.47,0.81,0.47,0.63,0.69,0.78,0.60,0.59,0.97,0.96,0.49,0.63,0.67,0.75,0.96,0.72,0.53,0.96,0.53,0.94,0.96,0.96,0.64,0.70,0.63,0.50,0.52,0.50,0.75,1.00,0.63,0.59,0.62,0.58,0.61,0.58,0.50,0.49,0.60,0.61,0.47,0.49,0.67,0.46,0.64,0.74,0.97,NaN,0.59,0.67,0.61,0.50,0.72,0.50,0.66,0.66,0.43,0.55,0.60,0.59,0.59,0.60,0.61,0.49,0.50,0.50,0.62,0.50,0.46
107-1,NaN,0.87,0.85,0.87,0.86,0.86,0.86,0.94,0.79,0.78,0.81,0.85,0.77,0.76,0.70,0.81,0.70,0.68,0.79,0.75,0.58,0.61,0.78,0.72,0.76,0.74,0.55,0.75,0.54,0.71,0.72,0.73,0.59,0.74,0.59,0.66,0.62,0.57,0.69,0.72,0.56,0.57,0.56,0.61,0.60,0.61,0.50,0.58,0.55,0.54,0.63,0.59,0.50,0.56,0.51,0.50,0.59,0.40,0.43,0.47,0.55,0.55,0.46,0.55,0.55,0.54,0.50,0.51,0.52,0.53,0.50,0.52,0.52,0.38,0.46,0.45,0.50,0.45,0.34
107-2,NaN,0.82,0.80,0.84,0.84,0.84,0.82,0.96,0.79,0.79,0.71,0.89,0.69,0.77,0.74,0.85,0.73,0.69,0.84,0.80,0.64,0.63,0.85,0.80,0.79,0.79,0.52,0.80,0.49,0.79,0.78,0.80,0.63,0.77,0.65,0.65,0.58,0.59,0.77,0.67,0.54,0.54,0.63,0.56,0.62,0.53,0.50,0.65,0.63,0.59,0.55,0.64,0.55,0.63,0.62,0.58,0.62,0.52,0.48,0.60,0.49,0.56,0.50,0.56,0.59,0.57,0.49,0.52,0.55,0.50,0.50,0.50,0.55,0.44,0.52,0.52,0.48,0.50,0.37
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.78,0.78,0.70,0.70,0.69,0.69,0.80,0.75,0.75,0.78,0.70,0.77,0.67,0.58,0.65,0.58,0.56,0.60,0.61,0.58,0.69,0.65,0.62,0.64,0.61,0.63,0.63,0.63,0.64,0.59,0.59,0.53,0.59,0.64,0.63,0.62,0.60,0.60,0.65,0.56,0.50,0.60,0.55,0.60,0.57,0.46,0.58,0.55,0.56,0.54,0.62,0.55,0.62,0.52,0.53,0.58,0.50,0.44,0.50,0.46,0.54,0.44,0.54,0.57,0.56,0.48,0.43,0.45,0.42,0.42,0.45,0.45,0.42,0.43,0.42,0.41,0.40,0.38
110-2,NaN,0.72,0.76,0.73,0.72,0.72,0.69,0.74,0.81,0.80,0.71,0.71,0.70,0.76,0.70,0.71,0.59,0.66,0.72,0.71,0.63,0.71,0.78,0.70,0.72,0.67,0.63,0.68,0.65,0.71,0.69,0.70,0.64,0.64,0.70,0.63,0.60,0.59,0.70,0.45,0.60,0.55,0.61,0.64,0.67,0.61,0.47,0.43,0.61,0.63,0.54,0.65,0.61,0.53,0.53,0.61,0.52,0.62,0.55,0.57,0.64,0.50,0.59,0.50,0.58,0.56,0.58,0.62,0.68,0.64,0.60,0.66,0.66,0.43,0.45,0.41,0.63,0.43,0.40
110-3,NaN,0.78,0.71,0.75,0.73,0.77,0.83,0.59,0.66,0.65,0.75,0.64,0.74,0.65,0.65,0.67,0.62,0.71,0.76,0.68,0.67,0.58,0.73,0.73,0.74,0.68,0.73,0.69,0.74,0.70,0.72,0.67,0.64,0.66,0.58,0.64,0.60,0.59,0.69,0.60,0.56,0.36,0.59,0.50,0.58,0.50,0.48,0.49,0.60,0.62,0.52,0.51,0.46,0.56,0.50,0.46,0.54,0.45,0.46,0.50,0.41,0.50,0.39,0.47,0.52,0.51,0.55,0.39,0.42,0.39,0.41,0.42,0.40,0.46,0.37,0.36,0.39,0.38,0.44
111-1,NaN,0.73,0.79,0.70,0.71,0.70,0.73,0.81,0.75,0.74,0.71,0.72,0.69,0.66,0.57,0.68,0.60,0.56,0.65,0.65,0.57,0.68,0.69,0.64,0.68,0.63,0.60,0.67,0.61,0.68,0.64,0.63,0.52,0.62,0.63,0.65,0.65,0.61,0.60,0.65,0.55,0.52,0.59,0.55,0.59,0.57,0.46,0.58,0.54,0.56,0.52,0.61,0.49,0.63,0.51,0.48,0.56,0.50,0.46,0.45,0.44,0.55,0.44,0.55,0.53,0.52,0.49,0.43,0.43,0.39,0.39,0.41,0.43,0.42,0.43,0.43,0.40,0.41,0.39
111-2,NaN,0.79,0.72,0.76,0.74,0.78,0.81,0.59,0.70,0.68,0.71,0.64,0.70,0.65,0.64,0.66,0.61,0.69,0.78,0.69,0.65,0.59,0.72,0.72,0.76,0.66,0.72,0.70,0.73,0.70,0.73,0.67,0.63,0.66,0.59,0.63,0.63,0.60,0.65,0.68,0.55,0.44,0.55,0.52,0.59,0.52,0.47,0.51,0.57,0.59,0.61,0.58,0.48,0.56,0.46,0.49,0.60,0.45,0.52,0.47,0.39,0.53,0.50,0.49,0.56,0.55,0.53,0.38,0.45,0.40,0.42,0.42,0.43,0.47,0.37,0.35,0.42,0.37,0.45
111-3,NaN,0.50,0.69,0.60,0.60,0.60,0.60,0.45,0.58,0.58,0.39,0.64,0.39,0.58,0.46,0.54,0.69,0.58,0.58,0.56,1.00,NaN,0.48,0.54,0.56,0.54,0.39,0.56,0.39,0.56,0.56,0.56,0.46,0.61,1.00,0.40,0.58,0.58,0.46,0.75,NaN,0.61,0.17,0.67,0.69,0.67,0.50,NaN,0.17,0.17,0.75,NaN,0.38,NaN,0.39,0.55,0.81,0.35,0.58,0.22,0.58,NaN,0.58,NaN,0.57,0.57,NaN,0.58,0.70,0.65,0.65,0.53,0.75,0.45,0.44,0.44,0.70,0.44,0.45
112-1,NaN,0.85,0.89,0.82,0.81,0.81,0.86,0.81,0.87,0.87,0.77,0.76,0.76,0.80,0.75,0.72,0.68,0.72,0.77,0.73,0.71,0.73,0.79,0.70,0.75,0.67,0.67,0.72,0.71,0.76,0.72,0.71,0.67,0.66,0.72,0.67,0.62,0.59,0.69,0.70,0.57,0.49,0.63,0.56,0.69,0.56,0.46,0.50,0.60,0.61,0.53,0.62,0.59,0.63,0.48,0.58,0.61,0.56,0.51,0.52,0.49,0.49,0.48,0.49,0.57,0.56,0.52,0.48,0.52,0.51,0.50,0.51,0.51,0.38,0.36,0.34,0.48,0.36,0.34
112-2,NaN,0.85,0.89,0.82,0.81,0.81,0.86,0.81,0.87,0.87,0.77,0.75,0.76,0.80,0.75,0.72,0.67,0.71,0.76,0.72,0.70,0.74,0.79,0.69,0.75,0.66,0.67,0.72,0.70,0.76,0.71,0.70,0.67,0.65,0.71,0.67,0.63,0.60,0.69,0.69,0.57,0.49,0.62,0.56,0.69,0.56,0.46,0.51,0.59,0.61,0.53,0.61,0.59,0.63,0.48,0.58,0.61,0.56,0.50,0.52,0.49,0.50,0.48,0.49,0.57,0.55,0.53,0.48,0.52,0.51,0.49,0.51,0.51,0.38,0.36,0.33,0.48,0.35,0.34
112-3,NaN,0.84,0.90,0.81,0.80,0.80,0.85,0.81,0.88,0.88,0.76,0.76,0.75,0.81,0.75,0.72,0.67,0.73,0.76,0.72,0.71,0.73,0.79,0.69,0.75,0.66,0.66,0.71,0.69,0.76,0.71,0.70,0.68,0.65,0.72,0.73,0.61,0.57,0.68,0.69,0.56,0.48,0.64,0.61,0.70,0.60,0.46,0.48,0.60,0.63,0.58,0.65,0.60,0.63,0.50,0.58,0.55,0.55,0.53,0.56,0.52,0.53,0.52,0.52,0.54,0.52,0.52,0.52,0.56,0.54,0.53,0.55,0.54,0.40,0.37,0.34,0.52,0.37,0.36
113-1,NaN,0.84,0.89,0.81,0.80,0.79,0.85,0.80,0.88,0.88,0.76,0.76,0.75,0.80,0.75,0.72,0.67,0.72,0.75,0.72,0.70,0.73,0.78,0.68,0.74,0.65,0.66,0.71,0.68,0.75,0.70,0.70,0.67,0.65,0.71,0.73,0.61,0.58,0.68,0.68,0.56,0.48,0.63,0.61,0.69,0.60,0.46,0.49,0.60,0.63,0.58,0.64,0.60,0.63,0.50,0.58,0.55,0.55,0.52,0.55,0.52,0.53,0.52,0.52,0.54,0.52,0.52,0.52,0.56,0.54,0.53,0.55,0.54,0.40,0.36,0.34,0.52,0.36,0.36
113-2,NaN,0.77,0.76,0.69,0.71,0.76,0.74,0.60,0.77,0.76,0.72,0.62,0.70,0.74,0.70,0.63,0.64,0.80,0.76,0.70,0.67,0.61,0.66,0.70,0.73,0.65,0.60,0.71,0.63,0.73,0.71,0.69,0.69,0.62,0.59,0.65,0.62,0.59,0.68,0.72,0.54,0.32,0.58,0.56,0.64,0.57,0.47,0.44,0.57,0.61,0.64,0.60,0.47,0.56,0.47,0.46,0.62,0.38,0.48,0.53,0.43,0.54,0.52,0.47,0.56,0.54,0.52,0.47,0.46,0.40,0.42,0.47,0.43,0.45,0.34,0.32,0.46,0.35,0.42
113-3,NaN,0.71,0.77,0.68,0.68,0.67,0.70,0.80,0.72,0.72,0.67,0.72,0.64,0.62,0.54,0.67,0.58,0.52,0.64,0.63,0.60,0.71,0.67,0.64,0.66,0.62,0.58,0.66,0.58,0.66,0.61,0.61,0.48,0.60,0.66,0.74,0.63,0.60,0.58,0.64,0.59,0.48,0.59,0.61,0.61,0.63,0.46,0.56,0.54,0.56,0.54,0.61,0.50,0.61,0.55,0.49,0.50,0.48,0.48,0.46,0.49,0.55,0.46,0.55,0.48,0.47,0.48,0.49,0.48,0.43,0.43,0.46,0.48,0.43,0.45,0.44,0.44,0.42,0.40
114-1,NaN,0.93,0.93,0.87,0.88,0.87,0.86,0.96,0.89,0.89,0.88,0.91,0.87,0.81,0.80,0.85,0.72,0.71,0.83,0.77,0.73,0.83,0.81,0.77,0.79,0.77,0.66,0.74,0.67,0.78,0.75,0.77,0.66,0.77,0.82,0.59,0.65,0.63,0.74,0.82,0.68,0.63,0.61,0.61,0.77,0.61,0.49,0.61,0.62,0.61,0.62,0.57,0.59,0.57,0.49,0.57,0.70,0.53,0.58,0.56,0.48,0.57,0.51,0.57,0.65,0.63,0.41,0.44,0.50,0.50,0.48,0.51,0.43,0.40,0.41,0.40,0.43,0.40,0.40
