ID-model,GO:0008150,GO:0006996,GO:0016043,GO:0044763,GO:0071840,GO:0009987,GO:0008152,GO:0044699
124-3,NaN,0.57,0.58,0.54,0.54,0.48,0.61,0.54
125-1,NaN,0.73,0.65,0.71,0.65,0.68,0.43,0.79
125-2,NaN,0.71,0.61,0.79,0.58,0.70,0.33,0.79
125-3,NaN,0.81,0.67,0.75,0.66,0.64,0.61,0.78
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,0.59,0.58,0.58,0.59,0.20,0.62,0.61
127-2,NaN,0.73,0.59,0.57,0.66,0.29,0.54,0.55
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.54,0.41,0.61,0.41,0.51,0.43,0.65
129-1,NaN,0.65,0.54,0.49,0.54,0.51,0.47,0.57
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.65,0.54,0.49,0.54,0.51,0.47,0.57
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.42,0.42,0.62,0.42,0.67,0.75,0.69
131-2,NaN,0.44,0.44,0.64,0.44,0.56,0.44,0.71
131-3,NaN,0.51,0.41,0.42,0.42,0.46,0.38,0.49
132-1,NaN,0.59,0.57,0.49,0.54,0.48,0.72,0.44
132-2,NaN,0.59,0.57,0.49,0.54,0.48,0.73,0.44
65-1,NaN,0.42,0.44,0.37,0.43,0.49,0.43,0.52
65-2,NaN,0.42,0.44,0.37,0.43,0.49,0.45,0.52
65-3,NaN,0.41,0.42,0.40,0.42,0.44,0.43,0.51
68-1,NaN,0.44,0.43,0.60,0.43,0.41,0.38,0.59
68-2,NaN,0.38,0.36,0.55,0.36,0.41,0.49,0.55
69-1,NaN,0.76,0.82,0.71,0.76,0.50,0.64,0.76
69-2,NaN,0.75,0.79,0.68,0.71,0.58,0.62,0.69
70-1,NaN,0.77,0.80,0.41,0.81,0.56,0.54,0.44
70-2,NaN,0.47,0.46,0.29,0.46,0.53,0.47,0.39
70-3,NaN,0.65,0.66,0.75,0.66,0.56,0.47,0.45
72-1,NaN,0.56,0.58,0.59,0.58,0.55,0.44,0.59
72-2,NaN,0.56,0.58,0.52,0.58,0.44,0.46,0.52
73-1,NaN,0.57,0.48,0.58,0.45,0.43,0.59,0.54
73-2,NaN,0.58,0.48,0.58,0.46,0.43,0.60,0.54
73-3,NaN,0.34,0.37,0.40,0.40,0.47,0.53,0.36
74-1,NaN,0.25,0.61,0.33,0.71,0.33,0.55,0.38
74-2,NaN,0.38,0.56,0.38,0.55,0.51,0.47,0.45
75-1,NaN,0.71,0.76,0.78,0.70,0.50,0.64,0.82
75-2,NaN,0.69,0.71,0.75,0.64,0.58,0.64,0.76
79-1,NaN,0.59,0.63,0.56,0.64,0.40,0.66,0.59
79-2,NaN,0.58,0.42,0.50,0.42,NaN,0.60,0.50
79-3,NaN,0.61,0.67,0.55,0.67,0.57,0.53,0.56
80-1,NaN,0.28,0.55,0.52,0.63,0.56,0.61,0.65
80-2,NaN,0.37,0.53,0.38,0.51,0.56,0.56,0.43
81-1,NaN,0.38,0.38,0.70,0.38,0.60,0.80,0.70
81-2,NaN,0.38,0.38,0.70,0.38,0.60,0.80,0.70
82-1,NaN,0.60,0.62,0.71,0.57,0.48,0.62,0.71
83-1,NaN,0.50,0.43,0.48,0.47,0.47,0.40,0.55
83-2,NaN,0.54,0.43,0.40,0.49,0.47,0.40,0.43
84-1,NaN,0.85,0.91,0.84,0.85,0.85,0.65,0.84
85-1,NaN,0.58,0.56,0.55,0.55,0.69,0.62,0.60
85-2,NaN,0.58,0.56,0.55,0.55,0.69,0.62,0.60
86-1,NaN,0.50,0.50,0.53,0.50,0.55,0.43,0.61
86-2,NaN,0.50,0.50,0.53,0.50,0.55,0.43,0.61
86-3,NaN,0.50,0.50,NaN,0.50,NaN,NaN,NaN
87-1,NaN,0.52,0.47,0.67,0.47,0.53,0.46,0.67
87-2,NaN,0.54,0.47,0.65,0.47,0.58,0.51,0.67
87-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,0.53,0.54,0.70,0.51,0.66,0.48,0.70
95-1,NaN,0.50,0.52,0.60,0.52,0.47,0.40,0.60
95-2,NaN,0.46,0.45,0.59,0.45,0.47,0.46,0.59
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.56,0.72,0.61,0.67,0.42,0.42,0.56
99-1,NaN,0.58,0.56,0.75,0.53,0.82,0.72,0.58
